,stock_number,item,quantity,value,year
30,2355-01-623-0967,MINE RESISTANT VEHICLE,3,2302080.0,6057
28,2355-01-581-2392,MINE RESISTANT VEHICLE,3,2116263.0,6060
29,2355-01-596-1330,MINE RESISTANT VEHICLE,1,575000.0,2019
25,2320-01-447-6343,"TRUCK,CARGO",3,529284.0,6057
23,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4036
67,8340-01-533-5344,"TENT,MODULAR,UTILITY SYSTEM",2,229062.0,4038
24,2320-01-447-3888,"TRUCK,CARGO",1,149600.0,2019
41,5855-01-432-0524,"VIEWER,NIGHT VISION",40,144280.0,80760
48,6115-01-299-6033,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",2,127882.0,4038
20,2310-01-111-2275,"TRUCK,AMBULANCE",1,78499.0,2018
42,5855-01-450-2333,"BINOCULAR,NIGHT VISION",8,64448.0,16152
46,5855-01-579-5845,"DETECTING SET,INFRARED",7,63000.0,14133
51,6115-01-565-0691,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,53500.0,2019
26,2330-DS-TRA-ILE1,TRAILER,1,53000.0,2019
59,6720-01-648-7772,"CAMERA,RECONNAISSANCE SYSTEM",2,43974.0,2020
0,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",58,43442.0,116986
22,2320-01-107-7155,"TRUCK,UTILITY",1,41061.0,2018
58,6720-01-591-7602,"CAMERA,RECONNAISSANCE SYSTEM",2,35272.0,2019
57,6720-01-566-3465,"CAMERA SYSTEM,RECONNAISSANCE",1,34831.0,2019
49,6115-01-317-2135,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,30857.0,2019
43,5855-01-533-0555,"ILLUMINATOR,INFRARED",15,27000.0,30285
50,6115-01-462-0291,"GENERATOR SET,DIESEL ENGINE",1,25073.0,2019
18,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",2,24512.0,4036
19,1680-01-587-1948,"KIT,MAINTENANCE SUPPORT",1,20872.0,2018
27,2340-01-651-2171,ALL TERRAIN VEHICLE WHEELED,1,20803.0,2019
21,2310-DS-VAN-0000,VAN,1,16243.0,2020
56,6650-01-578-7761,KRIMESITE IMAGER,1,14500.0,2020
32,2530-01-591-4952,"WHEEL,PNEUMATIC TIRE",8,11346.0,4038
47,6115-01-275-5061,"GENERATOR SET,DIESEL ENGINE",1,10700.0,2019
62,7021-01-611-7351,"NRP,LAPTOP,CF-52,MARK 4",2,10422.0,4038
14,1240-01-575-1105,"RANGE FINDER,LASER",6,7974.0,2018
12,1240-01-551-5762,"SIGHT,REFLEX",38,5152.0,32288
66,8340-01-059-4075,TENT,1,3864.0,2020
65,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,1,3000.0,2019
35,4310-DS-COM-PRE1,"COMPRESSOR, AIR",2,2600.0,4040
61,6760-DS-TRI-POD0,"TRIPOD, CAMERA",2,1414.0,2019
37,5120-00-869-8535,"WRENCH,TORQUE",1,1310.0,2019
11,1240-01-411-1265,"SIGHT,REFLEX",25,1284.0,8069
17,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,16,1224.0,4039
16,1240-01-585-3100,MARK 4 SIGHT,15,1111.0,2018
45,5855-01-535-6166,"ILLUMINATOR,INTEGRATED,SMALL ARMS",20,848.0,2020
4,1005-01-457-4015,"CONVERSION KIT,RIFLE",15,584.0,2019
52,6230-01-589-4822,"LIGHT KIT,WEAPONS",23,532.0,2019
53,6545-01-572-9963,MEDICAL EQUIPMENT SET COMBAT LIFESAVER,1,524.0,2019
60,6760-DS-LEN-S001,"LENS, CAMERA",5,472.0,2019
15,1240-01-576-6134,"SIGHT,REFLEX",10,446.0,2019
55,6650-00-530-0960,"TELESCOPE,STRAIGHT",6,442.0,2019
39,5340-DS-LOC-K000,"LOCK, COMMERCIAL",15,419.0,2019
7,1005-01-506-5928,"MOUNT,SIGHT,SMALL ARMS",8,398.0,2020
3,1005-01-454-0395,UPPER RECEIVER AND BARREL ASSEMBLY,10,361.0,2019
44,5855-01-533-0996,"ILLUMINATOR,INTEGRATED,SMALL ARMS",20,350.0,2018
63,7110-01-612-8456,"CHAIR,ROTARY",4,294.0,2020
31,2530-01-568-4597,"WHEEL,PNEUMATIC TIRE",8,200.0,4038
9,1240-00-654-3811,TRIPOD M15,6,122.0,2017
40,5820-01-322-3477,"CARRYING CASE,RADIO",2,120.0,2019
13,1240-01-572-4487,"HOLDER,OPTICAL ELEMENT",25,119.0,2019
34,4240-01-547-5927,SPAX,20,119.0,2020
1,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,4,117.0,2020
70,8415-01-538-6707,"TROUSERS,EXTREME COLD WEATHER",6,106.0,2020
5,1005-01-472-3902,"BIPOD,FOLDING",30,104.0,2017
54,6545-01-574-8111,"BAG,COMBAT CASUALTY CARE",4,101.0,2019
71,8430-01-605-8643,"BOOTS,COMBAT",5,93.0,2019
38,5120-00-878-5932,"INTRENCHING TOOL,HAND",24,86.0,2019
69,8415-01-461-8341,"SHIRT,COLD WEATHER",6,60.0,2020
10,1240-00-763-5205,LEG TRIPOD,5,59.0,2017
6,1005-01-484-8000,"SIGHT,REAR",4,55.0,2020
33,4240-01-525-5085,"SPECTACLE KIT,INTERCHANGABLE COMPONENT EYESHIELD",60,54.0,2020
68,8415-00-268-7980,"PARKA,SNOW CAMOUFLAGE",6,52.0,2020
36,4910-00-554-0150,"INFLATOR-GAGE,PNEUMATIC TIRE",3,50.0,2019
2,1005-01-382-6795,"RECEIVER,CARTRIDGE",4,41.0,2020
8,1005-01-561-7200,"MAGAZINE,CARTRIDGE",135,27.0,4036
64,7510-00-889-3494,"BINDER,LOOSE-LEAF",6,19.0,4040
73,8465-01-538-1647,"FLAP,POUCH FIELD PACK",40,6.0,2019
74,8470-01-628-7805,"REPAIR KIT,HELMET",6,6.0,2019
72,8440-01-175-7853,"BELT,TROUSERS",1,3.0,2019
75,9905-00-534-8376,"REFLECTOR SET,HIGHWAY WARNING,TRIANGULAR",5,0.0,2020
