,stock_number,item,quantity,value,year
5,2355-20-001-9922,"CAR,ARMORED,MINE DISPOSAL",1,460000.0,2017
15,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",19,191901.0,38342
2,2320-01-380-8233,"TRUCK,UTILITY",1,88634.0,2019
8,3930-DS-FOR-KLIF,FORKLIFT,1,47113.0,2019
18,6350-01-620-4727,SECURITY SURVEILLANCE SYSTEM,1,40000.0,2018
13,5180-01-585-7545,"TOOL KIT,METAL WORKER'S",1,28806.0,2019
4,2340-DS-CAR-T000,"CART, MOTORIZED",1,12293.0,2019
29,8150-01-513-4913,"CONTAINER,FREIGHT,UTILITY",1,10301.0,2019
3,2340-00-585-7495,"SCOOTER,MOTOR",2,6100.0,2019
25,7830-01-615-7228,ELLIPTICAL CROSS TRAINER,1,3995.0,2019
21,7025-DS-CON-TRO5,CONTROLLER,9,2664.0,4038
6,3770-DS-SAD-DLER,"SADDLERY, HARNESS, WHIPS, AND RELATED",13,2545.0,4038
26,7830-DS-BIC-YCEE,"BICYCLE, EXERCISE",1,2000.0,2019
12,4320-DS-PUM-PPAH,POWER AND HAND PUMPS,1,1800.0,2019
28,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,4,1200.0,2019
7,3825-DS-SWE-EPER,"ROAD CLEARING, CLEANING, AND MARKING",1,999.0,2020
22,7035-DS-ROU-TER3,"ROUTER, DIGITAL",15,822.0,2019
17,6150-01-623-0184,"INSTALLATION KIT,ELECTRIC POWER AND DISTRIBUTION EQUIPMENT",5,755.0,2019
19,6515-01-554-1807,"OXIMETER,PULSE",2,744.0,2019
0,1240-01-411-1265,"SIGHT,REFLEX",15,642.0,4036
9,4120-DS-AIR-COND,AIR CONDITIONER,7,500.0,2019
14,5180-DS-TOO-LKIT,"SETS, KITS, AND OUTFITS OF HAND TOOLS",1,450.0,2019
1,1240-01-576-6134,"SIGHT,REFLEX",12,446.0,2018
23,7195-01-330-0183,"TOP,WORK TABLE",8,444.0,2019
11,4240-01-370-3823,"MASK,CHEMICAL-BIOLOGICAL",19,278.0,2018
10,4240-01-370-3822,"MASK,CHEMICAL-BIOLOGICAL",11,277.0,2018
20,6920-DS-TRA-INE0,ARMAMENT TRAINING DEVICES,12,250.0,2018
27,8115-DS-CAS-E003,CASE,9,156.0,2019
24,7510-01-384-7065,"BINDER,LOOSE-LEAF",55,2.0,2019
16,6115-01-628-2515,"GENERATOR SET,DIESEL ENGINE",2,0.0,4038
