,stock_number,item,quantity,value,year
23,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2018
11,1385-01-627-4491,RECON SCOUT XT,15,173345.0,30255
29,3930-01-054-3833,"TRUCK,LIFT,FORK",1,100010.0,2020
16,2330-01-458-6865,"SEMITRAILER,LOW BED",3,99468.0,6057
28,3805-01-562-7976,"SKID LOADER,ARMORED",1,80433.0,2017
10,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,1,77000.0,2017
26,3805-01-150-4795,"GRADER,ROAD,MOTORIZED",1,67724.0,2019
27,3805-01-150-4814,"LOADER,SCOOP TYPE",1,58890.0,2019
17,2330-DS-TRA-ILE1,TRAILER,6,58605.0,12115
8,1375-98-206-5633,"FIRING DEVICE SET,DEMOLITION",2,43260.0,2019
50,8150-01-580-6589,"CONTAINER,20'ISO",12,40056.0,12114
22,2340-DS-MUL-E000,MULE,2,27348.0,4039
43,6115-01-461-9335,"GENERATOR SET,DIESEL ENGINE",1,26705.0,2019
48,8140-DS-AMM-OBOX,AMMUNITION BOX,4,26598.0,2018
21,2340-DS-CAR-T000,"CART, MOTORIZED",2,18990.0,4038
14,2320-01-090-7831,"TRUCK,CARRYALL",1,15000.0,2019
20,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,11750.0,2020
18,2340-01-574-6673,ALL TERRAIN VEHICLE WHEELED,1,11365.0,2018
19,2340-01-627-3510,ALL TERRAIN VEHICLE WHEELED,1,11365.0,2019
42,6115-01-275-5061,"GENERATOR SET,DIESEL ENGINE",1,10700.0,2019
41,5895-01-560-3139,SOLAR POWER SOURCE,1,10054.0,2017
15,2330-01-212-2187,"TRAILER,TANK",1,9053.0,2019
44,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",3,9000.0,2019
49,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,2,5400.0,4038
9,1385-01-574-1677,"REMOTE HANDLING SET,EXPLOSIVE ORDNANCE DISPOSAL",5,5363.0,2017
3,1240-01-386-2771,"TELESCOPE,STRAIGHT",2,2160.0,2019
39,5180-01-548-7634,"TOOL KIT,GENERAL MECHANICS",4,1762.0,2019
12,1615-01-063-4016,STRAP ASSEMBLY,9,1734.0,2018
25,3110-00-822-2130,"BEARING,ROLLER,CYLINDRICAL",10,1400.0,2017
13,1940-01-249-3941,"BOAT,RECONNAISSANCE,PNEUMATIC",2,1185.0,2019
35,5130-DS-SAW-0002,"SAW, POWER",1,1100.0,2019
7,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,2,1000.0,2019
37,5140-01-502-7546,"POUCH,EXPLOSIVE ORDNANCE DISPOSAL TOOLS",15,973.0,2019
40,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",50,870.0,2017
38,5180-01-195-0855,"TOOL KIT,ELECTRONIC SYSTEM",1,835.0,2019
30,4110-DS-REF-RIG0,REFRIGERATOR,2,740.0,4039
31,5110-01-473-9774,"CUTTER,PIPE",1,510.0,2020
1,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",2,436.0,2019
46,6230-01-588-8427,"LIGHT KIT,WEAPONS",55,436.0,2018
32,5120-01-067-5016,"WRENCH SET,COMBINATION BOX AND OPEN END",1,373.0,2019
5,1240-01-540-3690,"SIGHT,REFLEX",40,321.0,2018
4,1240-01-411-1265,"SIGHT,REFLEX",75,321.0,2018
2,1240-00-930-3833,BINOCULAR,8,278.0,2017
45,6230-01-572-1901,"PROBE LIGHT,INSPECTION",1,254.0,2019
6,1240-01-572-4487,"HOLDER,OPTICAL ELEMENT",15,238.0,4038
24,2530-01-568-4597,"WHEEL,PNEUMATIC TIRE",8,200.0,4038
52,8415-01-538-6315,"PARKA,EXTREME COLD WEATHER",1,124.0,2019
51,8415-01-538-6289,"PARKA,EXTREME COLD WEATHER",1,124.0,2019
56,8415-01-545-8724,"PARKA,EXTREME COLD WEATHER",2,116.0,2019
53,8415-01-538-6706,"TROUSERS,EXTREME COLD WEATHER",5,106.0,2019
54,8415-01-538-6707,"TROUSERS,EXTREME COLD WEATHER",1,106.0,2019
57,8415-01-546-0019,"TROUSERS,EXTREME COLD WEATHER",1,106.0,2019
55,8415-01-538-6709,"TROUSERS,EXTREME COLD WEATHER",1,106.0,2019
36,5140-00-331-5496,"TOOL BOX,PORTABLE",4,80.0,2019
58,9150-01-053-6688,"CLEANER,LUBRICANT AND PRESERVATIVE",4,61.0,2019
60,9930-01-331-6244,"POUCH,HUMAN REMAINS",100,44.0,2019
34,5120-DS-HAN-DTOO,"HAND TOOLS, NONEDGED, NONPOWERED",1,35.0,2019
33,5120-01-604-5534,"WRENCH,BOX AND OPEN END,COMBINATION",2,25.0,2019
59,9150-01-054-6453,"CLEANER,LUBRICANT AND PRESERVATIVE",15,14.0,2019
0,1005-01-561-7200,"MAGAZINE,CARTRIDGE",40,14.0,2018
47,8115-01-650-5691,"BOX,SMALL PARTS",1,4.0,2019
