,stock_number,item,quantity,value,year
15,2355-01-581-2392,MINE RESISTANT VEHICLE,1,705421.0,2020
13,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2018
14,2355-01-570-7996,MINE RESISTANT VEHICLE,1,495000.0,2019
12,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4034
10,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
11,2320-01-146-7189,"TRUCK,UTILITY",1,41994.0,2018
1,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",37,27713.0,74629
16,5855-01-228-0937,NIGHT VISION GOGGLE,3,10734.0,6051
18,6720-01-550-4441,CAMERA SUBASSEMBLY,3,4295.0,2018
17,5855-01-533-0555,"ILLUMINATOR,INFRARED",35,1800.0,2019
8,1240-01-533-0939,"SIGHT,BORE,OPTICAL",6,800.0,2018
9,1240-01-540-3690,"SIGHT,REFLEX",38,642.0,4035
6,1240-01-411-1265,"SIGHT,REFLEX",29,642.0,4035
4,1005-01-484-8000,"SIGHT,REAR",56,165.0,6051
2,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,5,117.0,2017
7,1240-01-439-7265,"MOUNT,QUICK RELEASE ASSEMBLY",5,43.0,2018
3,1005-01-382-6795,"RECEIVER,CARTRIDGE",5,41.0,2017
5,1005-01-527-2557,"GRIP,PISTOL",5,20.0,2018
0,1005-00-921-5004,"MAGAZINE,CARTRIDGE",10,14.0,2017
