,stock_number,item,quantity,value,year
28,2355-01-596-1330,MINE RESISTANT VEHICLE,1,575000.0,2019
17,2320-01-075-2831,"TRUCK,DUMP",3,349500.0,6057
22,2320-01-488-6962,TRUCK TRACTOR,1,166223.0,2020
37,3825-DS-SWE-EPER,"ROAD CLEARING, CLEANING, AND MARKING",1,162848.0,2020
35,3825-01-205-0450,"TRUCK,SNOW REMOVAL EQUIPMENT",1,154006.0,2020
12,1240-01-490-3413,"RANGE FINDER,LASER",6,109620.0,6051
25,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,2,96252.0,4039
33,3805-01-524-4613,"LOADER,SCOOP TYPE",1,71391.0,2019
16,2320-00-580-2955,"TRUCK,CARGO",2,64660.0,4038
45,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,11,62150.0,22187
19,2320-01-125-2640,TRUCK TRACTOR,1,57454.0,2019
54,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",4,35424.0,4038
44,5820-DS-HAR-ADIO,"Receiver-Transmitter, Radio (Hand Radio)",8,27776.0,16144
21,2320-01-484-6748,"TRUCK,CARGO",1,27234.0,2020
24,2320-DS-PIC-KUP0,PICKUP,1,26327.0,2020
18,2320-01-091-1682,"TRUCK,DUMP",1,25600.0,2019
15,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",2,24512.0,4034
23,2320-01-595-9586,"VEHICLE,SPORT UTILITY,CLASS III,MIDSIZE,INTERMEDIATE 4X4",2,22503.0,2020
34,3805-DS-EAR-THMO,EARTH MOVING AND EXCAVATING EQUIPMENT,1,20000.0,2019
59,6665-01-504-7769,"DETECTING SET,MINE",1,19300.0,2017
48,5855-01-506-5920,"SIGHT,NIGHT VISION SNIPERSCOPE",13,15406.0,26260
29,3431-00-708-7625,"WELDING MACHINE,ARC",1,11462.0,2019
63,7021-01-623-3775,"COMPUTER,DIGITAL",3,11307.0,6060
31,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",1,8500.0,2019
20,2320-01-127-4800,"TRUCK,CARGO",1,7895.0,2020
55,6230-DS-LIG-HT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",1,7000.0,2019
65,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,2,6000.0,4038
26,2330-DS-TRA-ILE1,TRAILER,1,4554.0,2019
51,5855-01-561-5153,"TELESCOPE,NON-INVERTING INFRARED",3,4378.0,6051
62,7010-01-579-7381,"COMPUTER SYSTEM,DIGITAL",7,3807.0,2018
10,1240-01-203-7442,"KIT,BORESIGHT,MACHINE GUN",1,3234.0,2017
27,2340-DS-MTR-CYCL,MOTORCYCLE,1,3000.0,2019
42,5180-00-699-5273,"TOOL KIT,GENERAL MECHANICS",2,2309.0,2019
53,5895-01-629-4310,"CASE,ELECTRONIC COMMUNICATIONS EQUIPMENT",2,2015.0,2017
8,1095-DS-MIS-CWEA,MISCELLANEOUS WEAPONS,20,1968.0,4038
36,3825-DS-NOW-BLOW,SNOW BLOWER,3,1600.0,4038
9,1240-01-165-2183,"TELESCOPE,STRAIGHT",10,1556.0,2017
61,6910-DS-TRA-INAI,TRAINING AIDS,1,1470.0,2020
39,4933-01-394-7781,"BORE LIGHT SYSTEM,LASER",2,1284.0,4034
47,5855-01-459-4348,"ILLUMINATOR,INFRARED",6,1088.0,2017
52,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,1049.0,2019
11,1240-01-411-1265,"SIGHT,REFLEX",44,963.0,6053
50,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",14,870.0,2018
60,6720-01-571-4627,"CAMERA SYSTEM,DIGITAL",62,723.0,8068
3,1005-00-999-1871,"STOCK,GUN,SHOULDER",2,670.0,2018
13,1240-01-560-9462,"TELESCOPE,ARTICULATED",1,550.0,2017
57,6240-01-532-4184,"LAMP,INCANDESCENT",9,427.0,2019
6,1005-99-132-2616,"KIT,CONVERSION,M16-",6,397.0,2018
79,8415-01-538-6300,"PARKA,EXTREME COLD WEATHER",21,372.0,6057
84,8415-01-538-6709,"TROUSERS,EXTREME COLD WEATHER",5,319.0,6057
83,8415-01-538-6704,"TROUSERS,EXTREME COLD WEATHER",12,319.0,6057
64,7025-01-573-3946,"PRINTER,AUTOMATIC DATA PROCESSING",13,301.0,4036
80,8415-01-538-6308,"PARKA,EXTREME COLD WEATHER",10,248.0,4038
40,5130-01-455-5579,"DRILL,ELECTRIC,PORTABLE",2,245.0,2019
82,8415-01-538-6695,"TROUSERS,EXTREME COLD WEATHER",6,212.0,4038
32,3805-01-237-5670,"CUTTING EDGE,MOLDBOARD",3,164.0,2019
49,5855-01-523-4058,"BATTERY COMPARTMENT,NIGHT VISION VIEWER",5,159.0,2019
30,3438-DS-MIS-CWEL,MISCELLANEOUS WELDING EQUIPMENT,1,150.0,2019
5,1005-01-563-8451,"BIPOD,RIFLE",15,147.0,2019
81,8415-01-538-6315,"PARKA,EXTREME COLD WEATHER",4,124.0,2019
78,8415-01-538-6278,"PARKA,EXTREME COLD WEATHER",9,124.0,2019
41,5130-01-493-9096,"SAW,RECIPROCATING,PORTABLE,ELECTRIC",1,124.0,2019
96,8430-01-547-4890,"BOOTS,COMBAT",3,121.0,2019
97,8430-01-547-4908,"BOOTS,COMBAT",4,121.0,2019
95,8430-01-547-4682,"BOOTS,COMBAT",3,121.0,2019
14,1240-01-572-4487,"HOLDER,OPTICAL ELEMENT",16,119.0,2020
87,8415-01-545-9579,"PARKA,EXTREME COLD WEATHER",1,116.0,2019
89,8415-01-546-0117,"TROUSERS,EXTREME COLD WEATHER",5,106.0,2019
88,8415-01-546-0019,"TROUSERS,EXTREME COLD WEATHER",2,106.0,2019
4,1005-01-472-3902,"BIPOD,FOLDING",12,104.0,2017
56,6240-01-525-8961,"HEADLAMP,EMERGENCY",16,104.0,4038
66,8415-00-376-1672,"PARKA,EXTREME COLD WEATHER",1,102.0,2019
68,8415-00-376-1734,"PARKA,EXTREME COLD WEATHER",3,102.0,2019
67,8415-00-376-1710,"PARKA,EXTREME COLD WEATHER",1,102.0,2019
7,1005-DS-SWE-PART,WEAPON PARTS,2,100.0,2017
94,8430-00-135-2715,"BOOTS,CLIMBERS",10,72.0,2019
38,4933-01-031-7229,"TARGET ASSEMBLY,BORESIGHT ALIGNMENT",3,66.0,2017
86,8415-01-538-6752,"JACKET,COLD WEATHER",4,62.0,2019
85,8415-01-538-6742,"JACKET,COLD WEATHER",4,62.0,2019
77,8415-01-527-2767,"MITTEN SET,EXTREME COLD WEATHER",1,62.0,2019
72,8415-01-465-4656,"JACKET,PHYSICAL FIT",6,60.0,2019
73,8415-01-465-4821,"JACKET,PHYSICAL FIT",4,60.0,2019
74,8415-01-465-4826,"JACKET,PHYSICAL FIT",6,60.0,2019
91,8415-01-555-3838,"DRAWERS,COLD WEATHER",12,46.0,2019
90,8415-01-555-3816,"DRAWERS,COLD WEATHER",6,46.0,2019
92,8415-01-555-3851,"DRAWERS,COLD WEATHER",5,46.0,2019
58,6260-01-230-8597,"LIGHT,CHEMILUMINESCENT",10,38.0,2019
93,8415-01-555-3902,"SHIRT,COLD WEATHER",6,35.0,2019
1,1005-00-628-9048,"MAGAZINE,CARTRIDGE",25,32.0,4038
69,8415-01-465-4641,"PANTS,PFU",4,31.0,2019
71,8415-01-465-4647,"PANTS,PFU",4,31.0,2019
70,8415-01-465-4645,"PANTS,PFU",10,31.0,2019
2,1005-00-921-5004,"MAGAZINE,CARTRIDGE",62,27.0,4035
43,5340-DS-LOC-K000,"LOCK, COMMERCIAL",6,24.0,2020
46,5855-01-152-0506,"BATTERY COMPARTMENT,NIGHT VISION VIEWER",15,17.0,2017
0,1005-00-056-2237,"MAGAZINE,CARTRIDGE",30,12.0,2019
76,8415-01-465-7106,"T-SHIRT,ATHLETES",30,6.0,2019
75,8415-01-465-7105,"T-SHIRT,ATHLETES",30,6.0,2019
98,8440-00-153-6719,SOCKS,22,3.0,2019
99,8465-01-225-4661,"BELT,HIGH VISIBILITY",15,3.0,2019
