name,party,start,end,url,image
Theresa May MP,Conservative,2016,2019,https://www.gov.uk/government/history/past-prime-ministers/theresa-may,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/6/s216_PM_portrait_960x640.jpg
David Cameron,Conservative,2010,2016,https://www.gov.uk/government/history/past-prime-ministers/david-cameron,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1/s216_David_Cameron.jpg
Gordon Brown,Labour,2007,2010,https://www.gov.uk/government/history/past-prime-ministers/gordon-brown,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/964/s216_Gordon-Brown.jpg
Tony Blair,Labour,1997,2007,https://www.gov.uk/government/history/past-prime-ministers/tony-blair,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/965/s216_tony-blair-bw.jpg
Sir John Major KG CH,Conservative,1990,1997,https://www.gov.uk/government/history/past-prime-ministers/john-major,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/966/s216_John-Major.jpg
Baroness Margaret Thatcher,Conservative,1979,1990,https://www.gov.uk/government/history/past-prime-ministers/margaret-thatcher,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/967/s216_Margaret-Thatcher.jpg
James Callaghan,Labour,1976,1979,https://www.gov.uk/government/history/past-prime-ministers/james-callaghan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/968/s216_James-Callaghan.jpg
Harold Wilson,Labour,1974,1976,https://www.gov.uk/government/history/past-prime-ministers/harold-wilson,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/969/s216_Harold-Wilson.jpg
Sir Edward Heath,Conservative,1970,1974,https://www.gov.uk/government/history/past-prime-ministers/edward-heath,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/970/s216_Edward-Heath.jpg
Sir Alec Douglas-Home,Conservative,1963,1964,https://www.gov.uk/government/history/past-prime-ministers/alec-douglas-home,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/971/s216_Sir-Alec-Douglas-Home.jpg
Harold Macmillan,Conservative,1957,1963,https://www.gov.uk/government/history/past-prime-ministers/harold-macmillan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/972/s216_Harold-Macmillan.jpg
Sir Anthony Eden,Conservative,1955,1957,https://www.gov.uk/government/history/past-prime-ministers/anthony-eden,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/973/s216_Sir-Anthony-Eden.jpg
Sir Winston Churchill,Conservative,1951,1955,https://www.gov.uk/government/history/past-prime-ministers/winston-churchill,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/974/s216_Sir-Winston-Churchill.jpg
Clement Attlee,Labour,1945,1951,https://www.gov.uk/government/history/past-prime-ministers/clement-attlee,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/975/s216_Clement-Attlee.jpg
Neville Chamberlain,Conservative,1937,1940,https://www.gov.uk/government/history/past-prime-ministers/neville-chamberlain,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/976/s216_Neville-Chamberlain.jpg
Stanley Baldwin,Conservative,1935,1937,https://www.gov.uk/government/history/past-prime-ministers/stanley-baldwin,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/977/s216_Stanley-Baldwin.jpg
James Ramsay MacDonald,Labour,1929,1935,https://www.gov.uk/government/history/past-prime-ministers/james-ramsay-macdonald,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/978/s216_James-Ramsay-MacDonald.jpg
Andrew Bonar Law,Conservative,1922,1923,https://www.gov.uk/government/history/past-prime-ministers/andrew-bonar-law,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/979/s216_Andrew-Bonar-Law.jpg
David Lloyd George,Liberal,1916,1922,https://www.gov.uk/government/history/past-prime-ministers/david-lloyd-george,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/980/s216_David-Lloyd-George.jpg
Herbert Henry Asquith,Liberal,1908,1916,https://www.gov.uk/government/history/past-prime-ministers/herbert-henry-asquith,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/983/s216_Herbert-Henry-Asquith.jpg
Sir Henry Campbell-Bannerman,Liberal,1905,1908,https://www.gov.uk/government/history/past-prime-ministers/henry-campbell-bannerman,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/981/s216_Henry-Campbell-Bannerman.jpg
Arthur James Balfour,Conservative,1902,1905,https://www.gov.uk/government/history/past-prime-ministers/arthur-james-balfour,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/982/s216_Arthur-James-Balfour.jpg
"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury",Conservative,1895,1902,https://www.gov.uk/government/history/past-prime-ministers/robert-gascoyne-cecil,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/984/s216_Marquess-Salisbury.jpg
"Archibald Primrose, 5th Earl of Rosebery",Liberal,1894,1895,https://www.gov.uk/government/history/past-prime-ministers/archibald-primrose-5th-earl-of-rosebery,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/985/s216_earl-rosebery-archibald-primrose.jpg
William Ewart Gladstone,Liberal,1892,1894,https://www.gov.uk/government/history/past-prime-ministers/william-ewart-gladstone,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/986/s216_William-Gladstone.jpg
"Benjamin Disraeli, the Earl of Beaconsfield",Conservative,1874,1880,https://www.gov.uk/government/history/past-prime-ministers/benjamin-disraeli-the-earl-of-beaconsfield,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/987/s216_Benjamin-Disraeli.jpg
"Edward Smith Stanley, 14th Earl of Derby",Tory/Whig,1866,1868,https://www.gov.uk/government/history/past-prime-ministers/edward-smith-stanley-14th-earl-of-derby,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/988/s216_Earl-Derby.jpg
"Lord John Russell, 1st Earl Russell",Whig,1865,1866,https://www.gov.uk/government/history/past-prime-ministers/lord-john-russell-1st-earl-russell,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/989/s216_Earl-Russell.jpg
"Henry John Temple, 3rd Viscount Palmerston",Whig/Liberal,1859,1865,https://www.gov.uk/government/history/past-prime-ministers/henry-john-temple-3rd-viscount-palmerston,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/990/s216_Viscount-Palmerston.jpg
George Hamilton Gordon Earl of Aberdeen,Conservative,1852,1855,https://www.gov.uk/government/history/past-prime-ministers/george-hamilton-gordon-earl-of-aberdeen,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/995/s216_Earl-Aberdeen.jpg
Sir Robert Peel 2nd Baronet,Conservative,1841,1846,https://www.gov.uk/government/history/past-prime-ministers/robert-peel-2nd-baronet,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1001/s216_Sir-Robert-Peel.jpg
"William Lamb, 2nd Viscount Melbourne",Whig,1835,1841,https://www.gov.uk/government/history/past-prime-ministers/william-lamb-2nd-viscount-melbourne,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1002/s216_Viscount-Melbourne.jpg
