Timestamp,Temperature/High/Mean (°F),Temperature/High/Percentile10th (°F),Temperature/High/Percentile25th (°F),Temperature/High/Percentile75th (°F),Temperature/High/Percentile90th (°F),Temperature/Low/Mean (°F),Temperature/Low/Percentile10th (°F),Temperature/Low/Percentile25th (°F),Temperature/Low/Percentile75th (°F),Temperature/Low/Percentile90th (°F),Temperature/Mean (°F),PerceivedTemperature/High (°F),PerceivedTemperature/Low (°F),CloudCover/Clear (%),CloudCover/MostlyClear (%),CloudCover/PartlyCloudy (%),CloudCover/MostlyCloudy (%),CloudCover/Overcast (%),Precipitation/Total (%),Precipitation/Rain (%),Precipitation/Mixed (%),Precipitation/Snow (%),Precipitation/Quantity/Mean (in),Rainfall/Mean (in),Rainfall/Percentile10th (in),Rainfall/Percentile25th (in),Rainfall/Percentile75th (in),Rainfall/Percentile90th (in),Snowfall/Mean (in),Snowfall/Percentile10th (in),Snowfall/Percentile25th (in),Snowfall/Percentile75th (in),Snowfall/Percentile90th (in),Snowfall/LiquidEquivalent/Mean (in),Snowfall/LiquidEquivalent/Percentile10th (in),Snowfall/LiquidEquivalent/Percentile25th (in),Snowfall/LiquidEquivalent/Percentile75th (in),Snowfall/LiquidEquivalent/Percentile90th (in),Sun/2022/PreviousSolarMidnight (hr),Sun/2022/AstronomicalRise (hr),Sun/2022/NauticalRise (hr),Sun/2022/CivilRise (hr),Sun/2022/Rise (hr),Sun/2022/Noon (hr),Sun/2022/Set (hr),Sun/2022/CivilSet (hr),Sun/2022/NauticalSet (hr),Sun/2022/AstronomicalSet (hr),Sun/2022/NextSolarMidnight (hr),Daylight/2022/Day (hr),Daylight/2022/CivilDay (hr),Daylight/2022/NauticalDay (hr),Daylight/2022/AstronomicalDay (hr),Humidity/Dry (%),Humidity/Comfortable (%),Humidity/Humid (%),Humidity/Muggy (%),Humidity/Oppressive (%),Humidity/Miserable (%),Wind/Speed/Mean (mph),Wind/Speed/Percentile10th (mph),Wind/Speed/Percentile25th (mph),Wind/Speed/Percentile75th (mph),Wind/Speed/Percentile90th (mph),Wind/Direction/Cardinal/Calm (%),Wind/Direction/Cardinal/N (%),Wind/Direction/Cardinal/E (%),Wind/Direction/Cardinal/S (%),Wind/Direction/Cardinal/W (%),Wind/Direction/Ordinal/Calm (%),Wind/Direction/Ordinal/N (%),Wind/Direction/Ordinal/NE (%),Wind/Direction/Ordinal/E (%),Wind/Direction/Ordinal/SE (%),Wind/Direction/Ordinal/S (%),Wind/Direction/Ordinal/SW (%),Wind/Direction/Ordinal/W (%),Wind/Direction/Ordinal/NW (%),Wind/Direction/Display/Calm (%),Wind/Direction/Display/N8 (%),Wind/Direction/Display/NE8PartOfN4 (%),Wind/Direction/Display/NE8PartOfE4 (%),Wind/Direction/Display/E8 (%),Wind/Direction/Display/SE8PartOfE4 (%),Wind/Direction/Display/SE8PartOfS4 (%),Wind/Direction/Display/S8 (%),Wind/Direction/Display/SW8PartOfS4 (%),Wind/Direction/Display/SW8PartOfW4 (%),Wind/Direction/Display/W8 (%),Wind/Direction/Display/NW8PartOfW4 (%),Wind/Direction/Display/NW8PartOfN4 (%),WaterTemperature/Mean (°F),WaterTemperature/Percentile10th (°F),WaterTemperature/Percentile25th (°F),WaterTemperature/Percentile75th (°F),WaterTemperature/Percentile90th (°F),BestTime/TemperatureTourismScore (),BestTime/TemperatureBeachScore (),BestTime/CloudScore (),BestTime/PrecipitationScore (),BestTime/TourismScore (),BestTime/BeachScore (),GrowingSeasonProbability (%),Temperature/Frigid (%),Temperature/Freezing (%),Temperature/Chilly (%),Temperature/Cold (%),Temperature/Cool (%),Temperature/Comfortable (%),Temperature/Warm (%),Temperature/Hot (%),Temperature/Sweltering (%),GrowingDegreeDays/Mean (°F),GrowingDegreeDays/Percentile10th (°F),GrowingDegreeDays/Percentile25th (°F),GrowingDegreeDays/Percentile75th (°F),GrowingDegreeDays/Percentile90th (°F),SolarEnergy/Mean (kWh),SolarEnergy/Percentile10th (kWh),SolarEnergy/Percentile25th (kWh),SolarEnergy/Percentile75th (kWh),SolarEnergy/Percentile90th (kWh)
2022-01-01,72.13,66.06,69.07,75.12,78.32,59.15,53.75,56.22,61.84,64.82,65.35,71.68,58.94,58.84,9.14,7.32,6.71,17.97,3.31,3.31,0.00,0.00,0.28,0.28,0.00,0.00,0.35,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,4.96,5.43,5.90,6.32,11.62,16.92,17.34,17.81,18.28,23.62,10.60,11.43,12.38,13.32,51.06,27.36,16.59,4.80,0.17,0.00,10.33,4.21,6.60,13.73,17.03,0.00,56.47,11.30,17.11,15.13,0.00,19.08,4.51,4.77,10.79,8.61,3.74,3.76,44.75,0.00,19.08,2.45,2.06,4.77,4.46,6.32,8.61,2.18,1.56,3.76,9.81,34.94,70.14,67.72,69.13,70.98,72.36,8.41,2.90,7.95,9.89,8.02,3.54,100.00,0.00,0.00,0.02,3.53,45.00,46.00,5.38,0.09,0.00,0.49,0.32,0.43,0.58,0.66,4.04,3.09,3.88,4.45,4.57
2022-01-02,72.13,66.06,69.07,75.12,78.32,59.15,53.75,56.22,61.84,64.82,65.35,71.68,58.94,58.84,9.14,7.32,6.71,17.97,3.31,3.31,0.00,0.00,0.28,0.28,0.00,0.00,0.35,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,4.97,5.43,5.91,6.33,11.63,16.93,17.35,17.82,18.29,23.63,10.61,11.44,12.39,13.32,51.06,27.36,16.59,4.80,0.17,0.00,10.33,4.21,6.60,13.73,17.03,0.00,56.47,11.30,17.11,15.13,0.00,19.08,4.51,4.77,10.79,8.61,3.74,3.76,44.75,0.00,19.08,2.45,2.06,4.77,4.46,6.32,8.61,2.18,1.56,3.76,9.81,34.94,70.14,67.72,69.13,70.98,72.36,8.41,2.90,7.95,9.89,8.02,3.54,100.00,0.00,0.00,0.02,3.53,45.00,46.00,5.38,0.09,0.00,0.49,0.32,0.43,0.58,0.66,4.04,3.09,3.88,4.45,4.57
2022-01-03,72.02,65.97,68.98,74.92,78.18,59.03,53.61,56.06,61.78,64.60,65.23,71.54,58.82,58.88,9.21,7.35,6.84,17.72,3.31,3.31,0.00,0.00,0.27,0.27,0.00,0.00,0.35,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.37,4.97,5.44,5.91,6.33,11.64,16.94,17.36,17.83,18.30,23.64,10.61,11.45,12.39,13.33,51.78,27.05,16.69,4.38,0.11,0.00,10.35,4.22,6.63,13.76,17.09,0.00,56.75,11.37,16.81,15.06,0.00,18.95,4.55,4.86,10.79,8.30,3.68,3.77,45.11,0.00,18.95,2.48,2.08,4.86,4.44,6.36,8.30,2.15,1.53,3.77,9.77,35.34,70.00,67.58,68.98,70.84,72.16,8.38,2.82,7.96,9.89,8.01,3.47,100.00,0.00,0.00,0.02,3.80,45.41,45.53,5.14,0.09,0.00,14.82,11.62,13.04,16.92,18.13,4.04,3.08,3.87,4.46,4.59
2022-01-04,71.91,65.89,68.84,74.81,78.07,58.89,53.49,55.89,61.64,64.51,65.09,71.40,58.66,58.81,9.23,7.37,7.06,17.52,3.40,3.40,0.00,0.00,0.27,0.27,0.00,0.00,0.35,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,4.98,5.44,5.92,6.33,11.64,16.95,17.37,17.84,18.31,23.65,10.62,11.45,12.40,13.33,52.53,26.63,16.56,4.22,0.04,0.00,10.36,4.18,6.61,13.77,17.15,0.00,56.53,11.64,16.84,14.98,0.00,18.55,4.59,4.93,10.94,8.37,3.66,3.71,45.27,0.00,18.55,2.50,2.09,4.93,4.63,6.31,8.37,2.16,1.50,3.71,9.77,35.50,69.86,67.47,68.84,70.70,71.99,8.34,2.75,7.96,9.88,7.99,3.40,100.00,0.00,0.00,0.03,4.10,45.97,44.91,4.93,0.09,0.00,29.14,22.98,25.73,33.05,35.49,4.05,3.06,3.88,4.47,4.61
2022-01-05,71.80,65.78,68.76,74.72,78.04,58.73,53.30,55.81,61.50,64.40,64.97,71.29,58.51,58.97,9.13,7.31,7.11,17.47,3.57,3.57,0.00,0.00,0.27,0.27,0.00,0.00,0.35,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,4.98,5.45,5.92,6.34,11.65,16.97,17.38,17.85,18.32,23.65,10.63,11.46,12.41,13.34,53.28,26.22,16.45,4.03,0.03,0.00,10.36,4.20,6.62,13.75,17.16,0.00,56.16,11.91,16.95,14.98,0.00,18.34,4.49,4.98,11.21,8.43,3.72,3.74,45.09,0.00,18.34,2.45,2.04,4.98,4.89,6.32,8.43,2.20,1.52,3.74,9.71,35.38,69.72,67.35,68.73,70.56,71.85,8.30,2.69,7.97,9.88,7.97,3.33,100.00,0.00,0.00,0.04,4.24,46.59,44.25,4.78,0.09,0.00,43.48,34.31,38.31,49.13,52.88,4.06,3.05,3.89,4.49,4.62
2022-01-06,71.66,65.67,68.70,74.61,77.84,58.61,53.18,55.71,61.39,64.23,64.83,71.15,58.37,58.97,9.12,7.20,7.18,17.53,3.66,3.66,0.00,0.00,0.27,0.27,0.00,0.00,0.35,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,4.99,5.45,5.93,6.34,11.66,16.98,17.39,17.87,18.33,23.66,10.64,11.47,12.41,13.34,54.19,25.89,15.96,3.92,0.03,0.00,10.38,4.19,6.61,13.78,17.21,0.00,56.44,11.94,16.73,14.90,0.00,18.31,4.41,4.96,11.34,8.27,3.68,3.75,45.28,0.00,18.31,2.45,1.96,4.96,5.02,6.32,8.27,2.15,1.53,3.75,9.63,35.66,69.57,67.21,68.56,70.45,71.68,8.27,2.61,7.97,9.88,7.95,3.25,100.00,0.00,0.00,0.04,4.47,47.31,43.56,4.54,0.07,0.00,57.82,45.56,50.74,65.31,70.20,4.07,3.04,3.90,4.50,4.64
2022-01-07,71.52,65.44,68.56,74.52,77.70,58.45,52.98,55.51,61.22,64.09,64.70,70.98,58.21,58.97,9.13,7.18,7.25,17.45,3.92,3.92,0.00,0.00,0.27,0.27,0.00,0.00,0.36,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.34,4.99,5.46,5.93,6.34,11.67,16.99,17.40,17.88,18.34,23.67,10.65,11.48,12.42,13.35,55.06,25.28,15.83,3.78,0.03,0.00,10.38,4.21,6.64,13.74,17.19,0.00,56.16,11.85,16.91,15.09,0.00,17.97,4.24,4.97,11.41,8.29,3.73,3.84,45.55,0.00,17.97,2.36,1.89,4.97,5.00,6.42,8.29,2.19,1.54,3.84,9.70,35.84,69.43,67.07,68.42,70.31,71.57,8.23,2.55,7.97,9.88,7.93,3.19,100.00,0.00,0.00,0.04,4.77,47.91,42.84,4.39,0.06,0.00,72.17,56.87,63.17,81.62,87.30,4.08,3.05,3.91,4.52,4.66
2022-01-08,71.40,65.33,68.48,74.38,77.53,58.35,52.77,55.44,61.14,64.01,64.59,70.87,58.10,58.97,9.12,7.23,7.23,17.47,4.10,4.10,0.00,0.00,0.27,0.27,0.00,0.00,0.36,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.33,4.99,5.46,5.93,6.35,11.67,17.00,17.42,17.89,18.35,23.68,10.66,11.48,12.43,13.36,55.97,24.77,15.49,3.76,0.03,0.00,10.39,4.23,6.67,13.74,17.18,0.00,56.22,11.83,16.72,15.23,0.00,17.86,4.13,4.89,11.43,8.17,3.83,3.86,45.84,0.00,17.86,2.27,1.86,4.89,5.08,6.35,8.17,2.20,1.63,3.86,9.74,36.09,69.29,66.96,68.28,70.14,71.46,8.20,2.49,7.97,9.87,7.91,3.12,100.00,0.00,0.00,0.05,4.99,48.31,42.28,4.31,0.05,0.00,86.51,68.06,75.38,97.93,104.51,4.09,3.06,3.91,4.54,4.68
2022-01-09,71.26,65.22,68.34,74.24,77.48,58.21,52.60,55.32,61.05,63.89,64.47,70.73,57.97,58.94,9.03,7.37,7.22,17.45,4.45,4.45,0.00,0.00,0.26,0.26,0.00,0.00,0.36,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.32,5.00,5.46,5.93,6.35,11.68,17.01,17.43,17.90,18.36,23.68,10.67,11.49,12.44,13.37,56.75,24.58,15.09,3.56,0.03,0.00,10.41,4.23,6.67,13.78,17.20,0.00,55.97,11.93,16.91,15.19,0.00,17.81,4.10,4.91,11.59,8.31,3.79,3.91,45.59,0.00,17.81,2.24,1.86,4.91,5.17,6.42,8.31,2.17,1.62,3.91,9.66,35.94,69.15,66.82,68.14,70.00,71.32,8.16,2.42,7.98,9.87,7.89,3.05,100.00,0.00,0.00,0.05,5.21,48.81,41.81,4.05,0.05,0.00,100.80,79.03,87.52,114.19,121.84,4.10,3.04,3.92,4.55,4.69
2022-01-10,71.12,65.19,68.22,74.05,77.31,58.11,52.43,55.26,60.94,63.84,64.36,70.59,57.86,58.88,9.13,7.38,7.21,17.39,4.45,4.45,0.00,0.00,0.26,0.26,0.00,0.00,0.36,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.32,5.00,5.47,5.94,6.35,11.69,17.03,17.44,17.91,18.37,23.69,10.68,11.50,12.45,13.37,57.38,24.39,14.72,3.49,0.03,0.00,10.43,4.22,6.69,13.80,17.21,0.00,55.75,12.18,16.97,15.09,0.00,18.08,4.09,4.99,11.93,8.33,3.61,3.84,45.14,0.00,18.08,2.22,1.86,4.99,5.33,6.61,8.33,2.04,1.58,3.84,9.67,35.47,69.01,66.71,68.00,69.88,71.21,8.13,2.36,7.98,9.86,7.87,3.00,100.00,0.00,0.00,0.06,5.41,49.22,41.47,3.80,0.05,0.00,115.09,90.11,99.45,130.39,139.05,4.11,3.03,3.94,4.57,4.71
