attendance,localdate,winner,matchstatus,resulttype,group_name,humidity,temperature,home_score,home_idteam,home_tactics,home_team,away_score,away_idteam,away_tactics,away_team,overallhome,overallaway
67372,2022-11-20,43927,0,1,Group A,61,24,0.0,43834,5-3-2,Qatar,2.0,43927,4-4-2,Ecuador,47.088547,52.911457
45334,2022-11-21,43942,0,1,Group B,51,26,6.0,43942,4-3-3,England,2.0,43817,5-3-2,IR Iran,73.95281,26.047188
41721,2022-11-21,43960,0,1,Group A,65,24,0.0,43879,4-5-1,Senegal,2.0,43960,3-5-2,Netherlands,46.97914,53.02086
43418,2022-11-21,,0,1,Group B,71,23,1.0,43921,4-3-3,USA,1.0,43974,5-3-2,Wales,57.767494,42.232506
88012,2022-11-22,43835,0,1,Group C,47,27,1.0,43922,4-4-2,Argentina,2.0,43835,4-3-3,Saudi Arabia,65.8303,34.1697
42925,2022-11-22,,0,1,Group D,54,26,0.0,43941,3-5-2,Denmark,0.0,43888,3-4-3,Tunisia,58.82959,41.170414
39369,2022-11-22,,0,1,Group C,54,24,0.0,43911,4-3-3,Mexico,0.0,43962,4-5-1,Poland,59.273937,40.72606
40875,2022-11-22,43946,0,1,Group D,72,22,4.0,43946,4-3-3,France,1.0,43976,4-3-3,Australia,60.667618,39.332386
59407,2022-11-23,,0,1,Group F,37,27,0.0,43872,4-3-3,Morocco,0.0,43938,4-3-3,Croatia,37.27489,62.725113
42608,2022-11-23,43819,0,1,Group E,42,26,1.0,43948,4-5-1,Germany,2.0,43819,4-5-1,Japan,70.57717,29.422832
40013,2022-11-23,43969,0,1,Group E,50,24,7.0,43969,4-3-3,Spain,0.0,43901,4-4-2,Costa Rica,76.74188,23.258118
40432,2022-11-23,43935,0,1,Group F,56,22,1.0,43935,3-5-2,Belgium,0.0,43899,3-4-3,Canada,51.801487,48.198513
39089,2022-11-24,43971,0,1,Group G,19,29,1.0,43971,4-3-3,Switzerland,0.0,43849,4-3-3,Cameroon,49.21995,50.78005
41663,2022-11-24,,0,1,Group H,33,27,0.0,43930,4-3-3,Uruguay,0.0,43822,4-3-3,Korea Republic,56.546097,43.4539
42662,2022-11-24,43963,0,1,Group H,39,25,3.0,43963,4-3-3,Portugal,2.0,43860,3-5-2,Ghana,61.804947,38.195053
88103,2022-11-24,43924,0,1,Group G,45,23,2.0,43924,4-3-3,Brazil,0.0,1902465,3-4-3,Serbia,57.691895,42.30811
40875,2022-11-25,43817,0,1,Group B,37,30,0.0,43974,3-4-3,Wales,2.0,43817,4-3-3,IR Iran,59.88441,40.11559
41797,2022-11-25,43879,0,1,Group A,45,28,1.0,43834,5-3-2,Qatar,3.0,43879,4-4-2,Senegal,46.171757,53.82824
44833,2022-11-25,,0,1,Group A,57,26,1.0,43960,3-5-2,Netherlands,1.0,43927,3-4-3,Ecuador,54.645405,45.354595
68463,2022-11-25,,0,1,Group B,66,25,0.0,43942,4-3-3,England,0.0,43921,4-3-3,USA,54.3105,45.689503
,2022-11-26,,1,0,Group D,,,,43888,,Tunisia,,43976,,Australia,,
,2022-11-26,,1,0,Group C,,,,43962,,Poland,,43835,,Saudi Arabia,,
,2022-11-26,,1,0,Group D,,,,43946,,France,,43941,,Denmark,,
,2022-11-26,,1,0,Group C,,,,43922,,Argentina,,43911,,Mexico,,
,2022-11-27,,1,0,Group E,,,,43819,,Japan,,43901,,Costa Rica,,
,2022-11-27,,1,0,Group F,,,,43935,,Belgium,,43872,,Morocco,,
,2022-11-27,,1,0,Group F,,,,43938,,Croatia,,43899,,Canada,,
,2022-11-27,,1,0,Group E,,,,43969,,Spain,,43948,,Germany,,
,2022-11-28,,1,0,Group G,,,,43849,,Cameroon,,1902465,,Serbia,,
,2022-11-28,,1,0,Group H,,,,43822,,Korea Republic,,43860,,Ghana,,
,2022-11-28,,1,0,Group G,,,,43924,,Brazil,,43971,,Switzerland,,
,2022-11-28,,1,0,Group H,,,,43963,,Portugal,,43930,,Uruguay,,
,2022-11-29,,1,0,Group A,,,,43960,,Netherlands,,43834,,Qatar,,
,2022-11-29,,1,0,Group A,,,,43927,,Ecuador,,43879,,Senegal,,
,2022-11-29,,1,0,Group B,,,,43974,,Wales,,43942,,England,,
,2022-11-29,,1,0,Group B,,,,43817,,IR Iran,,43921,,USA,,
,2022-11-30,,1,0,Group D,,,,43976,,Australia,,43941,,Denmark,,
,2022-11-30,,1,0,Group D,,,,43888,,Tunisia,,43946,,France,,
,2022-11-30,,1,0,Group C,,,,43962,,Poland,,43922,,Argentina,,
,2022-11-30,,1,0,Group C,,,,43835,,Saudi Arabia,,43911,,Mexico,,
,2022-12-01,,1,0,Group F,,,,43938,,Croatia,,43935,,Belgium,,
,2022-12-01,,1,0,Group F,,,,43899,,Canada,,43872,,Morocco,,
,2022-12-01,,1,0,Group E,,,,43819,,Japan,,43969,,Spain,,
,2022-12-01,,1,0,Group E,,,,43901,,Costa Rica,,43948,,Germany,,
,2022-12-02,,1,0,Group H,,,,43860,,Ghana,,43930,,Uruguay,,
,2022-12-02,,1,0,Group H,,,,43822,,Korea Republic,,43963,,Portugal,,
,2022-12-02,,1,0,Group G,,,,1902465,,Serbia,,43971,,Switzerland,,
,2022-12-02,,1,0,Group G,,,,43849,,Cameroon,,43924,,Brazil,,
,2022-12-03,,1,0,,,,,,,,,,,,,
,2022-12-03,,1,0,,,,,,,,,,,,,
,2022-12-04,,1,0,,,,,,,,,,,,,
,2022-12-04,,1,0,,,,,,,,,,,,,
,2022-12-05,,1,0,,,,,,,,,,,,,
,2022-12-05,,1,0,,,,,,,,,,,,,
,2022-12-06,,1,0,,,,,,,,,,,,,
,2022-12-06,,1,0,,,,,,,,,,,,,
,2022-12-09,,1,0,,,,,,,,,,,,,
,2022-12-09,,1,0,,,,,,,,,,,,,
,2022-12-10,,1,0,,,,,,,,,,,,,
,2022-12-10,,1,0,,,,,,,,,,,,,
,2022-12-13,,1,0,,,,,,,,,,,,,
,2022-12-14,,1,0,,,,,,,,,,,,,
,2022-12-17,,1,0,,,,,,,,,,,,,
,2022-12-18,,1,0,,,,,,,,,,,,,
