NAME,pct_change
Agoura Hills,453.32
Bellflower,684.81
Beverly Hills,400.02
Burbank,310.2
Calabasas,571.42
Carson,677.7
Cerritos,552.52
Cerritos,552.52
Claremont,256.26
Claremont,256.26
Commerce,302.38
Compton,579.69
Hollywood Hills,185.38
Hyde Park,1034.47
Jefferson Park,599.99
Koreatown,749.28
Lafayette Square,
Lake Balboa,477.78
Lakeview Terrace,
Leimert Park,1211.21
Lincoln Heights,525.36
Little Armenia,
Little Bangladesh,
Little Tokyo,
Longwood,
Los Feliz,239.14
Manchester Square,406.66
Mandeville Canyon,
Mar Vista,367.51
Marina Peninsula,
Melrose,
Mid-city,
Miracle Mile,
Miracle Mile,
Mission Hills,326.39
Mt. Washington,
North Hills,532.19
North Hollywood,398.47
Northridge,462.14
Pacific Palisades,309.06
Pacoima,396.4
Palisades Highlands,25.01
Palms,897.2
Panorama City,481.44
Park La Brea,
Pico-Union,721.67
Playa Del Rey,-25.0
Playa Vista,269.25
Porter Ranch,568.74
Rancho Park,185.71
Regent Square,
Reseda,349.32
Reseda Ranch,
Reynier Village,
San Pedro,667.62
Shadow Hills,749.99
Sherman Oaks,365.26
Silverlake,
South Carthay,
South Park,643.23
St Elmo Village,
Studio City,329.98
Sun Valley,451.04
Sunland,490.01
Sycamore Square,
Sylmar,426.24
Tarzana,228.0
Temple-Beaudry,
Thai Town,
Toluca Lake,266.67
Toluca Terrace,
Toluca Woods,
Tujunga,544.75
University Hills,
University Park,267.8
Valley Glen,407.13
Valley Village,585.72
Van Nuys,388.69
Venice,200.0
Vermont Knolls,559.36
Vermont Square,1066.66
Vermont Vista,724.99
Vernon Central,
Victoria Park,
Watts,752.69
Wellington Square,
West Adams,408.96
West Hills,635.47
West Los Angeles,442.51
West Vernon,
Westchester,288.62
Westlake,527.73
Westwood,469.07
Wholesale District,
Wilmington,586.02
Wilshire Center,
Winnetka,418.19
Woodland Hills,317.41
Lynwood,583.22
Lynwood,583.22
Malibu,107.7
Manhattan Beach,309.97
Maywood,776.08
Montebello,438.52
Alhambra,635.71
Covina,452.86
Covina,452.86
Cudahy,455.22
Culver City,400.02
Downey,453.91
Duarte,511.41
Duarte,511.41
El Monte,375.47
El Monte,375.47
El Segundo,563.65
Gardena,746.73
Glendale,457.59
Monterey Park,549.99
Norwalk,600.02
Palmdale,347.15
Palmdale,347.15
Palos Verdes Estates,419.96
Paramount,480.95
Pasadena,
Pico Rivera,389.54
Rancho Palos Verdes,615.42
Redondo Beach,291.06
Rolling Hills,
Rolling Hills Estates,240.0
Rosemead,527.78
San Dimas,315.14
San Fernando,384.27
San Gabriel,251.68
San Marino,2000.53
Santa Clarita,292.02
Santa Fe Springs,931.81
Santa Monica,203.37
Sierra Madre,211.11
Signal Hill,335.01
South El Monte,430.19
South El Monte,430.19
South Gate,624.07
South Pasadena,303.99
Temple City,546.16
Torrance,584.32
Vernon,
Walnut,358.08
Walnut,358.08
West Covina,441.7
West Hollywood,46.16
Westlake Village,300.08
Whittier,319.69
Whittier,319.69
Acton,466.69
Agua Dulce,70.0
Altadena,456.4
Anaverde,
Angeles National Forest,
Angeles National Forest,
Arcadia,733.25
Arcadia,733.25
Athens-Westmont,
Athens Village,
Avocado Heights,912.51
Azusa,268.65
Azusa,268.65
Bandini Islands,
Bassett,
Bouquet Canyon,
Bradbury,
Bradbury,
Canyon Country,
Castaic,311.77
Charter Oak,
Covina (Charter Oak),
Del Aire,150.01
Del Rey,231.7
Del Rey,231.7
Del Sur,
Desert View Highlands,
East Covina,
East La Mirada,
East Lancaster,
East Los Angeles,547.47
East Pasadena,166.68
East Rancho Dominguez,378.26
East Whittier,860.03
El Camino Village,
Elizabeth Lake,
Florence-Firestone,528.05
Florence-Firestone,528.05
Franklin Canyon,
Glendora,343.18
Glendora,343.18
Hacienda Heights,329.91
Harbor Gateway,859.55
Harbor Gateway,859.55
Hawthorne,600.72
Hawthorne,600.72
Hi Vista,
Kagel/Lopez Canyons,
La Crescenta-Montrose,337.49
La Habra Heights,
La Habra Heights,
La Rambla,
La Verne,298.21
