"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2035278,"June 15, 2021",Virginia,Hampton,"1500 block of N King St",0,2,N/A
2035117,"June 14, 2021",Tennessee,Memphis,"1780 Pendleton St",0,1,N/A
2035103,"June 14, 2021","New York","Corona (Queens)","189th St and 119th Ave",0,2,N/A
2034224,"June 14, 2021",Connecticut,Hartford,"24 Bliss St",0,2,N/A
2035095,"June 14, 2021",Illinois,Chicago,"5105 W Fulton St",1,0,N/A
2035087,"June 14, 2021","New York",Brooklyn,"456 Dekalb Ave",0,1,N/A
2035074,"June 14, 2021",Illinois,Chicago,"3400 block of W Monroe St",0,3,N/A
2035047,"June 14, 2021","New York","Corona (Queens)","122-42 Nellis St",0,2,N/A
2035060,"June 14, 2021",Illinois,Chicago,"200 block of N Leclaire Ave",1,0,N/A
2035045,"June 14, 2021",Illinois,Chicago,"11000 block of S Wentworth Ave",1,0,N/A
2034279,"June 14, 2021",Illinois,Chicago,"6500 block of S Perry Ave",1,0,N/A
2034862,"June 14, 2021","New York","Corona (Queens)","49-09 25th Ave",0,2,N/A
2035011,"June 14, 2021",Ohio,Cincinnati,"1500 block of Goose Alley",1,0,N/A
2035009,"June 14, 2021",Ohio,Toledo,"2100 block of Auburn Ave",0,0,N/A
2034977,"June 14, 2021",Indiana,"South Bend","N Cleveland Ave and Vassar Ave",0,1,N/A
2034975,"June 14, 2021",Arizona,Tucson,"N Country Club Rd and E Fort Lowell Rd",0,1,N/A
2034956,"June 14, 2021",Texas,Taylor,"4404 Pinehurst Dr",1,1,N/A
2034969,"June 14, 2021",Alabama,"Birmingham (Ensley)","1500 block of 29th St",1,0,N/A
2034961,"June 14, 2021",Alabama,Birmingham,"8500 block of 1st Ave N",0,1,N/A
2034954,"June 14, 2021",Pennsylvania,Philadelphia,"400 block of W Indiana Ave",0,1,N/A
2034947,"June 14, 2021",Pennsylvania,Philadelphia,"1200 block of N 52nd St",0,1,N/A
2034843,"June 14, 2021",Arkansas,"Little Rock","3300 Block of W Roosevelt Rd",1,0,N/A
2034833,"June 14, 2021",Louisiana,"New Orleans",I-10,0,1,N/A
2034825,"June 14, 2021",Mississippi,Vicksburg,"Waltersville Rd and Old Mill Rd",1,0,N/A
2034821,"June 14, 2021",Maryland,Baltimore,"4800 block of Bowleys Ln",0,1,N/A
2034812,"June 14, 2021",Maryland,Baltimore,"2401 Liberty Heights Ave",0,1,N/A
2034817,"June 14, 2021",Maryland,Baltimore,"900block of E Patapsco Ave",0,1,N/A
2034809,"June 14, 2021",Maryland,"Gwynn Oak (Woodlawn)","1104 Ingleside Ave",1,1,N/A
2034806,"June 14, 2021",Maryland,"Park Hall",N/A,0,0,N/A
2034804,"June 14, 2021",Maryland,"Great Mills","21905 Chancellors Run Rd",0,1,N/A
2034548,"June 14, 2021",Georgia,Decatur,"2849 Candler Rd",1,3,N/A
2034758,"June 14, 2021",Maryland,"Oxon Hill","5600 block of Saint Barnabas Rd",0,1,N/A
2034755,"June 14, 2021","District of Columbia",Washington,"4400 block of Benning Rd NE",0,1,N/A
2034762,"June 14, 2021","North Carolina",Durham,"5000 block of NC-55",0,1,N/A
2034751,"June 14, 2021","North Carolina",Durham,"Lincoln St and Linwood Ave",0,1,N/A
2034745,"June 14, 2021","North Carolina","Winston Salem (Winston-salem)","7836 North Point Blvd",0,1,N/A
2034719,"June 14, 2021","New Hampshire",Pittsfield,N/A,0,0,N/A
2034692,"June 14, 2021",Wisconsin,Milwaukee,"4600 block of W Leon Terrace",1,2,N/A
2034706,"June 14, 2021",Massachusetts,Boston,"36 Fenwood Rd",0,1,N/A
2034689,"June 14, 2021",Wisconsin,Milwaukee,"6700 block of N 76th St",0,1,N/A
2034681,"June 14, 2021",Michigan,Detroit,"Saint Aubin St and Larned St",0,1,N/A
2034676,"June 14, 2021",Michigan,Detroit,"17100 block of Patton St",1,0,N/A
2034664,"June 14, 2021",Texas,"El Paso","1600 block of Leroy Bonse Dr",0,0,N/A
2034653,"June 14, 2021","North Carolina",Charlotte,"400 block of Fairwood Ave",0,2,N/A
