state,gop_vote_pct,dem_vote_pct,other_vote_pct,winner,year,gop_vote_margin,dem_vote_margin
Arizona,47.61,49.96,2.43,dem,2018,-2.3500000000000014,2.3500000000000014
California,0.0,100.0,0.0,dem,2018,-100.0,100.0
Connecticut,39.35,56.8,3.85,dem,2018,-17.449999999999996,17.449999999999996
Delaware,37.82,59.95,2.23,dem,2018,-22.130000000000003,22.130000000000003
Florida,50.05,49.93,0.01,gop,2018,0.11999999999999744,-0.11999999999999744
Hawaii,28.85,71.15,0.0,dem,2018,-42.300000000000004,42.300000000000004
Indiana,50.73,44.84,4.43,gop,2018,5.8899999999999935,-5.8899999999999935
Maine,35.23,10.45,54.32,other,2018,24.779999999999998,-24.779999999999998
Maryland,30.31,64.86,4.84,dem,2018,-34.55,34.55
Massachusetts,36.17,60.34,3.49,dem,2018,-24.17,24.17
Michigan,45.76,52.26,1.98,dem,2018,-6.5,6.5
Minnesota,39.28,56.65,4.08,dem,2018,-17.369999999999997,17.369999999999997
Mississippi,19.63,13.25,67.12,other,2018,6.379999999999999,-6.379999999999999
Missouri,51.38,45.57,3.05,gop,2018,5.810000000000002,-5.810000000000002
Montana,46.78,50.33,2.88,dem,2018,-3.549999999999997,3.549999999999997
Nebraska,57.69,38.62,3.69,gop,2018,19.07,-19.07
Nevada,45.38,50.41,4.2,dem,2018,-5.029999999999994,5.029999999999994
New Jersey,42.83,54.01,3.16,dem,2018,-11.18,11.18
New Mexico,30.53,54.09,15.38,dem,2018,-23.560000000000002,23.560000000000002
New York,28.56,61.98,9.46,dem,2018,-33.42,33.42
North Dakota,55.11,44.27,0.63,gop,2018,10.839999999999996,-10.839999999999996
Ohio,46.58,53.4,0.02,dem,2018,-6.82,6.82
Pennsylvania,42.6,55.73,1.67,dem,2018,-13.129999999999995,13.129999999999995
Rhode Island,38.33,61.44,0.22,dem,2018,-23.11,23.11
Tennessee,54.71,43.92,1.37,gop,2018,10.79,-10.79
Texas,50.89,48.33,0.78,gop,2018,2.5600000000000023,-2.5600000000000023
Utah,62.59,30.91,6.5,gop,2018,31.680000000000003,-31.680000000000003
Vermont,27.44,0.0,72.56,other,2018,27.44,-27.44
Virginia,41.0,57.0,2.0,dem,2018,-16.0,16.0
Washington,41.57,58.43,0.0,dem,2018,-16.86,16.86
West Virginia,46.26,49.57,4.17,dem,2018,-3.3100000000000023,3.3100000000000023
Wisconsin,44.53,55.36,0.11,dem,2018,-10.829999999999998,10.829999999999998
Wyoming,66.96,30.1,2.94,gop,2018,36.85999999999999,-36.85999999999999
