date,value,variable
2021-12-28,approve,43.0
2021-12-20,approve,44.1
2021-12-19,approve,44.1
2021-12-18,approve,44.1
2021-12-17,approve,44.0
2021-12-16,approve,44.0
2021-12-15,approve,42.9
2021-12-14,approve,42.9
2021-12-13,approve,43.1
2021-12-10,approve,42.3
2021-12-08,approve,42.3
2021-12-07,approve,42.9
2021-12-06,approve,42.4
2021-12-05,approve,42.3
2021-12-04,approve,42.3
2021-12-03,approve,42.3
2021-12-02,approve,42.2
2021-12-01,approve,41.9
2021-11-30,approve,41.8
2021-11-29,approve,41.8
2021-11-28,approve,41.7
2021-11-27,approve,41.6
2021-11-25,approve,41.6
2021-11-24,approve,41.6
2021-11-22,approve,41.3
2021-11-21,approve,41.3
2021-11-20,approve,41.3
2021-11-19,approve,41.3
2021-11-18,approve,41.3
2021-11-17,approve,41.5
2021-11-16,approve,41.9
2021-11-14,approve,42.0
2021-11-13,approve,42.4
2021-11-12,approve,42.4
2021-11-11,approve,42.3
2021-11-10,approve,42.8
2021-11-09,approve,42.6
2021-11-08,approve,42.8
2021-11-07,approve,43.1
2021-11-06,approve,43.1
2021-11-05,approve,43.1
2021-11-03,approve,43.0
2021-11-02,approve,43.0
2021-11-01,approve,43.0
2021-10-31,approve,42.6
2021-10-29,approve,42.5
2021-10-28,approve,42.4
2021-10-27,approve,42.3
2021-10-26,approve,42.2
2021-10-25,approve,42.3
2021-10-23,approve,42.3
2021-10-22,approve,42.7
2021-10-21,approve,42.8
2021-10-20,approve,42.9
2021-10-19,approve,43.7
2021-10-18,approve,43.7
2021-10-17,approve,43.9
2021-10-16,approve,43.9
2021-10-15,approve,43.9
2021-10-14,approve,44.1
2021-10-13,approve,44.1
2021-10-12,approve,43.0
2021-10-11,approve,43.0
2021-10-10,approve,43.3
2021-10-08,approve,43.4
2021-10-07,approve,44.3
2021-10-06,approve,44.6
2021-10-04,approve,45.1
2021-10-01,approve,45.2
2021-09-30,approve,45.3
2021-09-29,approve,45.2
2021-09-27,approve,45.4
2021-09-26,approve,45.7
2021-09-25,approve,45.7
2021-09-24,approve,45.7
2021-09-23,approve,46.0
2021-09-22,approve,46.0
2021-09-21,approve,46.1
2021-09-20,approve,45.8
2021-09-17,approve,45.3
2021-09-16,approve,45.4
2021-09-15,approve,45.2
2021-09-14,approve,45.2
2021-09-13,approve,45.2
2021-09-12,approve,45.2
2021-09-11,approve,45.4
2021-09-10,approve,45.4
2021-09-09,approve,45.3
2021-09-08,approve,45.3
2021-09-07,approve,45.9
2021-09-06,approve,45.6
2021-09-05,approve,45.2
2021-09-04,approve,45.2
2021-09-03,approve,45.2
2021-09-02,approve,45.4
2021-09-01,approve,45.8
2021-08-31,approve,46.8
2021-08-30,approve,47.4
2021-08-28,approve,47.4
2021-08-27,approve,47.4
2021-08-26,approve,46.9
2021-08-25,approve,46.9
2021-08-24,approve,46.6
2021-08-23,approve,48.3
2021-08-22,approve,48.2
2021-08-20,approve,48.6
2021-08-19,approve,49.6
2021-08-18,approve,49.6
2021-08-17,approve,49.9
2021-08-16,approve,50.0
2021-08-13,approve,50.1
2021-08-11,approve,50.1
2021-08-10,approve,50.3
2021-08-09,approve,50.3
2021-08-08,approve,50.2
2021-08-07,approve,50.2
2021-08-06,approve,50.6
2021-08-05,approve,50.6
2021-08-04,approve,50.7
2021-08-03,approve,51.6
2021-07-31,approve,51.3
2021-07-30,approve,51.3
2021-07-29,approve,51.3
2021-07-27,approve,52.2
2021-07-24,approve,52.5
2021-07-23,approve,52.5
2021-07-20,approve,52.4
2021-07-16,approve,52.0
2021-07-14,approve,52.0
2021-07-13,approve,52.4
2021-07-10,approve,52.6
2021-07-09,approve,52.5
2021-07-07,approve,52.5
2021-07-06,approve,51.4
2021-07-05,approve,51.4
2021-07-04,approve,51.4
2021-07-02,approve,51.7
2021-07-01,approve,52.7
2021-06-28,approve,53.1
2021-06-27,approve,53.0
2021-06-25,approve,53.0
2021-06-24,approve,53.0
2021-06-23,approve,52.5
2021-06-21,approve,52.4
2021-06-18,approve,52.3
2021-06-11,approve,53.8
2021-06-08,approve,52.7
2021-06-07,approve,53.0
2021-06-05,approve,53.0
2021-06-04,approve,53.0
2021-06-03,approve,53.3
2021-06-01,approve,53.9
2021-05-31,approve,54.0
2021-05-22,approve,53.5
2021-05-21,approve,53.5
2021-05-20,approve,53.3
2021-05-19,approve,53.6
2021-05-15,approve,54.2
2021-05-14,approve,54.3
2021-05-13,approve,54.0
2021-05-11,approve,53.9
2021-05-11,approve,54.0
2021-05-07,approve,54.1
2021-05-06,approve,54.0
2021-05-04,approve,53.8
2021-04-30,approve,53.1
2021-04-29,approve,53.1
2021-04-29,approve,53.1
2021-04-28,approve,53.1
2021-04-27,approve,53.1
2021-04-26,approve,53.1
2021-04-25,approve,53.1
2021-04-21,approve,52.8
2021-04-17,approve,52.7
2021-04-08,approve,55.7
2021-04-06,approve,54.8
2021-04-04,approve,53.8
2021-04-01,approve,53.7
2021-03-27,approve,53.3
2021-03-26,approve,53.1
2021-03-23,approve,53.9
2021-03-18,approve,53.6
2021-03-17,approve,52.8
2021-03-14,approve,52.8
2021-03-13,approve,52.8
2021-03-12,approve,53.0
2021-03-11,approve,53.7
2021-03-10,approve,54.6
2021-03-09,approve,54.6
2021-03-08,approve,54.4
2021-03-06,approve,55.3
2021-03-03,approve,55.4
2021-03-02,approve,54.4
2021-02-26,approve,54.0
2021-02-26,approve,54.0
2021-02-24,approve,54.0
2021-02-23,approve,54.6
2021-02-20,approve,54.3
2021-02-19,approve,54.4
2021-02-17,approve,55.5
2021-02-14,approve,54.4
2021-02-14,approve,54.4
2021-02-11,approve,54.3
2021-02-10,approve,54.1
2021-02-08,approve,53.9
2021-02-06,approve,53.8
2021-02-05,approve,54.6
2021-02-04,approve,54.3
2021-02-03,approve,54.2
2021-02-01,approve,54.9
2021-01-30,approve,55.8
2021-01-29,approve,55.7
2021-01-27,approve,54.8
2021-12-28,disapprove,53.4
2021-12-20,disapprove,52.1
2021-12-19,disapprove,50.3
2021-12-18,disapprove,50.3
2021-12-17,disapprove,50.5
2021-12-16,disapprove,50.5
2021-12-15,disapprove,50.4
2021-12-14,disapprove,50.4
2021-12-13,disapprove,50.3
2021-12-10,disapprove,51.8
2021-12-08,disapprove,52.0
2021-12-07,disapprove,51.5
2021-12-06,disapprove,51.2
2021-12-05,disapprove,52.2
2021-12-04,disapprove,52.2
2021-12-03,disapprove,52.2
2021-12-02,disapprove,52.1
2021-12-01,disapprove,52.4
2021-11-30,disapprove,52.5
2021-11-29,disapprove,52.5
2021-11-28,disapprove,52.5
2021-11-27,disapprove,53.1
2021-11-25,disapprove,53.1
2021-11-24,disapprove,53.1
2021-11-22,disapprove,53.4
2021-11-21,disapprove,53.4
2021-11-20,disapprove,53.4
2021-11-19,disapprove,53.4
2021-11-18,disapprove,53.4
2021-11-17,disapprove,53.2
2021-11-16,disapprove,52.7
2021-11-14,disapprove,52.7
2021-11-13,disapprove,52.2
2021-11-12,disapprove,52.2
2021-11-11,disapprove,52.3
2021-11-10,disapprove,51.5
2021-11-09,disapprove,51.8
2021-11-08,disapprove,51.7
2021-11-07,disapprove,50.6
2021-11-06,disapprove,50.6
2021-11-05,disapprove,50.6
2021-11-03,disapprove,51.1
2021-11-02,disapprove,51.1
2021-11-01,disapprove,51.1
2021-10-31,disapprove,51.9
2021-10-29,disapprove,52.4
2021-10-28,disapprove,52.1
2021-10-27,disapprove,52.1
2021-10-26,disapprove,52.1
2021-10-25,disapprove,52.1
2021-10-23,disapprove,52.1
2021-10-22,disapprove,51.3
2021-10-21,disapprove,51.3
2021-10-20,disapprove,51.4
2021-10-19,disapprove,51.9
2021-10-18,disapprove,52.1
2021-10-17,disapprove,52.1
2021-10-16,disapprove,52.1
2021-10-15,disapprove,52.1
2021-10-14,disapprove,52.0
2021-10-13,disapprove,52.0
2021-10-12,disapprove,52.3
2021-10-11,disapprove,52.5
2021-10-10,disapprove,52.0
2021-10-08,disapprove,50.3
2021-10-07,disapprove,48.9
2021-10-06,disapprove,48.7
2021-10-04,disapprove,47.9
2021-10-01,disapprove,49.2
2021-09-30,disapprove,49.4
2021-09-29,disapprove,50.0
2021-09-27,disapprove,50.6
2021-09-26,disapprove,50.3
2021-09-25,disapprove,50.3
2021-09-24,disapprove,50.3
2021-09-23,disapprove,50.0
2021-09-22,disapprove,50.1
2021-09-21,disapprove,50.0
2021-09-20,disapprove,49.7
2021-09-17,disapprove,49.8
2021-09-16,disapprove,49.5
2021-09-15,disapprove,49.8
2021-09-14,disapprove,49.8
2021-09-13,disapprove,49.8
2021-09-12,disapprove,49.7
2021-09-11,disapprove,49.1
2021-09-10,disapprove,49.1
2021-09-09,disapprove,49.4
2021-09-08,disapprove,49.5
2021-09-07,disapprove,48.6
2021-09-06,disapprove,49.1
2021-09-05,disapprove,49.3
2021-09-04,disapprove,49.3
2021-09-03,disapprove,49.3
2021-09-02,disapprove,49.4
2021-09-01,disapprove,49.2
2021-08-31,disapprove,48.7
2021-08-30,disapprove,48.6
2021-08-28,disapprove,48.4
2021-08-27,disapprove,48.4
2021-08-26,disapprove,49.1
2021-08-25,disapprove,49.1
2021-08-24,disapprove,48.9
2021-08-23,disapprove,47.3
2021-08-22,disapprove,48.0
2021-08-20,disapprove,48.2
2021-08-19,disapprove,47.0
2021-08-18,disapprove,47.2
2021-08-17,disapprove,46.1
2021-08-16,disapprove,46.0
2021-08-13,disapprove,45.9
2021-08-11,disapprove,45.6
2021-08-10,disapprove,43.7
2021-08-09,disapprove,43.7
2021-08-08,disapprove,43.9
2021-08-07,disapprove,43.9
2021-08-06,disapprove,43.8
2021-08-05,disapprove,43.8
2021-08-04,disapprove,43.7
2021-08-03,disapprove,43.4
2021-07-31,disapprove,44.9
2021-07-30,disapprove,44.6
2021-07-29,disapprove,44.6
2021-07-27,disapprove,43.8
2021-07-24,disapprove,43.5
2021-07-23,disapprove,42.5
2021-07-20,disapprove,43.1
2021-07-16,disapprove,43.4
2021-07-14,disapprove,43.4
2021-07-13,disapprove,43.0
2021-07-10,disapprove,42.9
2021-07-09,disapprove,42.9
2021-07-07,disapprove,42.9
2021-07-06,disapprove,44.1
2021-07-05,disapprove,44.1
2021-07-04,disapprove,44.1
2021-07-02,disapprove,44.5
2021-07-01,disapprove,43.0
2021-06-28,disapprove,42.6
2021-06-27,disapprove,43.1
2021-06-25,disapprove,43.1
2021-06-24,disapprove,43.3
2021-06-23,disapprove,43.3
2021-06-21,disapprove,43.4
2021-06-18,disapprove,43.7
2021-06-11,disapprove,41.1
2021-06-08,disapprove,41.4
2021-06-07,disapprove,41.4
2021-06-05,disapprove,41.4
2021-06-04,disapprove,41.4
2021-06-03,disapprove,42.4
2021-06-01,disapprove,41.9
2021-05-31,disapprove,41.7
2021-05-22,disapprove,42.3
2021-05-21,disapprove,42.3
2021-05-20,disapprove,42.7
2021-05-19,disapprove,42.6
2021-05-15,disapprove,41.8
2021-05-14,disapprove,41.7
2021-05-13,disapprove,41.8
2021-05-11,disapprove,41.8
2021-05-11,disapprove,41.7
2021-05-07,disapprove,41.6
