wayback_date,wayback_time,approve,disapprove,spread,date
2021-01-27,17:23:01,54.8,36.8,18.0,2021-01-27
2021-01-29,12:16:34,55.7,36.0,19.700000000000003,2021-01-29
2021-01-30,16:23:14,55.8,35.5,20.299999999999997,2021-01-30
2021-02-01,13:55:57,54.9,35.7,19.199999999999996,2021-02-01
2021-02-03,15:19:02,54.2,36.1,18.1,2021-02-03
2021-02-04,10:45:58,54.3,36.0,18.299999999999997,2021-02-04
2021-02-05,05:56:49,54.6,36.3,18.300000000000004,2021-02-05
2021-02-06,02:22:16,53.8,36.7,17.099999999999994,2021-02-06
2021-02-08,19:13:04,53.9,36.6,17.299999999999997,2021-02-08
2021-02-10,01:01:44,54.1,36.5,17.6,2021-02-10
2021-02-11,14:07:02,54.3,36.9,17.4,2021-02-11
2021-02-14,12:59:01,54.4,36.8,17.6,2021-02-14
2021-02-14,21:18:31,54.4,36.8,17.6,2021-02-14
2021-02-17,10:18:13,55.5,39.3,16.200000000000003,2021-02-17
2021-02-19,12:14:45,54.4,39.3,15.100000000000001,2021-02-19
2021-02-20,19:39:32,54.3,39.4,14.899999999999999,2021-02-20
2021-02-23,09:51:24,54.6,39.5,15.100000000000001,2021-02-23
2021-02-24,14:42:43,54.0,39.5,14.5,2021-02-24
2021-02-26,11:44:55,54.0,40.2,13.799999999999997,2021-02-26
2021-02-26,19:54:00,54.0,40.2,13.799999999999997,2021-02-26
2021-03-02,17:51:48,54.4,38.9,15.5,2021-03-02
2021-03-03,13:48:52,55.4,39.8,15.600000000000001,2021-03-03
2021-03-06,13:32:23,55.3,39.9,15.399999999999999,2021-03-06
2021-03-08,09:54:09,54.4,40.0,14.399999999999999,2021-03-08
2021-03-09,15:30:22,54.6,39.9,14.700000000000003,2021-03-09
2021-03-10,06:35:10,54.6,39.9,14.700000000000003,2021-03-10
2021-03-11,13:20:58,53.7,39.9,13.800000000000004,2021-03-11
2021-03-12,02:08:44,53.0,40.3,12.700000000000003,2021-03-12
2021-03-13,07:36:56,52.8,42.0,10.799999999999997,2021-03-13
2021-03-14,13:06:12,52.8,42.0,10.799999999999997,2021-03-14
2021-03-17,09:18:54,52.8,42.0,10.799999999999997,2021-03-17
2021-03-18,10:52:20,53.6,41.7,11.899999999999999,2021-03-18
2021-03-23,10:28:29,53.9,41.4,12.5,2021-03-23
2021-03-26,13:51:09,53.1,43.1,10.0,2021-03-26
2021-03-27,01:09:08,53.3,43.0,10.299999999999997,2021-03-27
2021-04-01,09:52:43,53.7,42.2,11.5,2021-04-01
2021-04-04,10:22:08,53.8,42.2,11.599999999999994,2021-04-04
2021-04-06,13:58:53,54.8,41.2,13.599999999999994,2021-04-06
2021-04-08,17:18:53,55.7,40.5,15.200000000000003,2021-04-08
2021-04-17,22:47:07,52.7,41.4,11.300000000000004,2021-04-17
2021-04-21,12:34:46,52.8,41.4,11.399999999999999,2021-04-21
2021-04-25,11:00:09,53.1,41.5,11.600000000000001,2021-04-25
2021-04-26,14:19:26,53.1,41.5,11.600000000000001,2021-04-26
2021-04-27,17:23:01,53.1,41.8,11.300000000000004,2021-04-27
2021-04-28,18:34:52,53.1,42.1,11.0,2021-04-28
2021-04-29,17:25:05,53.1,42.0,11.100000000000001,2021-04-29
2021-04-29,21:23:06,53.1,42.0,11.100000000000001,2021-04-29
2021-04-30,22:18:11,53.1,42.1,11.0,2021-04-30
2021-05-04,11:04:50,53.8,42.2,11.599999999999994,2021-05-04
2021-05-06,13:09:30,54.0,41.6,12.399999999999999,2021-05-06
2021-05-07,19:07:48,54.1,41.6,12.5,2021-05-07
2021-05-11,02:05:50,54.0,41.7,12.299999999999997,2021-05-11
2021-05-11,23:44:00,53.9,41.8,12.100000000000001,2021-05-11
2021-05-13,00:37:47,54.0,41.8,12.200000000000003,2021-05-13
2021-05-14,09:59:28,54.3,41.7,12.599999999999994,2021-05-14
2021-05-15,12:41:45,54.2,41.8,12.400000000000006,2021-05-15
2021-05-19,09:05:27,53.6,42.6,11.0,2021-05-19
2021-05-20,02:19:22,53.3,42.7,10.599999999999994,2021-05-20
2021-05-21,14:47:40,53.5,42.3,11.200000000000003,2021-05-21
2021-05-22,11:19:46,53.5,42.3,11.200000000000003,2021-05-22
2021-05-31,11:10:42,54.0,41.7,12.299999999999997,2021-05-31
