president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joe Biden,Voters,12/30/2021,43.197809,47.422139,38.973478,52.154888,57.390106,46.919671,09:43:20 30 Dec 2021
Joe Biden,Voters,12/29/2021,42.983275,47.23702,38.729531,52.351846,57.670843,47.032849,09:33:21 29 Dec 2021
Joe Biden,Voters,12/28/2021,42.942368,47.177227,38.707509,52.343686,57.562469,47.124903,09:38:22 28 Dec 2021
Joe Biden,Voters,12/27/2021,42.834126,47.09541,38.572842,52.340795,57.518317,47.163274,09:34:20 27 Dec 2021
Joe Biden,Voters,12/26/2021,43.225808,47.437262,39.014354,52.015202,57.117971,46.912432,08:51:03 27 Dec 2021
Joe Biden,Voters,12/25/2021,43.225808,47.437262,39.014354,52.015202,57.117971,46.912432,08:51:06 27 Dec 2021
Joe Biden,Voters,12/24/2021,43.225808,47.437285,39.014331,52.015202,57.118028,46.912375,08:51:10 27 Dec 2021
Joe Biden,Voters,12/23/2021,43.225808,47.437262,39.014354,52.015202,57.117971,46.912432,15:05:21 23 Dec 2021
Joe Biden,Voters,12/22/2021,43.47527,47.675131,39.275409,51.841684,56.928275,46.755093,12:21:21 22 Dec 2021
Joe Biden,Voters,12/21/2021,43.580697,47.914755,39.246639,52.404372,57.201271,47.607474,20:53:20 21 Dec 2021
Joe Biden,Voters,12/20/2021,43.361618,47.762676,38.960559,52.61683,57.400923,47.832737,13:22:20 20 Dec 2021
Joe Biden,Voters,12/19/2021,44.012866,48.69288,39.332852,51.193029,56.00537,46.380688,09:28:48 20 Dec 2021
Joe Biden,Voters,12/18/2021,44.012866,48.692904,39.332828,51.193029,56.005427,46.38063,09:28:51 20 Dec 2021
Joe Biden,Voters,12/17/2021,44.012866,48.69288,39.332852,51.193029,56.00537,46.380688,16:48:20 17 Dec 2021
Joe Biden,Voters,12/16/2021,43.967487,48.661767,39.273206,51.146571,55.88983,46.403312,15:07:20 16 Dec 2021
Joe Biden,Voters,12/15/2021,44.100626,48.721067,39.480186,51.016058,55.606264,46.425852,20:27:20 15 Dec 2021
Joe Biden,Voters,12/14/2021,43.122931,47.822101,38.423762,51.455369,56.543511,46.367227,14:02:21 14 Dec 2021
Joe Biden,Voters,12/13/2021,42.709854,47.106412,38.313296,51.474391,56.612398,46.336383,09:38:43 13 Dec 2021
Joe Biden,Voters,12/12/2021,42.612142,46.983644,38.240639,51.521659,56.583382,46.459937,09:38:46 13 Dec 2021
Joe Biden,Voters,12/11/2021,42.612142,46.983644,38.240639,51.521659,56.583382,46.459937,09:38:49 13 Dec 2021
Joe Biden,Voters,12/10/2021,42.612142,46.983644,38.240639,51.521659,56.583382,46.459937,21:00:24 10 Dec 2021
Joe Biden,Voters,12/9/2021,42.475717,46.843996,38.107439,51.56033,56.605984,46.514676,13:02:20  9 Dec 2021
Joe Biden,Voters,12/8/2021,42.587151,46.880759,38.293543,52.014981,56.977058,47.052904,11:56:19  8 Dec 2021
Joe Biden,Voters,12/7/2021,42.672242,47.098652,38.245832,52.043217,57.247783,46.838652,20:13:19  7 Dec 2021
Joe Biden,Voters,12/6/2021,42.655209,47.091802,38.218616,51.978176,57.169621,46.786731,20:29:25  6 Dec 2021
Joe Biden,Voters,12/5/2021,42.820061,47.294992,38.34513,51.906549,57.292822,46.520276,09:39:44  6 Dec 2021
Joe Biden,Voters,12/4/2021,42.820061,47.294964,38.345158,51.906549,57.292786,46.520311,09:39:47  6 Dec 2021
Joe Biden,Voters,12/3/2021,42.820061,47.294992,38.34513,51.906549,57.292822,46.520276,09:31:19  3 Dec 2021
Joe Biden,Voters,12/2/2021,42.844096,47.310253,38.377939,51.865612,57.191045,46.54018,21:34:19  2 Dec 2021
Joe Biden,Voters,12/1/2021,42.621303,47.154262,38.088343,51.616978,57.204023,46.029933,13:15:19  1 Dec 2021
Joe Biden,Voters,11/30/2021,43.050444,47.20093,38.899957,51.124214,56.353965,45.894464,20:29:36 30 Nov 2021
Joe Biden,Voters,11/29/2021,42.928325,47.088394,38.768256,51.233428,56.489769,45.977088,20:51:19 29 Nov 2021
Joe Biden,Voters,11/28/2021,43.132362,47.477378,38.787345,51.715663,56.694837,46.736488,09:18:06 29 Nov 2021
Joe Biden,Voters,11/27/2021,43.132362,47.477378,38.787345,51.715663,56.694837,46.736488,09:18:08 29 Nov 2021
Joe Biden,Voters,11/26/2021,43.132362,47.477378,38.787345,51.715663,56.694837,46.736488,09:18:11 29 Nov 2021
Joe Biden,Voters,11/25/2021,43.132362,47.477378,38.787345,51.715663,56.694837,46.736488,09:18:14 29 Nov 2021
Joe Biden,Voters,11/24/2021,43.132362,47.477378,38.787345,51.715663,56.694837,46.736488,11:41:19 24 Nov 2021
Joe Biden,Voters,11/23/2021,42.451178,46.946554,37.955801,52.345499,57.398827,47.29217,20:21:18 23 Nov 2021
Joe Biden,Voters,11/22/2021,42.432054,46.942224,37.921883,52.343803,57.37689,47.310716,14:23:18 22 Nov 2021
Joe Biden,Voters,11/21/2021,42.530427,47.094228,37.966626,52.354727,57.450868,47.258586,13:25:29 21 Nov 2021
Joe Biden,Voters,11/20/2021,42.530427,47.094228,37.966626,52.354727,57.450868,47.258586,13:25:32 21 Nov 2021
Joe Biden,Voters,11/19/2021,42.530427,47.094228,37.966626,52.354727,57.450868,47.258586,14:55:19 19 Nov 2021
Joe Biden,Voters,11/18/2021,42.247239,46.763425,37.731053,52.355255,57.536396,47.174115,21:20:19 18 Nov 2021
Joe Biden,Voters,11/17/2021,42.602434,47.026826,38.178042,52.278417,57.362891,47.193942,09:39:18 17 Nov 2021
Joe Biden,Voters,11/16/2021,42.413646,47.048964,37.778328,52.300936,57.532249,47.069622,09:42:18 16 Nov 2021
Joe Biden,Voters,11/15/2021,42.513632,47.175915,37.851348,52.248122,57.467736,47.028508,20:17:18 15 Nov 2021
Joe Biden,Voters,11/14/2021,42.219337,46.88071,37.557964,52.298463,57.585408,47.011517,13:13:28 14 Nov 2021
Joe Biden,Voters,11/13/2021,42.848511,47.419327,38.277694,51.543765,56.795803,46.291728,13:13:30 14 Nov 2021
Joe Biden,Voters,11/12/2021,42.848511,47.419357,38.277665,51.543765,56.795804,46.291727,16:09:17 12 Nov 2021
Joe Biden,Voters,11/11/2021,42.484586,46.990182,37.978991,51.749412,57.064547,46.434276,12:28:17 11 Nov 2021
Joe Biden,Voters,11/10/2021,42.661651,47.240969,38.082332,51.435432,56.836473,46.034391,20:20:19 10 Nov 2021
Joe Biden,Voters,11/9/2021,42.557112,46.889578,38.224646,52.10968,57.731297,46.488063,09:39:17  9 Nov 2021
Joe Biden,Voters,11/8/2021,42.698194,46.963053,38.433336,51.955796,57.419459,46.492133,12:50:18  8 Nov 2021
Joe Biden,Voters,11/7/2021,42.638223,46.90914,38.367306,51.68103,57.153768,46.208292,13:54:31  7 Nov 2021
Joe Biden,Voters,11/6/2021,43.212385,47.176844,39.247927,50.742388,55.802317,45.682459,13:54:35  7 Nov 2021
Joe Biden,Voters,11/5/2021,43.212385,47.176844,39.247927,50.742388,55.802317,45.682459,13:00:22  5 Nov 2021
Joe Biden,Voters,11/4/2021,43.60747,47.593017,39.621922,50.668804,55.857536,45.480072,20:33:32  4 Nov 2021
Joe Biden,Voters,11/3/2021,43.764938,47.660216,39.869659,50.934443,55.90664,45.962246,11:58:17  3 Nov 2021
Joe Biden,Voters,11/2/2021,43.33084,47.34097,39.3207,51.13251,56.27133,45.9937,11:58:18  2 Nov 2021
Joe Biden,Voters,11/1/2021,43.624,47.75807,39.48994,50.92549,56.3056,45.54538,13:58:17  1 Nov 2021
Joe Biden,Voters,10/31/2021,43.53539,47.72678,39.34399,50.98313,56.39743,45.56884,12:39:16 31 Oct 2021
Joe Biden,Voters,10/30/2021,43.36541,47.61871,39.11211,50.89757,56.43128,45.36385,10:46:16 30 Oct 2021
Joe Biden,Voters,10/29/2021,43.43818,47.74633,39.13004,50.64347,56.26178,45.02517,13:50:16 29 Oct 2021
Joe Biden,Voters,10/28/2021,44.32972,48.73557,39.92387,50.96887,56.54324,45.3945,21:13:16 28 Oct 2021
Joe Biden,Voters,10/27/2021,44.34596,48.88299,39.80893,50.7774,56.55449,45.0003,18:12:05 27 Oct 2021
Joseph R. Biden Jr.,Voters,10/26/2021,43.925155,48.588369,39.26194,51.06332,57.063103,45.063537,09:40:16 26 Oct 2021
Joseph R. Biden Jr.,Voters,10/25/2021,44.075221,48.685044,39.465397,51.015965,56.958006,45.073923,15:38:15 25 Oct 2021
