,callsign,altitude,speed,direction,flightid,latitude,longitude,datetime,date,time,display_time,weekday,geometry
100422,DAL89,0,31,84,23856f50,33.948338,-118.409172,2020-01-14 11:28:04-08:00,01/14/2020,11:28:04,11:28 AM,Tuesday,POINT (-118.409172 33.948338)
100423,DAL89,0,32,84,23856f50,33.948418,-118.408287,2020-01-14 11:28:14-08:00,01/14/2020,11:28:14,11:28 AM,Tuesday,POINT (-118.408287 33.948418)
100424,DAL89,0,34,84,23856f50,33.948475,-118.407753,2020-01-14 11:28:21-08:00,01/14/2020,11:28:21,11:28 AM,Tuesday,POINT (-118.407753 33.948475)
100425,DAL89,0,34,81,23856f50,33.948521,-118.407257,2020-01-14 11:28:27-08:00,01/14/2020,11:28:27,11:28 AM,Tuesday,POINT (-118.407257 33.948521)
100426,DAL89,0,34,84,23856f50,33.948578,-118.406746,2020-01-14 11:28:34-08:00,01/14/2020,11:28:34,11:28 AM,Tuesday,POINT (-118.406746 33.948578)
100427,DAL89,0,34,84,23856f50,33.948673,-118.405823,2020-01-14 11:28:46-08:00,01/14/2020,11:28:46,11:28 AM,Tuesday,POINT (-118.405823 33.948673)
100431,DAL89,0,33,81,23856f50,33.949036,-118.402275,2020-01-14 11:29:25-08:00,01/14/2020,11:29:25,11:29 AM,Tuesday,POINT (-118.402275 33.949036)
100445,DAL89,0,31,264,23856f50,33.950256,-118.401115,2020-01-14 11:31:30-08:00,01/14/2020,11:31:30,11:31 AM,Tuesday,POINT (-118.401115 33.950256)
100446,DAL89,0,64,264,23856f50,33.950043,-118.403221,2020-01-14 11:31:37-08:00,01/14/2020,11:31:37,11:31 AM,Tuesday,POINT (-118.403221 33.950043)
100447,DAL89,0,122,262,23856f50,33.949219,-118.411377,2020-01-14 11:31:52-08:00,01/14/2020,11:31:52,11:31 AM,Tuesday,POINT (-118.411377 33.949219)
100448,DAL89,0,137,263,23856f50,33.948715,-118.416252,2020-01-14 11:31:59-08:00,01/14/2020,11:31:59,11:31 AM,Tuesday,POINT (-118.416252 33.948715)
100449,DAL89,25,178,263,23856f50,33.947521,-118.427925,2020-01-14 11:32:11-08:00,01/14/2020,11:32:11,11:32 AM,Tuesday,POINT (-118.427925 33.947521)
100450,DAL89,200,185,262,23856f50,33.946838,-118.434189,2020-01-14 11:32:17-08:00,01/14/2020,11:32:17,11:32 AM,Tuesday,POINT (-118.434189 33.946838)
100451,DAL89,650,191,263,23856f50,33.945614,-118.446693,2020-01-14 11:32:29-08:00,01/14/2020,11:32:29,11:32 AM,Tuesday,POINT (-118.446693 33.945614)
100452,DAL89,950,193,263,23856f50,33.945007,-118.453217,2020-01-14 11:32:35-08:00,01/14/2020,11:32:35,11:32 AM,Tuesday,POINT (-118.453217 33.945007)
100453,DAL89,1525,186,264,23856f50,33.94389,-118.465691,2020-01-14 11:32:47-08:00,01/14/2020,11:32:47,11:32 AM,Tuesday,POINT (-118.465691 33.94389)
100454,DAL89,1700,197,267,23856f50,33.943146,-118.478508,2020-01-14 11:32:59-08:00,01/14/2020,11:32:59,11:32 AM,Tuesday,POINT (-118.478508 33.943146)
100455,DAL89,1750,202,268,23856f50,33.942959,-118.485428,2020-01-14 11:33:05-08:00,01/14/2020,11:33:05,11:33 AM,Tuesday,POINT (-118.485428 33.942959)
100456,DAL89,1825,210,268,23856f50,33.942856,-118.492035,2020-01-14 11:33:11-08:00,01/14/2020,11:33:11,11:33 AM,Tuesday,POINT (-118.492035 33.942856)
100457,DAL89,2050,219,268,23856f50,33.942535,-118.506828,2020-01-14 11:33:22-08:00,01/14/2020,11:33:22,11:33 AM,Tuesday,POINT (-118.506828 33.942535)
100458,DAL89,2175,223,266,23856f50,33.942215,-118.513931,2020-01-14 11:33:29-08:00,01/14/2020,11:33:29,11:33 AM,Tuesday,POINT (-118.513931 33.942215)
100459,DAL89,2375,236,263,23856f50,33.94091,-118.529549,2020-01-14 11:33:40-08:00,01/14/2020,11:33:40,11:33 AM,Tuesday,POINT (-118.529549 33.94091)
100460,DAL89,2525,240,264,23856f50,33.940247,-118.537323,2020-01-14 11:33:47-08:00,01/14/2020,11:33:47,11:33 AM,Tuesday,POINT (-118.537323 33.940247)
100461,DAL89,2650,243,264,23856f50,33.93956,-118.54528,2020-01-14 11:33:53-08:00,01/14/2020,11:33:53,11:33 AM,Tuesday,POINT (-118.54528 33.93956)
100462,DAL89,2925,253,264,23856f50,33.938232,-118.561874,2020-01-14 11:34:05-08:00,01/14/2020,11:34:05,11:34 AM,Tuesday,POINT (-118.561874 33.938232)
100463,DAL89,3100,257,263,23856f50,33.937408,-118.571121,2020-01-14 11:34:11-08:00,01/14/2020,11:34:11,11:34 AM,Tuesday,POINT (-118.571121 33.937408)
