"STATION","NAME","DATE","TMAX","TMIN"
"MXN00009002","AJUSCO, MX","1961-01-01",,
"MXN00009002","AJUSCO, MX","1961-01-02",,
"MXN00009002","AJUSCO, MX","1961-01-03",,
"MXN00009002","AJUSCO, MX","1961-01-04",,
"MXN00009002","AJUSCO, MX","1961-01-05",,
"MXN00009002","AJUSCO, MX","1961-01-06",,
"MXN00009002","AJUSCO, MX","1961-01-07",,
"MXN00009002","AJUSCO, MX","1961-01-08",,
"MXN00009002","AJUSCO, MX","1961-01-09",,
"MXN00009002","AJUSCO, MX","1961-01-10",,
"MXN00009002","AJUSCO, MX","1961-01-11",,
"MXN00009002","AJUSCO, MX","1961-01-12",,
"MXN00009002","AJUSCO, MX","1961-01-13",,
"MXN00009002","AJUSCO, MX","1961-01-14",,
"MXN00009002","AJUSCO, MX","1961-01-15",,
"MXN00009002","AJUSCO, MX","1961-01-16",,
"MXN00009002","AJUSCO, MX","1961-01-17",,
"MXN00009002","AJUSCO, MX","1961-01-18",,
"MXN00009002","AJUSCO, MX","1961-01-19",,
"MXN00009002","AJUSCO, MX","1961-01-20",,
"MXN00009002","AJUSCO, MX","1961-01-21",,
"MXN00009002","AJUSCO, MX","1961-01-22",,
"MXN00009002","AJUSCO, MX","1961-01-23",,
"MXN00009002","AJUSCO, MX","1961-01-24",,
"MXN00009002","AJUSCO, MX","1961-01-25",,
"MXN00009002","AJUSCO, MX","1961-01-26",,
"MXN00009002","AJUSCO, MX","1961-01-27",,
"MXN00009002","AJUSCO, MX","1961-01-28",,
"MXN00009002","AJUSCO, MX","1961-01-29",,
"MXN00009002","AJUSCO, MX","1961-01-30",,
"MXN00009002","AJUSCO, MX","1961-01-31",,
"MXN00009002","AJUSCO, MX","1961-02-01",,
"MXN00009002","AJUSCO, MX","1961-02-02",,
"MXN00009002","AJUSCO, MX","1961-02-03",,
"MXN00009002","AJUSCO, MX","1961-02-04",,
"MXN00009002","AJUSCO, MX","1961-02-05",,
"MXN00009002","AJUSCO, MX","1961-02-06",,
"MXN00009002","AJUSCO, MX","1961-02-07",,
"MXN00009002","AJUSCO, MX","1961-02-08",,
"MXN00009002","AJUSCO, MX","1961-02-09",,
"MXN00009002","AJUSCO, MX","1961-02-10",,
"MXN00009002","AJUSCO, MX","1961-02-11",,
"MXN00009002","AJUSCO, MX","1961-02-12",,
"MXN00009002","AJUSCO, MX","1961-02-13",,
"MXN00009002","AJUSCO, MX","1961-02-14",,
"MXN00009002","AJUSCO, MX","1961-02-15",,
"MXN00009002","AJUSCO, MX","1961-02-16",,
"MXN00009002","AJUSCO, MX","1961-02-17",,
"MXN00009002","AJUSCO, MX","1961-02-18",,
"MXN00009002","AJUSCO, MX","1961-02-19",,
"MXN00009002","AJUSCO, MX","1961-02-20",,
"MXN00009002","AJUSCO, MX","1961-02-21",,
"MXN00009002","AJUSCO, MX","1961-02-22",,
"MXN00009002","AJUSCO, MX","1961-02-23",,
"MXN00009002","AJUSCO, MX","1961-02-24",,
"MXN00009002","AJUSCO, MX","1961-02-25",,
"MXN00009002","AJUSCO, MX","1961-02-26",,
"MXN00009002","AJUSCO, MX","1961-02-27",,
"MXN00009002","AJUSCO, MX","1961-02-28",,
"MXN00009002","AJUSCO, MX","1961-03-01",,
"MXN00009002","AJUSCO, MX","1961-03-02",,
"MXN00009002","AJUSCO, MX","1961-03-03",,
"MXN00009002","AJUSCO, MX","1961-03-04",,
"MXN00009002","AJUSCO, MX","1961-03-05",,
"MXN00009002","AJUSCO, MX","1961-03-06",,
"MXN00009002","AJUSCO, MX","1961-03-07",,
"MXN00009002","AJUSCO, MX","1961-03-08",,
"MXN00009002","AJUSCO, MX","1961-03-09",,
"MXN00009002","AJUSCO, MX","1961-03-10",,
"MXN00009002","AJUSCO, MX","1961-03-11",,
"MXN00009002","AJUSCO, MX","1961-03-12",,
"MXN00009002","AJUSCO, MX","1961-03-13",,
"MXN00009002","AJUSCO, MX","1961-03-14",,
"MXN00009002","AJUSCO, MX","1961-03-15",,
"MXN00009002","AJUSCO, MX","1961-03-16",,
"MXN00009002","AJUSCO, MX","1961-03-17",,
"MXN00009002","AJUSCO, MX","1961-03-18",,
"MXN00009002","AJUSCO, MX","1961-03-19",,
"MXN00009002","AJUSCO, MX","1961-03-20",,
"MXN00009002","AJUSCO, MX","1961-03-21",,
"MXN00009002","AJUSCO, MX","1961-03-22",,
"MXN00009002","AJUSCO, MX","1961-03-23",,
