OBJECTID,GbCity,City_CH,City_EN,A100008_00,A100008_10,A100009_00,A100009_10,A101001_00,A101001_10,A101002_00,A101002_10,A101003_00,A101003_10,A101004_00,A101004_10,A101005_00,A101005_10,A101006_00,A101006_10,A103001_00,A103001_10,A104001_00,A104001_10,A104004_00,A104004_10,A104007_00,A104007_10,A104010_00,A104010_10,A105004_00,A105004_10,A105007_00,A105007_10,GbProv,Prov_CH,Prov_EN,Shape_Leng,Shape_Area,count
"101","3401",合肥市,Hefei,1964008,3887273,2503376,1815193,1280983,1993567,1234075,1832390,46908,161177,4467384,5702466,2345534,2982490,2121850,2719976,4033712,5019461,680004,1946902,98441,471186,300033,1279465,39103,196251,3031831,3110658,1409572,2523903,34,安徽省,Anhui,4.96984460942,0.71449946628,"2"
"1","1101",北京市辖区,Beijing (Districts),9876661,16446857,1632934,2380405,3782969,7058426,3483627,6394889,299342,663537,11509595,18827262,6020903,9727900,5488692,9099362,7800073,11845658,4265700,10288947,0,1498350,81874,1854807,2261763,6935790,3848817,6953411,7539608,11757102,11,北京市,Beijing,5.60512254654,0.8532664582,"1"
"1","1101",北京市辖区,Beijing (Districts),9876661,16446857,1632934,2380405,3782969,7058426,3483627,6394889,299342,663537,11509595,18827262,6020903,9727900,5488692,9099362,7800073,11845658,4265700,10288947,0,1498350,81874,1854807,2261763,6935790,3848817,6953411,7539608,11757102,11,北京市,Beijing,5.60512254654,0.8532664582,"1"
"1","1101",北京市辖区,Beijing (Districts),9876661,16446857,1632934,2380405,3782969,7058426,3483627,6394889,299342,663537,11509595,18827262,6020903,9727900,5488692,9099362,7800073,11845658,4265700,10288947,0,1498350,81874,1854807,2261763,6935790,3848817,6953411,7539608,11757102,11,北京市,Beijing,5.60512254654,0.8532664582,"1"
"238","5001",重庆市辖区,Chongqing (Districts),6174429,10778685,3517472,4914805,3098632,5595202,2975290,5373542,123342,221660,9691901,15693490,5013398,7947973,4678503,7745517,8416380,15612594,1708409,4170553,6743,1615666,365116,1730140,281323,824747,5694063,8482335,3953917,7115713,50,重庆市,Chongqing,13.4358090654,1.39148848564,"2"
"239","5002",重庆市辖县,Chongqing (Counties),3921083,4517118,16899779,8635562,6219567,4677357,6166268,4627423,53299,49934,20820862,13152680,10828031,6660897,9992831,6491783,21422714,17537251,916693,1270223,664242,1020976,116369,128800,121836,120447,18118972,10235171,2621745,2783269,50,重庆市,Chongqing,34.3742717579,6.32449733997,"1"
"238","5001",重庆市辖区,Chongqing (Districts),6174429,10778685,3517472,4914805,3098632,5595202,2975290,5373542,123342,221660,9691901,15693490,5013398,7947973,4678503,7745517,8416380,15612594,1708409,4170553,6743,1615666,365116,1730140,281323,824747,5694063,8482335,3953917,7115713,50,重庆市,Chongqing,13.4358090654,1.39148848564,"2"
"238","5001",重庆市辖区,Chongqing (Districts),6174429,10778685,3517472,4914805,3098632,5595202,2975290,5373542,123342,221660,9691901,15693490,5013398,7947973,4678503,7745517,8416380,15612594,1708409,4170553,6743,1615666,365116,1730140,281323,824747,5694063,8482335,3953917,7115713,50,重庆市,Chongqing,13.4358090654,1.39148848564,"1"
"238","5001",重庆市辖区,Chongqing (Districts),6174429,10778685,3517472,4914805,3098632,5595202,2975290,5373542,123342,221660,9691901,15693490,5013398,7947973,4678503,7745517,8416380,15612594,1708409,4170553,6743,1615666,365116,1730140,281323,824747,5694063,8482335,3953917,7115713,50,重庆市,Chongqing,13.4358090654,1.39148848564,"1"
"238","5001",重庆市辖区,Chongqing (Districts),6174429,10778685,3517472,4914805,3098632,5595202,2975290,5373542,123342,221660,9691901,15693490,5013398,7947973,4678503,7745517,8416380,15612594,1708409,4170553,6743,1615666,365116,1730140,281323,824747,5694063,8482335,3953917,7115713,50,重庆市,Chongqing,13.4358090654,1.39148848564,"5"
