country,cia-slug,growth_rate,date,rank,region,oecd,econ_top
South Sudan,south-sudan,5.05,2021 est.,1,Africa,False,False
Burundi,burundi,3.68,2021 est.,2,Africa,False,False
Niger,niger,3.65,2021 est.,3,Africa,False,False
Angola,angola,3.38,2021 est.,4,Africa,False,False
Benin,benin,3.36,2021 est.,5,Africa,False,False
Uganda,uganda,3.31,2021 est.,6,Africa,False,False
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,3.16,2021 est.,7,Africa,False,False
Chad,chad,3.12,2021 est.,8,Africa,False,False
Mali,mali,2.97,2021 est.,9,Africa,False,False
Zambia,zambia,2.93,2021 est.,10,Africa,False,False
Tanzania,tanzania,2.81,2021 est.,11,Africa,False,False
Cameroon,cameroon,2.77,2021 est.,12,Africa,False,False
Guinea,guinea,2.76,2021 est.,13,Africa,False,False
Liberia,liberia,2.74,2021 est.,14,Africa,False,False
Mozambique,mozambique,2.58,2021 est.,15,Africa,False,False
Burkina Faso,burkina-faso,2.58,2021 est.,16,Africa,False,False
Sudan,sudan,2.55,2021 est.,17,Africa,False,False
Nigeria,nigeria,2.53,2021 est.,18,Africa,False,False
Guinea-Bissau,guinea-bissau,2.52,2021 est.,19,Africa,False,False
Togo,togo,2.51,2021 est.,20,Africa,False,False
Ethiopia,ethiopia,2.5,2021 est.,21,Africa,False,False
Venezuela,venezuela,2.46,2021 est.,22,South America,False,False
Sierra Leone,sierra-leone,2.44,2021 est.,23,Africa,False,False
Gabon,gabon,2.41,2021 est.,24,Africa,False,False
Malawi,malawi,2.39,2021 est.,25,Africa,False,False
"Congo, Republic of the",congo-republic-of-the,2.36,2021 est.,26,Africa,False,False
Somalia,somalia,2.35,2021 est.,27,Africa,False,False
Afghanistan,afghanistan,2.34,2021 est.,28,South Asia,False,False
Madagascar,madagascar,2.31,2021 est.,29,Africa,False,False
Equatorial Guinea,equatorial-guinea,2.29,2021 est.,30,Africa,False,False
Ghana,ghana,2.26,2021 est.,31,Africa,False,False
Senegal,senegal,2.25,2021 est.,32,Africa,False,False
Cote d'Ivoire,cote-divoire,2.21,2021 est.,33,Africa,False,False
Timor-Leste,timor-leste,2.19,2021 est.,34,East Asia/Southeast Asia,False,False
Egypt,egypt,2.17,2021 est.,35,Africa,False,False
Kenya,kenya,2.15,2021 est.,36,Africa,False,False
Iraq,iraq,2.06,2021 est.,37,Middle East,False,False
Gaza Strip,gaza-strip,2.05,2021 est.,38,Middle East,False,False
Mauritania,mauritania,2.02,2021 est.,39,Africa,False,False
Djibouti,djibouti,2.01,2021 est.,40,Africa,False,False
Pakistan,pakistan,1.99,2021 est.,41,South Asia,False,False
British Virgin Islands,british-virgin-islands,1.96,2021 est.,42,Central America,False,False
Zimbabwe,zimbabwe,1.94,2021 est.,43,Africa,False,False
Yemen,yemen,1.93,2021 est.,44,Middle East,False,False
Turks and Caicos Islands,turks-and-caicos-islands,1.91,2021 est.,45,Central America,False,False
Oman,oman,1.89,2021 est.,46,Middle East,False,False
Cayman Islands,cayman-islands,1.87,2021 est.,47,Central America,False,False
Anguilla,anguilla,1.84,2021 est.,48,Central America,False,False
Namibia,namibia,1.83,2021 est.,49,Africa,False,False
"Gambia, The",gambia-the,1.82,2021 est.,50,Africa,False,False
Rwanda,rwanda,1.8,2021 est.,51,Africa,False,False
Central African Republic,central-african-republic,1.79,2021 est.,52,Africa,False,False
Libya,libya,1.76,2021 est.,53,Africa,False,False
Solomon Islands,solomon-islands,1.75,2021 est.,54,Australia - Oceania,False,False
West Bank,west-bank,1.72,2021 est.,55,Middle East,False,False
Luxembourg,luxembourg,1.7,2021 est.,56,Europe,True,False
Vanuatu,vanuatu,1.67,2021 est.,57,Australia - Oceania,False,False
Belize,belize,1.67,2021 est.,58,Central America,False,False
Saudi Arabia,saudi-arabia,1.62,2021 est.,59,Middle East,False,False
Guatemala,guatemala,1.62,2021 est.,60,Central America,False,False
Papua New Guinea,papua-new-guinea,1.61,2021 est.,61,East Asia/Southeast Asia,False,False
Sao Tome and Principe,sao-tome-and-principe,1.5,2021 est.,62,Africa,False,False
Philippines,philippines,1.49,2021 est.,63,East Asia/Southeast Asia,False,False
Brunei,brunei,1.48,2021 est.,64,East Asia/Southeast Asia,False,False
Laos,laos,1.46,2021 est.,65,East Asia/Southeast Asia,False,False
Israel,israel,1.45,2021 est.,66,Middle East,True,False
Tajikistan,tajikistan,1.44,2021 est.,67,Central Asia,False,False
Botswana,botswana,1.43,2021 est.,68,Africa,False,False
Comoros,comoros,1.41,2021 est.,69,Africa,False,False
Algeria,algeria,1.41,2021 est.,70,Africa,False,False
Bolivia,bolivia,1.39,2021 est.,71,South America,False,False
Marshall Islands,marshall-islands,1.37,2021 est.,72,Australia - Oceania,False,False
Cambodia,cambodia,1.34,2021 est.,73,East Asia/Southeast Asia,False,False
Australia,australia,1.31,2021 est.,74,Australia - Oceania,True,False
New Zealand,new-zealand,1.28,2021 est.,75,Australia - Oceania,True,False
Sint Maarten,sint-maarten,1.28,2021 est.,76,Central America,False,False
Cabo Verde,cabo-verde,1.24,2021 est.,77,Africa,False,False
Qatar,qatar,1.23,2021 est.,78,Middle East,False,False
Haiti,haiti,1.22,2021 est.,79,Central America,False,False
Honduras,honduras,1.22,2021 est.,80,Central America,False,False
New Caledonia,new-caledonia,1.22,2021 est.,81,Australia - Oceania,False,False
Kuwait,kuwait,1.2,2021 est.,82,Middle East,False,False
