year,month,commodity_code,commodity_chapter,commodity_chapter_desc,commodity_chapter_four,commodity_chapter_four_desc,first_unit_of_measure,second_quantity,second_unit_of_measure,us_dollar
2021,12,09042200,09,"Coffee, tea, mate and spices",0904,Pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta,千克,0,?,231210
2021,12,20079910,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",千克,0,?,374682
2021,12,21069090,21,Miscellaneous edible preparations,2106,Food preparations not elsewhere specified or included,千克,0,?,576188
2021,12,25301020,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2530,Mineral substances not elsewhere specified or included,千克,0,?,638100
2021,12,28271090,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2827,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides,千克,0,?,11600
2021,12,28323000,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2832,Sulphites; thiosulphates,千克,0,?,20359
2021,12,28332100,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2833,Sulphates; alums; peroxosulphates (persulphates),千克,0,?,391417
2021,12,29224919,29,Organic chemicals,2922,Oxygen-function amino-compounds,千克,0,?,392096
2021,12,29241990,29,Organic chemicals,2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid,千克,0,?,742675
2021,12,29339900,29,Organic chemicals,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,千克,0,?,506300
2021,12,29372311,29,Organic chemicals,2937,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones.",千克,0,?,176602
2021,12,29053990,29,Organic chemicals,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",千克,0,?,281600
2021,12,29054990,29,Organic chemicals,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",千克,0,?,52630
2021,12,33061090,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3306,"Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",千克,0,?,11
2021,12,39079910,39,Plastics and articles thereof,3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",千克,0,?,263193
2021,12,39139000,39,Plastics and articles thereof,3913,"Natural polymers (e.g. alginic acid) and modified natural polymers (e.g. hardened proteins, chemical derivatives of natural rubber), n.e.c. or included, in primary forms",千克,0,?,169014
2021,12,39189090,39,Plastics and articles thereof,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",千克,0,?,14706
