year,commodity_code,commodity_chapter,commodity_chapter_desc,commodity_chapter_four,commodity_chapter_four_desc,us_dollar,exported_to,exported_from
2019,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,1628,Kazakhstan,Xingjiang Uygur
2018,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,4246,Kazakhstan,Xingjiang Uygur
2017,03011100,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0301,Fish; live,17452,Kazakhstan,Xingjiang Uygur
2018,03063210,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",468,Kazakhstan,Xingjiang Uygur
2019,04012000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0401,"Milk and cream; not concentrated, not containing added sugar or other sweetening matter",317,Kazakhstan,Xingjiang Uygur
2019,04021000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,654,Kazakhstan,Xingjiang Uygur
2020,04021000,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,81000,Kazakhstan,Xingjiang Uygur
2020,04022100,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,90549,Kazakhstan,Xingjiang Uygur
2020,04022900,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2197,Kazakhstan,Xingjiang Uygur
2019,06021000,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",4736,Kazakhstan,Xingjiang Uygur
2019,06029091,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",1800,Kazakhstan,Xingjiang Uygur
2018,06022010,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",15000,Kazakhstan,Xingjiang Uygur
2017,06022010,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",2000,Kazakhstan,Xingjiang Uygur
2017,06029091,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",82486,Kazakhstan,Xingjiang Uygur
2017,06029099,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",11605,Kazakhstan,Xingjiang Uygur
2019,06031100,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",34534,Kazakhstan,Xingjiang Uygur
2019,06031200,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",12960,Kazakhstan,Xingjiang Uygur
2017,06031100,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",311710,Kazakhstan,Xingjiang Uygur
2017,06031200,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",24600,Kazakhstan,Xingjiang Uygur
2021,06039000,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0603,"Flowers; cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",199116,Kazakhstan,Xingjiang Uygur
2017,06042090,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated etc.",2550,Kazakhstan,Xingjiang Uygur
2019,07020000,07,Vegetables and certain roots and tubers; edible,0702,Tomatoes; fresh or chilled,5327499,Kazakhstan,Xingjiang Uygur
2018,07020000,07,Vegetables and certain roots and tubers; edible,0702,Tomatoes; fresh or chilled,7721800,Kazakhstan,Xingjiang Uygur
2017,07020000,07,Vegetables and certain roots and tubers; edible,0702,Tomatoes; fresh or chilled,7889295,Kazakhstan,Xingjiang Uygur
2020,07020000,07,Vegetables and certain roots and tubers; edible,0702,Tomatoes; fresh or chilled,683078,Kazakhstan,Xingjiang Uygur
2021,07020000,07,Vegetables and certain roots and tubers; edible,0702,Tomatoes; fresh or chilled,51114,Kazakhstan,Xingjiang Uygur
2019,07031010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",98,Kazakhstan,Xingjiang Uygur
2019,07031020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",488,Kazakhstan,Xingjiang Uygur
2019,07032010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",986855,Kazakhstan,Xingjiang Uygur
2019,07032020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",5715,Kazakhstan,Xingjiang Uygur
2019,07039020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",1651,Kazakhstan,Xingjiang Uygur
2019,07039090,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8289,Kazakhstan,Xingjiang Uygur
2018,07031010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",634,Kazakhstan,Xingjiang Uygur
2018,07031020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",1049,Kazakhstan,Xingjiang Uygur
2018,07032010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",645756,Kazakhstan,Xingjiang Uygur
2018,07032020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",9598,Kazakhstan,Xingjiang Uygur
2018,07039020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",3557,Kazakhstan,Xingjiang Uygur
2018,07039090,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",10021,Kazakhstan,Xingjiang Uygur
2017,07031010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",38939,Kazakhstan,Xingjiang Uygur
2017,07031020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",80,Kazakhstan,Xingjiang Uygur
2017,07032010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",650822,Kazakhstan,Xingjiang Uygur
2017,07032020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",1467,Kazakhstan,Xingjiang Uygur
2017,07039020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",923,Kazakhstan,Xingjiang Uygur
2017,07039090,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",5071,Kazakhstan,Xingjiang Uygur
2020,07031020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",242,Kazakhstan,Xingjiang Uygur
2020,07032010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",2490827,Kazakhstan,Xingjiang Uygur
2020,07032020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",2192,Kazakhstan,Xingjiang Uygur
2020,07039020,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",401,Kazakhstan,Xingjiang Uygur
2020,07039090,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8493,Kazakhstan,Xingjiang Uygur
2021,07032010,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",505080,Kazakhstan,Xingjiang Uygur
2021,07039090,07,Vegetables and certain roots and tubers; edible,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",14703,Kazakhstan,Xingjiang Uygur
2019,07041000,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",112580,Kazakhstan,Xingjiang Uygur
2019,07049010,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",27270,Kazakhstan,Xingjiang Uygur
2019,07049020,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",165883,Kazakhstan,Xingjiang Uygur
2019,07049090,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",134106,Kazakhstan,Xingjiang Uygur
2018,07041000,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",99995,Kazakhstan,Xingjiang Uygur
2018,07049010,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",11610,Kazakhstan,Xingjiang Uygur
2018,07049020,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",163743,Kazakhstan,Xingjiang Uygur
2018,07049090,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",110237,Kazakhstan,Xingjiang Uygur
2017,07041000,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",103420,Kazakhstan,Xingjiang Uygur
2017,07049010,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",180215,Kazakhstan,Xingjiang Uygur
2017,07049020,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",105590,Kazakhstan,Xingjiang Uygur
2017,07049090,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",189680,Kazakhstan,Xingjiang Uygur
2020,07041000,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",16099,Kazakhstan,Xingjiang Uygur
2020,07049010,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",414,Kazakhstan,Xingjiang Uygur
2020,07049020,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",80042,Kazakhstan,Xingjiang Uygur
2020,07049090,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",24349,Kazakhstan,Xingjiang Uygur
2021,07041000,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",945,Kazakhstan,Xingjiang Uygur
2021,07049020,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",15998,Kazakhstan,Xingjiang Uygur
2021,07049090,07,Vegetables and certain roots and tubers; edible,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",91923,Kazakhstan,Xingjiang Uygur
2019,07051100,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,160161,Kazakhstan,Xingjiang Uygur
2019,07051900,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,19383,Kazakhstan,Xingjiang Uygur
2018,07051100,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,147124,Kazakhstan,Xingjiang Uygur
2018,07051900,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,6706,Kazakhstan,Xingjiang Uygur
2017,07051100,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,89840,Kazakhstan,Xingjiang Uygur
2020,07051100,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,62208,Kazakhstan,Xingjiang Uygur
2020,07051900,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,4808,Kazakhstan,Xingjiang Uygur
2021,07051100,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,30968,Kazakhstan,Xingjiang Uygur
2021,07051900,07,Vegetables and certain roots and tubers; edible,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,23499,Kazakhstan,Xingjiang Uygur
2019,07061000,07,Vegetables and certain roots and tubers; edible,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",46696,Kazakhstan,Xingjiang Uygur
2018,07061000,07,Vegetables and certain roots and tubers; edible,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",64061,Kazakhstan,Xingjiang Uygur
2017,07061000,07,Vegetables and certain roots and tubers; edible,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",187950,Kazakhstan,Xingjiang Uygur
2020,07061000,07,Vegetables and certain roots and tubers; edible,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",34676,Kazakhstan,Xingjiang Uygur
2019,07070000,07,Vegetables and certain roots and tubers; edible,0707,Cucumbers and gherkins; fresh or chilled,276514,Kazakhstan,Xingjiang Uygur
2018,07070000,07,Vegetables and certain roots and tubers; edible,0707,Cucumbers and gherkins; fresh or chilled,352928,Kazakhstan,Xingjiang Uygur
2017,07070000,07,Vegetables and certain roots and tubers; edible,0707,Cucumbers and gherkins; fresh or chilled,552645,Kazakhstan,Xingjiang Uygur
2020,07070000,07,Vegetables and certain roots and tubers; edible,0707,Cucumbers and gherkins; fresh or chilled,66364,Kazakhstan,Xingjiang Uygur
2021,07070000,07,Vegetables and certain roots and tubers; edible,0707,Cucumbers and gherkins; fresh or chilled,3768,Kazakhstan,Xingjiang Uygur
2019,07082000,07,Vegetables and certain roots and tubers; edible,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",3208,Kazakhstan,Xingjiang Uygur
2018,07082000,07,Vegetables and certain roots and tubers; edible,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",7653,Kazakhstan,Xingjiang Uygur
2017,07082000,07,Vegetables and certain roots and tubers; edible,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",3340,Kazakhstan,Xingjiang Uygur
2020,07082000,07,Vegetables and certain roots and tubers; edible,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",2423,Kazakhstan,Xingjiang Uygur
2019,07092000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",564,Kazakhstan,Xingjiang Uygur
2019,07093000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",292149,Kazakhstan,Xingjiang Uygur
2019,07094000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",90252,Kazakhstan,Xingjiang Uygur
2019,07095100,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",658,Kazakhstan,Xingjiang Uygur
2019,07095920,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",1953,Kazakhstan,Xingjiang Uygur
2019,07095930,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",2382,Kazakhstan,Xingjiang Uygur
2019,07095990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",588,Kazakhstan,Xingjiang Uygur
2019,07096000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",2862310,Kazakhstan,Xingjiang Uygur
2019,07097000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",35730,Kazakhstan,Xingjiang Uygur
2019,07099300,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",268192,Kazakhstan,Xingjiang Uygur
2019,07099990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",6172,Kazakhstan,Xingjiang Uygur
2018,07093000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",358250,Kazakhstan,Xingjiang Uygur
2018,07094000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",57960,Kazakhstan,Xingjiang Uygur
2018,07095100,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",1886,Kazakhstan,Xingjiang Uygur
2018,07095920,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",1295,Kazakhstan,Xingjiang Uygur
2018,07095930,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",769,Kazakhstan,Xingjiang Uygur
2018,07096000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",5956730,Kazakhstan,Xingjiang Uygur
2018,07097000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",36088,Kazakhstan,Xingjiang Uygur
2018,07099300,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",250579,Kazakhstan,Xingjiang Uygur
2018,07099990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",16472,Kazakhstan,Xingjiang Uygur
2017,07093000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",367396,Kazakhstan,Xingjiang Uygur
2017,07094000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",53126,Kazakhstan,Xingjiang Uygur
2017,07095100,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",405,Kazakhstan,Xingjiang Uygur
2017,07096000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",2937581,Kazakhstan,Xingjiang Uygur
2017,07097000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",16266,Kazakhstan,Xingjiang Uygur
2017,07099300,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",254903,Kazakhstan,Xingjiang Uygur
2017,07099990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",4338,Kazakhstan,Xingjiang Uygur
2020,07093000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",55878,Kazakhstan,Xingjiang Uygur
2020,07094000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",23790,Kazakhstan,Xingjiang Uygur
2020,07095100,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",30,Kazakhstan,Xingjiang Uygur
2020,07095930,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",6308,Kazakhstan,Xingjiang Uygur
2020,07095990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",150,Kazakhstan,Xingjiang Uygur
2020,07096000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",4853820,Kazakhstan,Xingjiang Uygur
2020,07097000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",17371,Kazakhstan,Xingjiang Uygur
2020,07099300,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",96100,Kazakhstan,Xingjiang Uygur
2020,07099990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",736,Kazakhstan,Xingjiang Uygur
2021,07093000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",3333,Kazakhstan,Xingjiang Uygur
2021,07094000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",6722,Kazakhstan,Xingjiang Uygur
2021,07095930,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",7630,Kazakhstan,Xingjiang Uygur
2021,07095950,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",1500,Kazakhstan,Xingjiang Uygur
2021,07096000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",1248614,Kazakhstan,Xingjiang Uygur
2021,07097000,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",15757,Kazakhstan,Xingjiang Uygur
2021,07099300,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",9403,Kazakhstan,Xingjiang Uygur
2021,07099990,07,Vegetables and certain roots and tubers; edible,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",3738,Kazakhstan,Xingjiang Uygur
2019,07123910,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",2630409,Kazakhstan,Xingjiang Uygur
2018,07123910,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",887148,Kazakhstan,Xingjiang Uygur
2018,07129050,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",31754,Kazakhstan,Xingjiang Uygur
2017,07123910,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",152170,Kazakhstan,Xingjiang Uygur
2017,07129050,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",49875,Kazakhstan,Xingjiang Uygur
2020,07122000,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",35714,Kazakhstan,Xingjiang Uygur
2020,07123200,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",498810,Kazakhstan,Xingjiang Uygur
2020,07123910,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",252042,Kazakhstan,Xingjiang Uygur
2020,07129050,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",35856,Kazakhstan,Xingjiang Uygur
2021,07123200,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",443919,Kazakhstan,Xingjiang Uygur
2021,07123910,07,Vegetables and certain roots and tubers; edible,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",606094,Kazakhstan,Xingjiang Uygur
2019,07133290,07,Vegetables and certain roots and tubers; edible,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",5346,Kazakhstan,Xingjiang Uygur
2018,07133290,07,Vegetables and certain roots and tubers; edible,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",10068,Kazakhstan,Xingjiang Uygur
2019,07142019,07,Vegetables and certain roots and tubers; edible,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",1910,Kazakhstan,Xingjiang Uygur
2019,07143000,07,Vegetables and certain roots and tubers; edible,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",1591,Kazakhstan,Xingjiang Uygur
2019,07149029,07,Vegetables and certain roots and tubers; edible,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",1561,Kazakhstan,Xingjiang Uygur
2018,07142019,07,Vegetables and certain roots and tubers; edible,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",3008,Kazakhstan,Xingjiang Uygur
2018,07143000,07,Vegetables and certain roots and tubers; edible,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",1523,Kazakhstan,Xingjiang Uygur
