OBJECTID,GbCity,City_CH,City_EN,GbProv,Prov_CH,Prov_EN,count,longitude,latitude
"138","3701",济南市,Jinan,37.00000000000,山东省,Shandong,"2",117.120098,36.6512
"139","3702",青岛市,Qingdao,37.00000000000,山东省,Shandong,"7",120.382621,36.067131
"143","3706",烟台市,Yantai,37.00000000000,山东省,Shandong,"1",121.447852,37.464539
"16","1401",太原市,Taiyuan,14.00000000000,山西省,Shanxi,"10",112.548879,37.87059
"293","6101",西安市,Xian,61.00000000000,陕西省,Shaanxi,"20",108.93977,34.341574
"296","6104",咸阳市,Xianyang,61.00000000000,陕西省,Shaanxi,"1",108.709136,34.32987
"298","6106",延安市,Yanan,61.00000000000,陕西省,Shaanxi,"1",109.494112,36.651381
"76","3102,3102","上海市辖县,上海市辖县",Shanghai (Counties),31.00000000000,上海市,Shanghai,"2",121.397421,31.623728
"75","3101,3101","上海市辖区,上海市辖区",Shanghai (Districts),31.00000000000,上海市,Shanghai,"5",121.265374,31.375869
"256","5119",巴中市,Bazhong,51.00000000000,四川省,Sichuan,"1",106.747477,31.867903
"240","5101,5101","成都市,成都市",Chengdu,51.00000000000,四川省,Sichuan,"10",104.066794,30.572893
"244","5106",德阳市,Deyang,51.00000000000,四川省,Sichuan,"1",104.397894,31.126855
"253","5116",广安市,Guangan,51.00000000000,四川省,Sichuan,"1",106.633088,30.456224
"243","5105",泸州市,Luzhou,51.00000000000,四川省,Sichuan,"1",105.442285,28.871805
"251","5114",眉山市,Meishan,51.00000000000,四川省,Sichuan,"2",103.848403,30.076994
"250","5113",南充市,Nanchong,51.00000000000,四川省,Sichuan,"2",106.110698,30.837793
"4","1202",天津市辖县,Tianjin (Counties),12.00000000000,天津市,Tianjin,"1",117.309874,39.717564
"3","1201,1201,1201,1201","天津市辖区,天津市辖区,天津市辖区,天津市辖区",Tianjin (Districts),12.00000000000,天津市,Tianjin,"8",117.135488,39.224791
"270","5301",昆明市,Kunming,53.00000000000,云南省,Yunnan,"6",102.832891,24.880095
"272","5304",玉溪市,Yuxi,53.00000000000,云南省,Yunnan,"1",102.527197,24.347324
"90","3301",杭州市,Hangzhou,33.00000000000,浙江省,Zhejiang,"4",120.209789,30.24692
"2","1102",北京市辖县,Beijing (Counties),11.00000000000,北京市,Beijing,"0",,
"6","1302",唐山市,Tangshan,13.00000000000,河北省,Hebei,"0",,
