date,cases,rate_per_million,three-week-change
2020-01-22,548,0.3914285714285714,
2020-01-23,643,0.45928571428571424,
2020-01-24,920,0.6571428571428571,
2020-01-25,1406,1.0042857142857142,
2020-01-26,2075,1.482142857142857,
2020-01-27,2877,2.0549999999999997,
2020-01-28,5509,3.9349999999999996,
2020-01-29,6087,4.347857142857143,
2020-01-30,8141,5.815,
2020-01-31,9802,7.001428571428572,
2020-02-01,11891,8.493571428571428,
2020-02-02,16630,11.878571428571428,
2020-02-03,19716,14.082857142857142,
2020-02-04,23707,16.93357142857143,
2020-02-05,27440,19.599999999999998,
2020-02-06,30587,21.84785714285714,
2020-02-07,34110,24.364285714285714,
2020-02-08,36814,26.295714285714286,
2020-02-09,39829,28.449285714285715,
2020-02-10,42354,30.252857142857142,
2020-02-11,44386,31.704285714285714,7999.64
2020-02-12,44759,31.970714285714283,6860.96
2020-02-13,59895,42.78214285714285,6410.33
2020-02-14,66358,47.39857142857143,4619.63
2020-02-15,68413,48.86642857142857,3197.01
2020-02-16,70513,50.36642857142858,2350.92
2020-02-17,72434,51.73857142857143,1214.83
2020-02-18,74211,53.00785714285714,1119.17
2020-02-19,74619,53.29928571428571,816.58
2020-02-20,75077,53.626428571428576,665.94
2020-02-21,75550,53.964285714285715,535.35
2020-02-22,77001,55.00071428571428,363.02
2020-02-23,77022,55.01571428571428,290.66
2020-02-24,77241,55.17214285714286,225.82
2020-02-25,77754,55.53857142857143,183.36
2020-02-26,78166,55.832857142857144,155.55
2020-02-27,78600,56.142857142857146,130.43
2020-02-28,78928,56.37714285714286,114.4
2020-02-29,79356,56.682857142857145,99.24
2020-03-01,79932,57.09428571428571,88.72
2020-03-02,80136,57.24,80.54
2020-03-03,80261,57.32928571428571,79.32
2020-03-04,80386,57.41857142857143,34.21
2020-03-05,80537,57.526428571428575,21.37
2020-03-06,80690,57.635714285714286,17.95
2020-03-07,80770,57.69285714285714,14.55
2020-03-08,80823,57.730714285714285,11.58
2020-03-09,80860,57.75714285714286,8.96
2020-03-10,80887,57.776428571428575,8.4
2020-03-11,80921,57.800714285714285,7.78
2020-03-12,80932,57.808571428571426,7.12
2020-03-13,80945,57.81785714285714,5.12
2020-03-14,80977,57.840714285714284,5.13
2020-03-15,81003,57.85928571428572,4.87
2020-03-16,81033,57.880714285714284,4.22
2020-03-17,81058,57.89857142857143,3.7
2020-03-18,81102,57.93,3.18
2020-03-19,81156,57.96857142857143,2.82
2020-03-20,81250,58.035714285714285,2.39
2020-03-21,81305,58.075,1.72
2020-03-22,81435,58.16785714285714,1.62
2020-03-23,81498,58.212857142857146,1.54
2020-03-24,81591,58.27928571428571,1.5
2020-03-25,81661,58.32928571428572,1.4
2020-03-26,81782,58.41571428571429,1.35
2020-03-27,81897,58.49785714285714,1.4
2020-03-28,81999,58.57071428571429,1.46
2020-03-29,82122,58.65857142857143,1.56
2020-03-30,82198,58.71285714285714,1.62
2020-03-31,82279,58.770714285714284,1.68
2020-04-01,82361,58.82928571428572,1.77
2020-04-02,82432,58.879999999999995,1.84
2020-04-03,82511,58.93642857142857,1.89
2020-04-04,82543,58.95928571428571,1.9
2020-04-05,82602,59.00142857142857,1.94
2020-04-06,82665,59.04642857142857,1.98
2020-04-07,82718,59.08428571428571,1.99
2020-04-08,82809,59.14928571428571,2.04
2020-04-09,82883,59.20214285714285,2.01
2020-04-10,82941,59.24357142857143,2.01
2020-04-11,83014,59.29571428571428,1.94
2020-04-12,83134,59.38142857142857,2.01
2020-04-13,83213,59.43785714285715,1.99
2020-04-14,83306,59.504285714285714,2.01
2020-04-15,83356,59.54,1.92
2020-04-16,83403,59.57357142857143,1.84
2020-04-17,83760,59.82857142857143,2.15
2020-04-18,83787,59.847857142857144,2.03
2020-04-19,83805,59.86071428571429,1.96
2020-04-20,83817,59.86928571428571,1.87
2020-04-21,83853,59.895,1.81
2020-04-22,83868,59.90571428571429,1.74
