,province,city,pos,count,district,longitude,latitude
0,安徽省,合肥市,"{'lng': 117.227219, 'lat': 31.820591}",2,,117.227219,31.820591
1,北京市,北京城区,"{'lng': 116.443205, 'lat': 39.921506}",1,朝阳区,116.443205,39.921506
2,北京市,北京城区,"{'lng': 116.222933, 'lat': 39.906611}",1,石景山区,116.222933,39.906611
3,北京市,北京城区,"{'lng': 116.656434, 'lat': 39.909946}",1,通州区,116.656434,39.909946
4,重庆市,重庆城区,"{'lng': 106.540256, 'lat': 29.402408}",2,巴南区,106.540256,29.402408
5,重庆市,重庆城区,"{'lng': 106.227305, 'lat': 29.592024}",1,璧山区,106.227305,29.592024
6,重庆市,重庆城区,"{'lng': 108.770677, 'lat': 29.533609}",2,黔江区,108.770677,29.533609
7,重庆市,重庆城区,"{'lng': 106.456878, 'lat': 29.541144}",1,沙坪坝区,106.456878,29.541144
8,重庆市,重庆城区,"{'lng': 108.408661, 'lat': 30.807667}",1,万州区,108.408661,30.807667
9,重庆市,重庆城区,"{'lng': 106.631187, 'lat': 29.718142}",5,渝北区,106.631187,29.718142
10,福建省,福州市,"{'lng': 119.296389, 'lat': 26.074268}",2,,119.296389,26.074268
11,甘肃省,兰州市,"{'lng': 103.834303, 'lat': 36.061089}",1,,103.834303,36.061089
12,甘肃省,庆阳市,"{'lng': 107.643571, 'lat': 35.70898}",1,,107.643571,35.70898
13,广东省,广州市,"{'lng': 113.264385, 'lat': 23.12911}",1,,113.264385,23.12911
14,广东省,揭阳市,"{'lng': 116.372708, 'lat': 23.549701}",1,,116.372708,23.549701
15,广东省,汕头市,"{'lng': 116.681972, 'lat': 23.354091}",1,,116.681972,23.354091
16,广东省,深圳市,"{'lng': 114.057939, 'lat': 22.543527}",3,,114.057939,22.543527
17,广东省,湛江市,"{'lng': 110.356639, 'lat': 21.270145}",1,,110.356639,21.270145
18,广东省,中山市,"{'lng': 113.39277, 'lat': 22.517585}",1,,113.39277,22.517585
19,广西壮族自治区,北海市,"{'lng': 109.120161, 'lat': 21.481291}",1,,109.120161,21.481291
20,广西壮族自治区,崇左市,"{'lng': 107.365094, 'lat': 22.377253}",1,,107.365094,22.377253
21,广西壮族自治区,桂林市,"{'lng': 110.179953, 'lat': 25.234479}",5,,110.179953,25.234479
22,广西壮族自治区,柳州市,"{'lng': 109.428608, 'lat': 24.326291}",2,,109.428608,24.326291
23,广西壮族自治区,南宁市,"{'lng': 108.366543, 'lat': 22.817002}",9,,108.366543,22.817002
24,广西壮族自治区,钦州市,"{'lng': 108.654146, 'lat': 21.979933}",1,,108.654146,21.979933
25,广西壮族自治区,梧州市,"{'lng': 111.279115, 'lat': 23.476962}",1,,111.279115,23.476962
26,广西壮族自治区,玉林市,"{'lng': 110.18122, 'lat': 22.654032}",2,,110.18122,22.654032
27,贵州省,贵阳市,"{'lng': 106.630153, 'lat': 26.647661}",2,,106.630153,26.647661
28,河北省,保定市,"{'lng': 115.464589, 'lat': 38.874434}",3,,115.464589,38.874434
29,河北省,沧州市,"{'lng': 116.838834, 'lat': 38.304477}",1,,116.838834,38.304477
30,河北省,承德市,"{'lng': 117.962749, 'lat': 40.952942}",1,,117.962749,40.952942
31,河北省,邯郸市,"{'lng': 114.538959, 'lat': 36.625594}",2,,114.538959,36.625594
32,河北省,廊坊市,"{'lng': 116.683752, 'lat': 39.538047}",5,,116.683752,39.538047
33,河北省,石家庄市,"{'lng': 114.514793, 'lat': 38.042228}",6,,114.514793,38.042228
34,河北省,邢台市,"{'lng': 114.504677, 'lat': 37.070834}",3,,114.504677,37.070834
35,河北省,张家口市,"{'lng': 114.886252, 'lat': 40.768493}",2,,114.886252,40.768493
36,河南省,安阳市,"{'lng': 114.392392, 'lat': 36.097577}",2,,114.392392,36.097577
37,河南省,开封市,"{'lng': 114.307677, 'lat': 34.797966}",3,,114.307677,34.797966
38,河南省,洛阳市,"{'lng': 112.453926, 'lat': 34.620202}",1,,112.453926,34.620202
39,河南省,漯河市,"{'lng': 114.016536, 'lat': 33.580873}",1,,114.016536,33.580873
40,河南省,南阳市,"{'lng': 112.528308, 'lat': 32.990664}",3,,112.528308,32.990664
41,河南省,商丘市,"{'lng': 115.656339, 'lat': 34.414961}",2,,115.656339,34.414961
42,河南省,新乡市,"{'lng': 113.926763, 'lat': 35.303704}",2,,113.926763,35.303704
43,河南省,郑州市,"{'lng': 113.38324, 'lat': 34.786948}",1,荥阳市,113.38324,34.786948
44,河南省,许昌市,"{'lng': 113.852454, 'lat': 34.035771}",2,,113.852454,34.035771
45,河南省,郑州市,"{'lng': 113.625328, 'lat': 34.746611}",44,,113.625328,34.746611
46,河南省,周口市,"{'lng': 114.69695, 'lat': 33.626149}",1,,114.69695,33.626149
47,河南省,驻马店市,"{'lng': 114.022247, 'lat': 33.012885}",5,,114.022247,33.012885
48,湖北省,鄂州市,"{'lng': 114.894935, 'lat': 30.391141}",3,,114.894935,30.391141
49,湖北省,荆门市,"{'lng': 112.199427, 'lat': 31.035395}",1,,112.199427,31.035395
50,湖北省,随州市,"{'lng': 113.382515, 'lat': 31.690191}",1,,113.382515,31.690191
51,湖北省,武汉市,"{'lng': 114.305469, 'lat': 30.593175}",14,,114.305469,30.593175
52,湖北省,咸宁市,"{'lng': 114.322616, 'lat': 29.841362}",3,,114.322616,29.841362
53,湖北省,襄阳市,"{'lng': 112.122426, 'lat': 32.009016}",2,,112.122426,32.009016
54,湖北省,孝感市,"{'lng': 113.957037, 'lat': 30.917766}",1,,113.957037,30.917766
55,湖南省,常德市,"{'lng': 111.698784, 'lat': 29.031654}",1,,111.698784,29.031654
56,湖南省,郴州市,"{'lng': 113.014984, 'lat': 25.770532}",1,,113.014984,25.770532
57,湖南省,衡阳市,"{'lng': 112.953168, 'lat': 27.08117}",1,衡东县,112.953168,27.08117
58,湖南省,衡阳市,"{'lng': 112.572018, 'lat': 26.893368}",1,,112.572018,26.893368
59,湖南省,怀化市,"{'lng': 110.001923, 'lat': 27.569517}",2,,110.001923,27.569517
60,湖南省,长沙市,"{'lng': 113.643076, 'lat': 28.162833}",1,浏阳市,113.643076,28.162833
61,湖南省,邵阳市,"{'lng': 111.467674, 'lat': 27.23895}",1,,111.467674,27.23895
62,湖南省,湘潭市,"{'lng': 112.944026, 'lat': 27.829795}",4,,112.944026,27.829795
63,湖南省,永州市,"{'lng': 111.613418, 'lat': 26.419641}",2,,111.613418,26.419641
64,湖南省,岳阳市,"{'lng': 113.12873, 'lat': 29.356803}",1,,113.12873,29.356803
65,湖南省,长沙市,"{'lng': 112.938884, 'lat': 28.22808}",11,,112.938884,28.22808
66,湖南省,株洲市,"{'lng': 113.133853, 'lat': 27.827986}",7,,113.133853,27.827986
67,吉林省,四平市,"{'lng': 124.822929, 'lat': 43.504676}",1,公主岭市,124.822929,43.504676
68,江苏省,常州市,"{'lng': 119.974061, 'lat': 31.811226}",1,,119.974061,31.811226
69,江苏省,连云港市,"{'lng': 119.221611, 'lat': 34.596653}",1,,119.221611,34.596653
