id,title,format,address,date_time,tags,language,type,zip_code,day,time
30,Spin The Bottle,In Person,"Hyperion Ave  Los Angeles, CA 90027",Thursday @ 8:00PM - 9:00PM,Open; Speaker; Tag Participation,English,LGBTQ,90027,Thursday,8:00PM - 9:00PM
36,Daily Reflections,In Person,"Baldwin Park Blvd  Baldwin Park, CA 91706",Monday @ 7:00PM - 8:30PM,Open,English,No Types Set,91706,Monday,7:00PM - 8:30PM
37,As Bill Sees It,In Person,"Maine Ave  Baldwin Park, CA 91706",Wednesday @ 6:00PM - 7:15PM,As Bill Sees It,English,No Types Set,91706,Wednesday,6:00PM - 7:15PM
48,Roxbury Group,In Person,"S Roxbury Dr  Beverly Hills, CA 90212",Tuesday @ 8:00PM - 9:00PM,Discussion; Open; Speaker,English,No Types Set,90212,Tuesday,8:00PM - 9:00PM
49,Beverly Hills Men'S Stag (Roxbury),In Person,"S Roxbury Dr  Beverly Hills, CA 90212",Wednesday @ 8:00PM - 9:20PM,Closed,English,Men,90212,Wednesday,8:00PM - 9:20PM
69,Burbank Group Monday Night Madness,In Person,"S Victory Blvd  Burbank, CA 91502",Monday @ 8:00PM,Discussion; Open,English,No Types Set,91502,Monday,8:00PM
71,Burbank Group Women'S Stag,In Person,"S Victory Blvd  Burbank, CA 91502",Tuesday @ 8:00PM - 9:00PM,Closed; Discussion,English,Women,91502,Tuesday,8:00PM - 9:00PM
75,Burbank Group 12 Steps & 12 Traditions ,In Person,"S Victory Blvd  Burbank, CA 91502",Wednesday @ 8:00PM - 9:00PM,Discussion; Open; Speaker,English,No Types Set,91502,Wednesday,8:00PM - 9:00PM
82,Burbank Group Speaker,In Person,"S Victory Blvd  Burbank, CA 91502",Friday @ 8:00PM - 9:30PM,Open; Speaker,English,No Types Set,91502,Friday,8:00PM - 9:30PM
85,Burbank Group Men'S Stag,In Person,"S Victory Blvd  Burbank, CA 91502",Saturday @ 12:00PM,Discussion; Open,English,Men,91502,Saturday,12:00PM
93,Just For Today,In Person,"E Compton Blvd  Compton, CA 90221",Sunday @ 6:00PM,Open,English,No Types Set,90221,Sunday,6:00PM
95,Men'S Stag,In Person,"E Compton Blvd  Compton, CA 90221",Monday @ 8:30PM,Closed,English,Men,90221,Monday,8:30PM
96,Big Book Study,In Person,"E Compton Blvd  Compton, CA 90221",Monday @ 6:30PM,Open,English,No Types Set,90221,Monday,6:30PM
97,Let'S Talk Step Study,In Person,"E Compton Blvd  Compton, CA 90221",Tuesday @ 8:30PM,Open,No Languages Set,No Types Set,90221,Tuesday,8:30PM
98,Topic Discussion,In Person,"E Compton Blvd  Compton, CA 90221",Wednesday @ 8:30PM,Closed,English,No Types Set,90221,Wednesday,8:30PM
100,Mid Day,In Person,"E Compton Blvd  Compton, CA 90221",Wednesday @ 12:00PM,Open,English,No Types Set,90221,Wednesday,12:00PM
101,Wilson Park,In Person,"E Compton Blvd  Compton, CA 90221",Thursday @ 8:30PM,Open,English,No Types Set,90221,Thursday,8:30PM
102,I Am Woman,In Person,"E Compton Blvd  Compton, CA 90221",Thursday @ 6:30PM,Closed,English,Women,90221,Thursday,6:30PM
103,Twelve Promises,In Person,"E Compton Blvd  Compton, CA 90221",Friday @ 8:30PM,Open,English,No Types Set,90221,Friday,8:30PM
112,General Discussion,In Person,"S 2nd Ave  Covina, CA 91723",Sunday @ 12:30PM - 1:30PM,Discussion; Open,English,No Types Set,91723,Sunday,12:30PM - 1:30PM
115,General Discussion,In Person,"S 2nd Ave  Covina, CA 91723",Tuesday @ 12:30PM - 1:30PM,Discussion; Open,English,No Types Set,91723,Tuesday,12:30PM - 1:30PM
123,General Discussion,In Person,"S 2nd Ave  Covina, CA 91723",Thursday @ 12:30PM - 1:30PM,Closed; Discussion,English,No Types Set,91723,Thursday,12:30PM - 1:30PM
128,General Discussion,In Person,"S 2nd Ave  Covina, CA 91723",Friday @ 12:30PM - 1:30PM,Discussion; Open,English,No Types Set,91723,Friday,12:30PM - 1:30PM
136,Step Study,In Person,"Washington Blvd  Los Angeles, CA 90066",Wednesday @ 6:45AM - 7:45AM,Big Book; Literature; Open; Speaker; Step Meeting,English,No Types Set,90066,Wednesday,6:45AM - 7:45AM
139,On The Rocks,In Person,"Washington Blvd  Los Angeles, CA 90066",Monday @ 7:30PM,Open,No Languages Set,No Types Set,90066,Monday,7:30PM
141,Tuesday Night Speakers,In Person,"Washington Blvd  Los Angeles, CA 90066",Tuesday @ 8:00PM - 9:00PM,Open,English,Newcomer,90066,Tuesday,8:00PM - 9:00PM
144,Noon,In Person,"Washington Blvd  Los Angeles, CA 90066",Saturday @ 12:00PM,Open,English,No Types Set,90066,Saturday,12:00PM
146,Marina Center Partipation,In Person,"Washington Blvd  Los Angeles, CA 90066",Saturday @ 8:30PM,Big Book; Discussion; Open; Speaker,English,No Types Set,90066,Saturday,8:30PM
159,Downey Men'S Stag,In Person,"Downey Ave  Downey, CA 90241",Wednesday @ 7:30PM - 9:00PM,Closed,English,Men,90241,Wednesday,7:30PM - 9:00PM
161,Downey Thursday Nite Speaker,In Person,"Paramount Blvd  Downey, CA 90240",Thursday @ 8:00PM - 9:30PM,Open; Speaker,English,No Types Set,90240,Thursday,8:00PM - 9:30PM
170,There Is A Way,In Person,"Bellflower Blvd  Bellflower, CA 90706",Sunday @ 7:30PM - 9:00PM,Open,English,No Types Set,90706,Sunday,7:30PM - 9:00PM
189,Toppers Big Book Study,In Person,"Sherman Way  Canoga Park, CA 91303",Tuesday @ 12:00PM - 1:00PM,Big Book; Open,English,No Types Set,91303,Tuesday,12:00PM - 1:00PM
192,Living Sober Participation,In Person,"Sherman Way  Canoga Park, CA 91303",Wednesday @ 12:00PM - 1:00PM,Open,English,No Types Set,91303,Wednesday,12:00PM - 1:00PM
193,Beginners Workshop,In Person,"Sherman Way  Canoga Park, CA 91303",Wednesday @ 6:00PM - 7:00PM,Open,English,Newcomer,91303,Wednesday,6:00PM - 7:00PM
256,As Bill Sees It,In Person,"W El Segundo Blvd  Hawthorne, CA 90291",Friday @ 7:30PM - 8:30PM,Open,English,No Types Set,90291,Friday,7:30PM - 8:30PM
271,Last Call,In Person,"W Windsor Rd  Glendale, CA 91204",Sunday @ 6:30PM - 7:45PM,Big Book; Meditation; Open,English,No Types Set,91204,Sunday,6:30PM - 7:45PM
274,Grass Roots Participation,In Person,"W Windsor Rd  Glendale, CA 91204",Monday @ 12:30PM,Open,English,No Types Set,91204,Monday,12:30PM
276,The Gong Show,In Person,"W Windsor Rd  Glendale, CA 91204",Monday @ 8:00PM - 9:30PM,Big Book; Discussion; Open,English,No Types Set,91204,Monday,8:00PM - 9:30PM
278,Big Book Study,In Person,"W Windsor Rd  Glendale, CA 91204",Tuesday @ 12:30PM,Closed,English,No Types Set,91204,Tuesday,12:30PM
279,Open Arms Group,In Person,"Hyperion Ave  Los Angeles, CA 90027",Tuesday @ 8:00PM - 9:00PM,Big Book; Open,English,No Types Set,90027,Tuesday,8:00PM - 9:00PM
282,Armenian Aa,In Person,"W Windsor Rd  Glendale, CA 91204",Tuesday @ 8:30PM,Open,Armenian,No Types Set,91204,Tuesday,8:30PM
286,Nooners,In Person,"W Windsor Rd  Glendale, CA 91204",Wednesday @ 12:30PM,Closed,English,No Types Set,91204,Wednesday,12:30PM
287,Easy Does It Speaker,In Person,"W Windsor Rd  Glendale, CA 91204",Wednesday @ 8:00PM - 9:30PM,Big Book; Discussion; Open,English,No Types Set,91204,Wednesday,8:00PM - 9:30PM
290,Women'S Topic Discussion,In Person,"W Windsor Rd  Glendale, CA 91204",Thursday @ 6:15PM,Closed,English,Women,91204,Thursday,6:15PM
292,Armenian Aa,In Person,"W Windsor Rd  Glendale, CA 91204",Thursday @ 8:30PM,Open,Armenian,No Types Set,91204,Thursday,8:30PM
295,Friday Rap Group,In Person,"W Windsor Rd  Glendale, CA 91204",Friday @ 12:30PM,Open,English,No Types Set,91204,Friday,12:30PM
296,Early Bird Big Book Study,In Person,"W Windsor Rd  Glendale, CA 91204",Friday @ 6:30PM,Big Book; Closed,English,No Types Set,91204,Friday,6:30PM
297,Trouble Shooters,In Person,"W Windsor Rd  Glendale, CA 91204",Friday @ 8:00PM,Big Book; Discussion; Open,English,No Types Set,91204,Friday,8:00PM
301,Saturday Rule 62 Men'S Stag,In Person,"W Windsor Rd  Glendale, CA 91204",Saturday @ 9:30AM - 11:00AM,Closed,English,Men,91204,Saturday,9:30AM - 11:00AM
302,Question & Answer,In Person,"W Windsor Rd  Glendale, CA 91204",Saturday @ 12:30PM - 2:00PM,Open,English,No Types Set,91204,Saturday,12:30PM - 2:00PM
304,New Leaf Participation,In Person,"W Windsor Rd  Glendale, CA 91204",Saturday @ 8:00PM,Open,English,No Types Set,91204,Saturday,8:00PM
316,Question & Answer,In Person,"Birch Ave  Hawthorne, CA 90250",Sunday @ 10:00AM,Open,English,No Types Set,90250,Sunday,10:00AM
317,Big Book Study,In Person,"Birch Ave  Hawthorne, CA 90250",Sunday @ 7:30PM,Discussion; Open,English,No Types Set,90250,Sunday,7:30PM
319,Topic Discussion,In Person,"Birch Ave  Hawthorne, CA 90250",Monday @ 11:30AM,Open,English,No Types Set,90250,Monday,11:30AM
321,Tuesday Noon Ladies Discussion,In Person,"Birch Ave  Hawthorne, CA 90250",Tuesday @ 12:00PM,Discussion; Open,English,Women,90250,Tuesday,12:00PM
322,Speakers,In Person,"Birch Ave  Hawthorne, CA 90250",Tuesday @ 8:00PM,Open; Speaker,English,No Types Set,90250,Tuesday,8:00PM
324,Noon Discussion,In Person,"Birch Ave  Hawthorne, CA 90250",Wednesday @ 12:00PM,Open,English,No Types Set,90250,Wednesday,12:00PM
325,Focus On Recovery,In Person,"Birch Ave  Hawthorne, CA 90250",Wednesday @ 8:00PM,Open,English,No Types Set,90250,Wednesday,8:00PM
327,Relationships,In Person,"Birch Ave  Hawthorne, CA 90250",Wednesday @ 5:30PM,Discussion; Open,English,No Types Set,90250,Wednesday,5:30PM
328,4 Topic Participation,In Person,"Birch Ave  Hawthorne, CA 90250",Thursday @ 11:30AM,Open,English,No Types Set,90250,Thursday,11:30AM
332,Big Book Study,In Person,"Birch Ave  Hawthorne, CA 90250",Friday @ 11:30AM,Big Book; Discussion; Open,English,LGBTQ,90250,Friday,11:30AM
333,20-40 Plus Participation,In Person,"Birch Ave  Hawthorne, CA 90250",Friday @ 8:00PM,Open,English,No Types Set,90250,Friday,8:00PM
334, Beginners,In Person,"Birch Ave  Hawthorne, CA 90250",Saturday @ 12:00PM,Open,English,No Types Set,90250,Saturday,12:00PM
335,Saturday Night Beginners,In Person,"Birch Ave  Hawthorne, CA 90250",Saturday @ 7:30PM,Open,English,Newcomer,90250,Saturday,7:30PM
337,Young People'S,In Person,"11th Pl  Hermosa Beach, CA 90254",Sunday @ 6:45PM - 8:00PM,Open,English,Young People,90254,Sunday,6:45PM - 8:00PM
338,Discussion,In Person,"11th Pl  Hermosa Beach, CA 90254",Sunday @ 5:30PM,Open,No Languages Set,No Types Set,90254,Sunday,5:30PM
342,Men'S Stag,In Person,"11th Pl  Hermosa Beach, CA 90254",Monday @ 8:30PM,Closed; Discussion,English,Men,90254,Monday,8:30PM
343,Book Study,In Person,"11th Pl  Hermosa Beach, CA 90254",Tuesday @ 12:00PM,Open,English,No Types Set,90254,Tuesday,12:00PM
344,Commuters,In Person,"11th Pl  Hermosa Beach, CA 90254",Tuesday @ 5:30PM,Open,English,No Types Set,90254,Tuesday,5:30PM
345,South Bay Women'S,In Person,"11th Pl  Hermosa Beach, CA 90254",Tuesday @ 8:30PM,Closed,No Languages Set,Women,90254,Tuesday,8:30PM
348,Big Book Study,In Person,"11th Pl  Hermosa Beach, CA 90254",Wednesday @ 5:30PM,Open,English,No Types Set,90254,Wednesday,5:30PM
349,Speakers,In Person,"11th Pl  Hermosa Beach, CA 90254",Wednesday @ 7:00PM,Open,No Languages Set,No Types Set,90254,Wednesday,7:00PM
350,Noontime,In Person,"11th Pl  Hermosa Beach, CA 90254",Thursday @ 12:00PM,Open,English,No Types Set,90254,Thursday,12:00PM
351,Men'S Stag,In Person,"11th Pl  Hermosa Beach, CA 90254",Thursday @ 5:30PM,Closed,English,Men,90254,Thursday,5:30PM
353,Noon Discussion,In Person,"11th Pl  Hermosa Beach, CA 90254",Friday @ 12:00PM,Open,English,No Types Set,90254,Friday,12:00PM
354,Beginners,In Person,"11th Pl  Hermosa Beach, CA 90254",Friday @ 7:00PM,Open,English,No Types Set,90254,Friday,7:00PM
355,The Gong Show,In Person,"11th Pl  Hermosa Beach, CA 90254",Friday @ 8:30PM,Discussion; Open; Speaker,English,Young People,90254,Friday,8:30PM
357,Saturday Noon,In Person,"11th Pl  Hermosa Beach, CA 90254",Saturday @ 12:00PM,Open,English,No Types Set,90254,Saturday,12:00PM
