id,address,city,state,zip,phone,url,latitude,longitude
1102092,6709 US HWY 90,SEALY,TX,77474,(979) 732-2986,,29.742653,-96.330407
1102518,2301 FM 523,ANGLETON,TX,77515,(979) 849-5936,,29.196469,-95.456736
1102092,6709 US HWY 90,SEALY,TX,77474,(979) 732-2986,,29.742653,-96.330407
1102518,2301 FM 523,ANGLETON,TX,77515,(979) 849-5936,,29.196469,-95.456736
1101552,1898 N LEE TREVINO DR,EL PASO,TX,79936,(915) 595-0924,https://order.carlsjr.com/location/-tx-el-paso-1898-n-lee-trevino-dr/menu,31.76849,-106.31861
1101354,1490 N ZARAGOZA RD,EL PASO,TX,79936,(915) 921-1504,https://order.carlsjr.com/location/-tx-el-paso-1490-n-zaragoza-rd/menu,31.73745,-106.29171
1101790,10620 MONTANA AVE,EL PASO,TX,79935,(915) 591-4250,https://order.carlsjr.com/location/-tx-el-paso-10620-montana-ave/menu,31.79774,-106.33081
1102776,1124 MCRAE BLVD,EL PASO,TX,79925,(915) 591-0409,https://order.carlsjr.com/location/-tx-el-paso-1124-mcrae-blvd/menu,31.76072,-106.35447
1102556,3510 ZARAGOZA ROAD,EL PASO,TX,79938,(915) 849-5853,https://order.carlsjr.com/location/-tx-el-paso-3510-zaragoza-rd/menu,31.79138,-106.23557
1101382,9071 ALAMEDA,EL PASO,TX,79907,(915) 790-9964,https://order.carlsjr.com/location/-tx-el-paso-9071-alameda/menu,31.69212,-106.32761
1101376,7120 AIRPORT RD,EL PASO,TX,79906,(915) 772-2943,https://order.carlsjr.com/location/-tx-el-paso-7120-airport-rd/menu,31.81784,-106.40409
1102636,1305 HORIZON BLVD,EL PASO,TX,79928,(915) 852-1955,https://order.carlsjr.com/location/-tx-el-paso-1305-horizon-blvd/menu,31.66157,-106.23742
1102596,"11300 MCCOMBS STREET, SUITE C",EL PASO,TX,79934,(915) 821-0869,https://order.carlsjr.com/location/-tx-el-paso-11300-mccombs-st/menu,31.93875,-106.40712
1101745,6031 N MESA ST,EL PASO,TX,79912,(915) 584-4763,https://order.carlsjr.com/location/-tx-el-paso-6031-n-mesa-st/menu,31.83039,-106.53074
1101587,7910 ARTCRAFT RD,EL PASO,TX,79932,(915) 845-1100,https://order.carlsjr.com/location/-tx-el-paso-7910-artcraft-rd/menu,31.88242,-106.58348
1101385,503 S SOLANO,LAS CRUCES,NM,88001,(575) 647-8816,https://order.carlsjr.com/location/-nm-las-cruces-503-s-solano/menu,32.30856,-106.76465
1102784,3965 BATAAN MEMORIAL WEST,LAS CRUCES,NM,88012,(575) 382-2018,https://order.carlsjr.com/location/-nm-las-cruces-3965-bataan-memorial-west/menu,32.37236,-106.74173
1102094,829 S WHITE SANDS BLVD,ALAMOGORDO,NM,88310,(575) 437-2477,,32.88174,-105.95982
1100321,2912 S FIGUEROA,LOS ANGELES,CA,90007,(213) 747-5801,https://order.carlsjr.com/location/-ca-los-angeles-2912-s-figueroa/menu,34.02532,-118.27747
1100440,1439 E GAGE AVE,LOS ANGELES,CA,90001,(323) 588-5324,https://order.carlsjr.com/location/-ca-los-angeles-1439-e-gage-ave/menu,33.98244,-118.24806
1100804,1001 W MARTIN LUTHER KING JR,LOS ANGELES,CA,90037,(323) 766-8290,https://order.carlsjr.com/location/-ca-los-angeles-1001-w-martin-luther-king-jr/menu,34.011153,-118.29191
1100212,1751 S SOTO ST,LOS ANGELES,CA,90023,(323) 264-4232,https://order.carlsjr.com/location/-ca-los-angeles-1751-s-soto-st/menu,34.01708,-118.22036
1103026,229 W 7TH STREET,LOS ANGELES,CA,90012,(213) 624-1315,https://order.carlsjr.com/location/-ca-los-angeles-229-w-7th-street/menu,34.044986,-118.25328
1100558,2401  E FLORENCE AVENUE,HUNTINGTON PARK,CA,90255,(323) 588-4718,https://order.carlsjr.com/location/-ca-huntington-park-2401-e-florence-avenue/menu,33.97502,-118.22997
1101521,254 S BROADWAY,LOS ANGELES,CA,90012,(213) 625-1357,,34.051087,-118.24768
1100422,2320 E 4TH ST,LOS ANGELES,CA,90033,(323) 262-2603,https://order.carlsjr.com/location/-ca-los-angeles-2320-e-4th-st/menu,34.04055,-118.21244
1102184,2110 W 7TH ST,LOS ANGELES,CA,90057,(213) 388-8582,https://order.carlsjr.com/location/-ca-2110-w-7th-st/menu,34.056433,-118.27751
1100012,1611 S WESTERN AVE,LOS ANGELES,CA,90006,(323) 731-0384,https://order.carlsjr.com/location/-ca-los-angeles-1611-s-western-ave/menu,34.04314,-118.30936
1100273,3005 W 6TH ST,LOS ANGELES,CA,90020,(213) 380-4255,https://order.carlsjr.com/location/-ca-los-angeles-3005-w-6th-st/menu,34.06384,-118.28753
