tract,name,tract_percent
06037101110,Tujunga,1.0
06037101122,Sunland,0.0032348069326550793
06037101122,Tujunga,0.996765193067358
06037101210,Tujunga,1.0
06037101220,Tujunga,1.0
06037101300,Tujunga,0.995854981226283
06037101300,Shadow Hills,0.004145016363689463
06037101400,Tujunga,0.9907501315668832
06037101400,Sunland,0.0038557714851589894
06037101400,Shadow Hills,0.005394096947959105
06037102103,Sun Valley,0.027921783793253645
06037102103,Shadow Hills,0.9720782162068118
06037102104,Shadow Hills,0.9223572873129171
06037102104,Sun Valley,0.07640872251914095
06037102105,Sun Valley,1.0
06037102107,Sun Valley,8.464706009974382e-06
06037102107,Sunland,0.012661639432636613
06037102107,Shadow Hills,0.8864167446989869
06037102107,Tujunga,0.10088700794494071
06037103101,Lake View Terrace,0.00349802929145848
06037103101,Sunland,0.9094022156366028
06037103101,Tujunga,0.08709975507188164
06037103102,Sunland,0.7897050808799394
06037103102,Tujunga,0.21029491912025064
06037103200,Sunland,0.35320663620888637
06037103200,Hansen Dam,0.0030161575373916713
06037103200,Shadow Hills,0.03445700665187244
06037103200,Lake View Terrace,0.5120835560165412
06037103300,Hansen Dam,0.004296038266426498
06037103300,Shadow Hills,0.9932009096964756
06037103300,Sunland,0.002503052037105639
06037103400,Tujunga,0.05300298275604376
06037103400,Sunland,0.9469970172439148
06037104103,Lake View Terrace,1.0
06037104105,Lake View Terrace,0.10272090864737181
06037104105,Pacoima,0.8972790913530905
06037104108,Lake View Terrace,0.32481562291844024
06037104108,Hansen Dam,0.01778110597016245
06037104108,Pacoima,0.6574032711112325
06037104124,Lake View Terrace,0.3447357785208396
06037104201,Sylmar,0.006988638993637545
06037104201,Lake View Terrace,0.00011808099187426733
06037104201,Pacoima,0.992991533775827
06037104203,Pacoima,1.0
06037104204,Lake View Terrace,0.8298976002741539
06037104204,Pacoima,0.12920175058763467
06037104310,Pacoima,0.9912853950899296
06037104320,Pacoima,1.0
06037104401,Pacoima,1.0
06037104403,Pacoima,1.0
06037104404,Pacoima,1.0
06037104500,Pacoima,1.0
06037104610,Pacoima,1.0
06037104620,Pacoima,1.0
06037104701,Pacoima,1.0
06037104703,Hansen Dam,0.0022549753441122164
06037104703,Pacoima,0.9977450246558193
06037104704,Hansen Dam,0.000187309797008523
06037104704,Pacoima,0.9998126902031298
06037104810,Pacoima,1.0
06037104821,Pacoima,1.0
06037104822,Pacoima,1.0
06037106010,Sylmar,0.9998859066950023
06037106020,Sylmar,0.9999999825091727
06037106111,Sylmar,0.7202727016092184
06037106112,Lake View Terrace,0.00048332076340047773
06037106112,Pacoima,0.013341012869901775
06037106112,Sylmar,0.9843321067571718
06037106113,Sylmar,1.0
06037106114,Sylmar,0.9994100381220812
06037106403,Sylmar,0.9999934685001466
06037106405,Sylmar,1.0
06037106406,Sylmar,1.0
06037106407,Sylmar,1.0
06037106408,Sylmar,1.0
06037106510,Granada Hills,0.013717389944868385
06037106510,Sylmar,0.9862774590631661
06037106520,Sylmar,1.0
06037106603,Granada Hills,0.6653972088652645
06037106603,Porter Ranch,8.083368367388828e-05
06037106603,Sylmar,0.008525424721793904
06037106604,Sylmar,0.9999972720091553
06037106641,Granada Hills,1.0
06037106642,Granada Hills,1.0
06037106643,Granada Hills,0.9995914049057985
06037106643,Porter Ranch,0.0004118688144970743
06037106645,Granada Hills,1.0
06037106646,Granada Hills,1.0
06037106648,Sylmar,0.9999911985582427
06037106649,Mission Hills,0.007813470060539295
06037106649,Sylmar,0.9898904124371741
06037106649,Granada Hills,0.00014472700940052892
06037107010,Sylmar,0.9999953380991216
06037107020,Sylmar,0.9999988525706193
06037108101,Porter Ranch,1.0
06037108102,Porter Ranch,0.9994601764762505
06037108102,Chatsworth,0.0005398235237442203
06037108103,Porter Ranch,0.9949087838126154
06037108103,Granada Hills,0.0052538952521915625
06037108104,Granada Hills,8.713335793375755e-07
06037108104,Porter Ranch,0.9999990452360275
06037108201,Porter Ranch,0.8625382830550031
06037108201,Chatsworth,0.1374389988322514
06037108202,Chatsworth,0.9893813470245023
06037108202,Porter Ranch,0.010311588517228309
06037109100,Pacoima,0.00013994141137375267
06037109100,Granada Hills,0.001341610927015685
06037109100,Mission Hills,0.9664563048342537
06037109100,Sylmar,0.03159208969394621
06037109200,Mission Hills,0.0147431991659394
06037109200,Granada Hills,0.9859785027320318
06037109300,Mission Hills,0.0012244566838563173
06037109300,Granada Hills,0.9987775048013666
06037109400,Mission Hills,0.996664875303787
06037109400,Pacoima,0.003346260695622288
06037109500,Sylmar,0.0009741266456377173
06037109500,Mission Hills,0.21907681970097692
06037109500,Pacoima,0.7622661665476655
06037109601,Arleta,0.17267071273577306
06037109601,Mission Hills,0.8183157998362746
06037109601,Panorama City,0.0048772401265303215
06037109601,North Hills,0.0006737315979924857
06037109601,Pacoima,0.0035306598892578768
06037109603,Granada Hills,0.00012906425746393195
06037109603,North Hills,0.010099959995401612
06037109603,Mission Hills,0.9897872238188172
06037109604,Mission Hills,0.9947970610112326
06037109604,Granada Hills,0.005224823452731061
06037109700,Granada Hills,1.0
06037109800,North Hills,0.9829501031265118
06037109800,Granada Hills,0.022314232051916762
06037111100,Granada Hills,1.0
06037111201,Granada Hills,0.9998475719960543
06037111201,Porter Ranch,6.746904789877398e-05
06037111202,Granada Hills,0.9631039165522086
06037111202,Porter Ranch,0.03689608344777662
06037111204,Northridge,0.23213729676495892
06037111204,Chatsworth,0.00026052494531517037
06037111204,Porter Ranch,0.7665457536943132
06037111205,Granada Hills,0.0015640970111447405
06037111205,Northridge,0.9836711543481526
06037111205,Porter Ranch,0.00763047209317377
06037111206,Porter Ranch,0.9966919515656257
06037111206,Granada Hills,0.003088208476664646
06037111301,Northridge,0.0004638281922332012
06037111301,Granada Hills,0.9948523476339408
06037111301,Porter Ranch,0.004683824173782386
06037111302,Granada Hills,0.013795155199393738
06037111302,Northridge,0.9848169676403852
06037111302,North Hills,0.002256677026308123
06037111400,North Hills,0.45423527178565776
06037111400,Granada Hills,0.5483663058818669
06037113101,Chatsworth,1.0
06037113102,Chatsworth,0.9867176228050525
06037113102,Porter Ranch,0.01328237719499354
06037113211,Chatsworth,0.9958484143354878
06037113212,Chatsworth,1.0
06037113213,Chatsworth,1.0
06037113231,West Hills,0.44322180639023046
06037113231,Chatsworth Reservoir,0.009445803036816242
06037113231,Chatsworth,0.5472312290400569
06037113232,Chatsworth,1.0325565195467064e-06
06037113232,Chatsworth Reservoir,0.0022150095328753146
06037113232,West Hills,0.9949554789620645
06037113232,Canoga Park,0.0029667651597587935
06037113233,Chatsworth,0.009941557782320738
06037113233,West Hills,0.009944017591016058
06037113233,Chatsworth Reservoir,1.7921170729749026e-06
06037113233,Canoga Park,0.9814044864932714
06037113234,Chatsworth,0.00829247643013221
06037113234,Winnetka,0.03112660475368146
06037113234,Canoga Park,0.9613386472323122
06037113235,Chatsworth,0.9899303239667975
06037113235,Chatsworth Reservoir,0.0016088874063119678
06037113237,Chatsworth,0.9728178219519975
06037113237,Chatsworth Reservoir,0.025058004632397574
06037113301,Porter Ranch,0.0013457964447069603
06037113301,Chatsworth,0.01895308679253836
06037113301,Northridge,0.9795711742334464
06037113303,Chatsworth,0.9991606829817861
06037113303,Northridge,0.0008393170182972554
06037113321,Chatsworth,1.0
06037113322,Northridge,0.000847482490959615
06037113322,Porter Ranch,4.851462993556003e-05
06037113322,Chatsworth,0.9991040237271829
06037113401,Winnetka,0.5337168528333793
06037113401,Chatsworth,0.005520305820687349
06037113401,Northridge,0.4624633773994277
06037113421,Chatsworth,0.453383717014864
06037113421,Canoga Park,0.1572056275115272
06037113421,Winnetka,0.39096838934712946
