county,city,lat,lon
Los Angeles,90840: Long Beach,33.785351,-118.11761499999999
Alameda,Alameda,37.756111,-122.27444399999999
Alameda,Albany,37.886944,-122.29777800000001
Alameda,Berkeley,37.871666999999995,-122.272778
Alameda,Berkeley LHJ,37.871666999999995,-122.272778
Alameda,Castro Valley,37.694167,-122.08638899999998
Alameda,Dublin,37.702222,-121.935833
Alameda,Eden Area MAC (Ashland Cherryland Hayward Acres San Lorenzo),37.694722,-122.11388899999999
Alameda,Emeryville,37.831389,-122.285278
Alameda,Fremont,37.548333,-121.988611
Alameda,Hayward,37.668820000000004,-122.08079599999999
Alameda,Livermore,37.681944,-121.768056
Alameda,Newark,37.533333,-122.03333300000001
Alameda,Oakland,37.804444000000004,-122.27083300000001
Alameda,Piedmont,37.816666999999995,-122.233333
Alameda,Pleasanton,37.6625,-121.87472199999999
Alameda,San Leandro,37.725,-122.15611100000001
Alameda,Santa Rita Jail,37.717269,-121.887925
Alameda,Sunol,37.594444,-121.88861100000001
Alameda,Union City,37.596389,-122.04833300000001
Amador,Ione,38.352778,-120.932778
Amador,Ione & surrounding unincorporated areas,38.352778,-120.932778
Amador,Jackson,38.348889,-120.77416699999999
Amador,Pine Grove,38.413056,-120.65888899999999
Amador,Pioneer,38.431944,-120.57194399999999
Amador,Plymouth,38.481944,-120.84472199999999
Amador,Plymouth & surrounding unincorporated areas,38.481944,-120.84472199999999
Amador,State Prison Inmate,38.3703,-120.9532
Amador,Sutter Creek,38.393056,-120.8025
Amador,Sutter Creek & Amador City,38.393056,-120.8025
Amador,Volcano,38.4099658,-120.5623767
Butte,Biggs/Gridley,39.385866,-121.70555900000001
Butte,Chico,39.728494,-121.837651
Butte,Durham,39.664949,-121.795876
Butte,Gridley,39.363889,-121.693611
Butte,Oroville,39.51384,-121.556649
Butte,Other,,
Butte,Ridge Communities,39.799577,-121.580872
Calaveras,Angels Camp,38.074667,-120.551979
Calaveras,Copperopolis,37.981111,-120.641944
Calaveras,District 1,38.191666999999995,-120.829167
Calaveras,District 2,38.228333,-120.540833
Calaveras,District 3,38.438889,-120.07611100000001
Calaveras,District 4,37.981111,-120.641944
Calaveras,District 5,38.1,-120.86666699999999
Calaveras,San Andreas,38.191886,-120.67673899999998
Calaveras,Upper Highway 4 Corridor,38.404444,-120.159167
Calaveras,Valley Springs,38.191666999999995,-120.829167
Calaveras,West Point,38.399167,-120.5275
Contra Costa,Alamo,37.850278,-122.03222199999999
Contra Costa,Antioch,38.005,-121.805833
Contra Costa,Bay Point,38.029167,-121.96166699999999
Contra Costa,Bethel Island,38.015,-121.640556
Contra Costa,Brentwood,37.931944,-121.69583300000001
Contra Costa,Byron,37.867222,-121.638056
Contra Costa,Clayton,37.941111,-121.935833
Contra Costa,Concord,37.978056,-122.03111100000001
Contra Costa,Crockett,38.0525,-122.21305600000001
Contra Costa,Danville,37.821667,-122.0
Contra Costa,Discovery Bay,37.908611,-121.600278
Contra Costa,El Cerrito,37.915833,-122.31166699999999
Contra Costa,El Sobrante,37.977222,-122.295278
Contra Costa,Hercules,38.017222,-122.28861100000002
Contra Costa,Kensington,37.910556,-122.28027800000001
Contra Costa,Lafayette,37.885833,-122.11805600000001
Contra Costa,Martinez,38.019444,-122.13416699999999
Contra Costa,Moraga,37.835,-122.129722
Contra Costa,Oakley,37.9975,-121.7125
Contra Costa,Orinda,37.882778,-122.179722
Contra Costa,Other/Unspecified,,
Contra Costa,Pacheco,37.983610999999996,-122.075278
Contra Costa,Pinole,38.004444,-122.29111100000001
Contra Costa,Pittsburg,38.028056,-121.884722
Contra Costa,Pleasant Hill,37.948056,-122.0525
Contra Costa,Richmond,37.935833,-122.347778
Contra Costa,Rodeo,38.033056,-122.266944
Contra Costa,San Pablo,37.962222,-122.345556
Contra Costa,San Ramon,37.78,-121.97805600000001
Contra Costa,Walnut Creek,37.906389000000004,-122.065
El Dorado,"Cameron Park, Shingle Springs, Rescue",38.668889,-120.987222
El Dorado,"Camino, Pollock Pines, Kyburz",38.761292299999994,-120.5865935
