team,attendance,avg_attend,year
Atlanta Braves,818179.0,10101.0,1976
Baltimore Orioles,1058609.0,13069.0,1976
Boston Red Sox,1895846.0,23406.0,1976
Los Angeles Angels,1006774.0,12429.0,1976
Chicago Cubs,1026217.0,12669.0,1976
Chicago White Sox,914945.0,11437.0,1976
Cincinnati Reds,2629708.0,32466.0,1976
Cleveland Guardians,948776.0,12010.0,1976
Detroit Tigers,1467020.0,18338.0,1976
Houston Astros,886146.0,10807.0,1976
Kansas City Royals,1680265.0,20744.0,1976
Los Angeles Dodgers,2386301.0,29461.0,1976
Milwaukee Brewers,1012164.0,12496.0,1976
Minnesota Twins,715394.0,8832.0,1976
Montreal Expos,646704.0,8084.0,1976
New York Mets,1468754.0,17912.0,1976
New York Yankees,2012434.0,25155.0,1976
Oakland Athletics,780593.0,9637.0,1976
Philadelphia Phillies,2480150.0,30619.0,1976
Pittsburgh Pirates,1025945.0,12666.0,1976
San Diego Padres,1458478.0,18231.0,1976
San Francisco Giants,626868.0,7739.0,1976
St. Louis Cardinals,1207079.0,14902.0,1976
Texas Rangers,1164982.0,14382.0,1976
Atlanta Braves,872464.0,10771.0,1977
Baltimore Orioles,1195769.0,14763.0,1977
Boston Red Sox,2074549.0,25932.0,1977
Los Angeles Angels,1432633.0,17687.0,1977
Chicago Cubs,1439834.0,17776.0,1977
Chicago White Sox,1657135.0,20458.0,1977
Cincinnati Reds,2519670.0,31107.0,1977
Cleveland Guardians,900365.0,11116.0,1977
Detroit Tigers,1359856.0,16788.0,1977
Houston Astros,1109560.0,13698.0,1977
Kansas City Royals,1852603.0,22872.0,1977
Los Angeles Dodgers,2955087.0,36483.0,1977
Milwaukee Brewers,1114938.0,13765.0,1977
Minnesota Twins,1162727.0,14534.0,1977
Montreal Expos,1433757.0,17701.0,1977
New York Mets,1066825.0,13504.0,1977
New York Yankees,2103092.0,25964.0,1977
Oakland Athletics,495599.0,6119.0,1977
Philadelphia Phillies,2700070.0,33334.0,1977
Pittsburgh Pirates,1237349.0,15276.0,1977
San Diego Padres,1376269.0,16991.0,1977
Seattle Mariners,1338511.0,16525.0,1977
San Francisco Giants,700056.0,8643.0,1977
St. Louis Cardinals,1659287.0,19991.0,1977
Texas Rangers,1250722.0,15441.0,1977
Toronto Blue Jays,1701052.0,21263.0,1977
Atlanta Braves,904494.0,11167.0,1978
Baltimore Orioles,1051724.0,12984.0,1978
Boston Red Sox,2320643.0,28301.0,1978
Los Angeles Angels,1755386.0,21671.0,1978
Chicago Cubs,1525311.0,18601.0,1978
Chicago White Sox,1491100.0,18639.0,1978
Cincinnati Reds,2532497.0,31656.0,1978
Cleveland Guardians,800584.0,10264.0,1978
Detroit Tigers,1714893.0,21172.0,1978
Houston Astros,1126145.0,13903.0,1978
Kansas City Royals,2255493.0,27846.0,1978
Los Angeles Dodgers,3347845.0,41331.0,1978
Milwaukee Brewers,1601406.0,19770.0,1978
Minnesota Twins,787878.0,9727.0,1978
Montreal Expos,1427007.0,17838.0,1978
New York Mets,1007328.0,12592.0,1978
New York Yankees,2335871.0,28838.0,1978
Oakland Athletics,526999.0,6587.0,1978
Philadelphia Phillies,2583389.0,31505.0,1978
Pittsburgh Pirates,964106.0,11903.0,1978
San Diego Padres,1670107.0,20619.0,1978
Seattle Mariners,877440.0,10833.0,1978
San Francisco Giants,1740477.0,21487.0,1978
St. Louis Cardinals,1278215.0,15780.0,1978
Texas Rangers,1447963.0,17658.0,1978
Toronto Blue Jays,1562585.0,19291.0,1978
Atlanta Braves,769465.0,9740.0,1979
Baltimore Orioles,1681009.0,21279.0,1979
Boston Red Sox,2353114.0,29414.0,1979
Los Angeles Angels,2523575.0,31155.0,1979
Chicago Cubs,1648587.0,20353.0,1979
Chicago White Sox,1280702.0,16211.0,1979
Cincinnati Reds,2356933.0,29462.0,1979
Cleveland Guardians,1011644.0,12489.0,1979
Detroit Tigers,1630929.0,20387.0,1979
Houston Astros,1900312.0,23461.0,1979
Kansas City Royals,2261845.0,27924.0,1979
Los Angeles Dodgers,2860954.0,35320.0,1979
