State,Candidate,Office,"Currently holds 
state/federal office",Party,Active?,"Trump 
endorsed?","State party
endorsement?","Local party
funding?","State party
funding?",Source 1,Source 2,Twitter,Twitter 2,Facebook,Gab,Gettr,Instagram,Telegram,,
AZ,Anna Orth,State house,N,,,,,,,https://gab.com/AnnaOrth/comments,https://seethemoney.az.gov/Reporting/Explore#Page=24|startYear=2019|endYear=2023|IsLessActive=false|ShowOfficeHolder=false|View=Detail|Name=1~100774|entityId=100774|TablePage=1|TableLength=10,https://twitter.com/Orth4AZ,,,,https://www.gettr.com/user/orth4azrep,,,,
AZ,Mark Finchem,Secretary of State,Y,,,,,,,https://www.newsweek.com/republicans-attending-qanon-convention-las-vegas-nevada-1641562,,https://twitter.com/RealMarkFinchem,,,,,,,,
MI,Kristina Karamo,Secretary of State,N,,,,,,,https://www.newsweek.com/republicans-attending-qanon-convention-las-vegas-nevada-1641562,,https://twitter.com/KristinaKaramo,,,,,,,,
AL,Dean Odle,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,https://twitter.com/pastordean67,,,,,https://www.instagram.com/deanodle111,,,
AZ,Bryan Masche,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,https://twitter.com/bryanmasche,,,,,,,,
CA,Nikolas Wildstar,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
MD,Dan Cox,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
OR,Marc Thielman,Governor,N,Republican,Y,,,,,https://www.alternet.org/2022/03/johnny-enlow-blesses-gop-candidates/?share_id=6977085,https://ballotpedia.org/Marc_Thielman,.,,,,,,,,
MA,Shiva Ayyadurai,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
MI,Donna Brandenburg,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
NY,Derrick Gibson,Governor,N,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
PA,Doug Mastriano,Governor,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-governor-2021-and-2022,,.,,,,,,,,
CA,Rachel Hamm,Secretary of State,N,,,,,,,https://www.newsweek.com/republicans-attending-qanon-convention-las-vegas-nevada-1641562,,.,,,,,,,,
NV,Jim Marchant,Secretary of State,N,,,,,,,https://www.newsweek.com/republicans-attending-qanon-convention-las-vegas-nevada-1641562,,.,,,,,,,,
AZ,Wendy Rogers,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
AZ,Leo Biasiucci,State legislature,Y,,,,,,,https://www.azmirror.com/2021/10/28/gop-legislators-spoke-at-a-qanon-convention-chock-full-of-conspiracies-and-hate/,,.,,,,,,,,
AZ,Sonny Borrelli,State legislature,Y,,,,,,,https://www.azmirror.com/2021/10/28/gop-legislators-spoke-at-a-qanon-convention-chock-full-of-conspiracies-and-hate/,,.,,,,,,,,
CT,Eric Berthel,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
MD,Dan Cox,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
