city,street,state,zip,country,latitude,longitude
Starkville,127A Highway 12 West,MS,39759,US,33.45368729481549,-88.817917939734
Mocksville,1230 Yadkinville Road,NC,27028,US,35.91524221080836,-80.58189851285658
Kenosha,12303 W. 75th Street,WI,53142,US,42.566877,-87.956552
Sanford,1244 Main Street,ME,04073,US,43.419794823652005,-70.75576032655164
Albuquerque,12921 Central Avenue N.E,NM,87123,US,35.06930885625809,-106.50453797546322
Hayward,1299 West Tennyson Road,CA,94544,US,37.631638004117946,-122.07903813739966
King City,1300 Broadway Circle,CA,93930,US,36.20329988755534,-121.137744344699
Greenwood,1300 S. Main Street,SC,29646,US,34.17744329946475,-82.1522242275953
Quincy,1307 W. Jefferson St,FL,32351,US,30.587650655334667,-84.59291926876085
Port Orchard,1310 Bay Street,WA,98366,US,47.5417820285704,-122.62745539380751
Whittier,13106 Whittier Boulevard,CA,90602,US,33.964719297262,-118.03606556869983
Murphy,1321 Andrews Road,NC,28906,US,35.105639287692306,-84.01446008874046
Santa Ana,1345 South Main Street,CA,92707,US,33.73012466791966,-117.86748481275686
Livonia,13485 Farmington Road,MI,48150,US,42.38141073644476,-83.37339378769059
Clawson,1345 North Main,MI,48017,US,42.545098332589895,-83.14727799194213
Santa Clara,1353 El Camino Real,CA,95050,US,37.35336881672686,-121.95115443094949
Crosby,13727 FM 2100,TX,77532,US,29.887023025240687,-95.06360609383108
Indian Trail,13900 US Highway 74,NC,28079,US,35.079616543022404,-80.65696517105272
Rockingham,1354 E. Broad St,NC,28379,US,34.9204237934466,-79.74863291840268
Aiken,1406 Richland Avenue W,SC,29801,US,33.56602624703723,-81.73790134658611
La Mirada,13970 Imperial Highway,CA,90638,US,33.916804839077,-118.03413195031453
Bradenton,1420 Cortez Road West,FL,34207,US,27.46275749068713,-82.57682295337293
Seneca,1425 Sandifer Blvd,SC,29678,US,34.6918796,-82.986471
Alhambra,1425 South New,CA,91801,US,34.078349340816615,-118.10855665889551
Victorville,14284 Outer 7th Street,CA,92395,US,34.510471562754844,-117.31981897190133
