id,year__,gis_acres_sum,gis_acres_count
0,1980,213602.0,15
1,1981,175614.0,14
2,1982,77260.0,4
3,1983,9310.0,1
4,1984,105505.0,10
5,1985,444280.0,15
6,1986,39247.0,4
7,1987,696432.0,36
8,1988,172770.0,15
9,1989,66973.0,6
10,1990,242448.0,7
11,1991,5771.0,1
12,1992,143237.0,9
13,1993,258257.0,15
14,1994,271224.0,13
15,1995,98318.0,11
16,1996,473768.0,20
17,1997,136009.0,9
18,1998,79819.0,7
19,1999,633977.0,24
20,2000,183771.0,8
21,2001,158886.0,12
22,2002,871650.0,13
23,2003,843063.0,24
24,2004,179045.0,14
25,2005,157315.0,9
26,2006,604032.0,22
27,2007,938877.0,21
28,2008,1205799.0,53
29,2009,359784.0,14
30,2010,56794.0,5
31,2011,122421.0,9
32,2012,765413.0,17
33,2013,511593.0,16
34,2014,510258.0,17
35,2015,715474.0,28
36,2016,445498.0,15
37,2017,1295117.0,39
38,2018,1490033.0,21
