date,index
2020-12-01,3
2020-11-01,3
2020-10-01,44
2020-09-01,33
2020-08-01,16
2020-07-01,10
2020-06-01,14
2020-05-01,44
2020-04-01,27
2020-03-01,25
2020-02-01,58
2020-01-01,116
2019-12-01,145
2019-11-01,127
2019-10-01,158
2019-09-01,42
2019-08-01,10
2019-07-01,18
2019-06-01,6
2019-05-01,11
2019-04-01,16
2019-03-01,23
2019-02-01,15
2019-01-01,18
2018-12-01,3
2018-11-01,23
2018-10-01,10
2018-09-01,5
2018-08-01,12
2018-07-01,3
2018-06-01,15
2018-05-01,8
2018-04-01,9
2018-03-01,5
2018-02-01,11
2018-01-01,3
2017-12-01,10
2017-11-01,2
2017-10-01,1
2017-09-01,1
2017-08-01,2
2017-07-01,1
2017-06-01,0
2017-05-01,0
2017-04-01,0
2017-03-01,3
2017-02-01,1
2017-01-01,1
