date,favorites,retweets
2017-01-01,117337.52054794521,22958.50684931507
2017-02-01,90792.1447368421,18154.99342105263
2017-03-01,62444.55479452055,14019.438356164384
2017-04-01,50864.470198675495,11302.019867549669
2017-05-01,53541.980769230766,13518.884615384615
2017-06-01,58812.668269230766,14909.245192307691
2017-07-01,68258.71836734694,16615.351020408165
2017-08-01,51454.19245283019,13402.460377358491
2017-09-01,53395.638436482084,13070.967426710098
2017-10-01,56146.737931034484,12852.113793103448
2017-11-01,61541.555555555555,15002.0
2017-12-01,69174.8,16471.241025641026
2018-01-01,81326.5172413793,19512.13300492611
2018-02-01,80436.92528735632,18113.74712643678
2018-03-01,70919.16374269006,16054.473684210527
2018-04-01,67226.56126482213,15852.833992094862
2018-05-01,70773.9457364341,16343.666666666666
2018-06-01,63089.08571428571,15691.90909090909
2018-07-01,61721.780415430265,16183.284866468843
2018-08-01,65252.41469816273,16029.761154855643
2018-09-01,50068.03466666667,13585.466666666667
2018-10-01,57851.95618556701,14805.961340206186
2018-11-01,59712.88130563798,16943.649851632046
2018-12-01,83388.35738831614,18462.556701030928
2019-01-01,83216.11019283747,21005.914600550965
2019-02-01,80340.39759036145,20556.152610441768
2019-03-01,60886.4631043257,17067.42748091603
2019-04-01,63312.92505854801,17139.608899297426
2019-05-01,43551.66322008862,13477.559822747415
2019-06-01,55825.73333333333,14343.345833333333
2019-07-01,58556.527245949925,15525.907216494845
2019-08-01,45427.926144756275,13207.779911373707
2019-09-01,38302.93908629441,11924.032994923858
2019-10-01,39859.86529006883,14158.700098328416
2019-11-01,32732.58998808105,13408.50178784267
2019-12-01,28821.313551815765,12706.189548272809
2020-01-01,41795.900862068964,15013.446120689656
2020-02-01,36081.31447963801,13662.628959276019
2020-03-01,43979.21793534932,14137.272158498436
2020-04-01,49972.39426523297,16621.433691756272
2020-05-01,49605.96241979835,18005.67919340055
2020-06-01,52659.614208633095,19684.56834532374
2020-07-01,45184.18465227818,16808.790167865707
2020-08-01,45137.203753351205,16485.218945487042
2020-09-01,43033.32289336316,15775.255033557047
2020-10-01,71776.04613200852,20828.058197303053
2020-11-01,132474.61452513965,33036.38212290503
2020-12-01,123008.08903020668,32786.10969793323
2021-01-01,138693.66,38650.91333333333
