Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962872496,5.882352941,7.307692308,8.203902828,2.547143909,1.185788172,7.046873978,1.991985852,1.238042106,7.616588194,4.195962803,-0.957771006,1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,1.267217631,-2.08560029,-22.31894795,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.239593842,7.980767552,5.164334308,4.579952255,5.327716508,3.912107891,5.256809686,4.023776088,5.279926667,4.70076672,5.371652876,2.150364628,4.437242395,5.88869008,1.730079292,2.84627234,1.230744495,1.033546476,2.79572519,5.419381599,4.330752945,0.508485287,0.152353076,3.005832255,-0.447689334,2.286225846,4.232450561,3.997773889,2.897638234,-0.039677306,0.105301019,-1.979117957,-0.392300098,2.025856805,4.290760459,5.436661282,4.424004087,1.848161718,2.636486065,3.350773496,3.658701215,3.893379077,3.080376027,5.508355413,6.11680123,6.554880874,6.604282248,4.343456451,0.761219025,5.152125349,3.680870461,0.923067182,4.200208842,3.984386861,2.952845384,2.217016505,2.557135194,2.485244225,2.025940679,-2.886855648,4.303667021
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.848751746,3.770219916,7.272439727,5.396348888,4.049792797,-1.787078686,-9.546463823,1.465774662,15.49188777,17.90893815,10.80749358,3.145983181,4.213414193,10.24983943,-2.164264759,8.578674202,4.726127782,-2.194177408,5.230812575,1.995420658,-6.932610419,-3.350280246,-6.534082517,0.559429028,5.551610359,1.414670363,1.448374617,4.844252631,2.272115591,6.562869567,1.121080495,2.69395856,-1.160466603,-0.299687611,1.927045083,4.629044829,4.234656601,3.506517743,1.421002642,3.734665531,5.212683842,9.89954821,5.518474234,8.013452641,5.848364079,5.374481528,5.530898547,6.279223191,6.274497795,6.957030175,4.848332588,5.142996875,6.104192302,5.927355116,2.745894496,0.127844424,2.317679001,2.952189736,3.202544187,-0.897014041,3.914798957
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.500000003,0.700000005
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.544083251
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465361,8.149743488,7.788467203,5.618789729,0.542205659,3.303787046,2.838575568,1.463000179,0.041557195,2.208727611,-0.132474511,1.246461111,1.770118317,1.78468669,2.321433034,3.253321776,5.547122171,5.094326203,4.82703425,3.781387586,2.546003524,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.74530511,8.091570878,-0.583814774,10.9831444,9.040586621,3.390216286,-8.303070435,-6.21410842,1.300640117,-2.017290603,4.493298869,-0.080050499,5.816323281,2.156038381,12.06403641,2.412098261,5.190892839,3.164440162,3.293553385,3.036018267,4.716588497,4.735459017,5.13484458,1.826898145,6.540221275,1.712248307,0.681534101,4.870690023,8.854427223,5.520446063,6.080681139,4.572705319,5.561259916,0.414944587,4.753177418,3.243588345,5.074696991,2.564217188,2.34867918,3.052633634,3.175146768,1.242607981,2.363881228,1.586319316,-5.051382598,3.530294057
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508599,4.483791985,5.053077855,4.41008526,5.060334864,2.984216091,2.373551057,1.189855642,3.411538686,-6.134500803,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.025934237,-9.895268964,10.26376093
