name,unsheltered,unshelteredoutside
Downtown,2477.656049884622,2298.8626909677564
Skid Row,1560.6995153109083,1511.234335601221
Westlake,1239.655587531912,921.2199873780933
Historic South-Central,944.7106109018614,673.7318081473173
Hollywood,1191.5390960344776,634.890246427343
Venice,1091.534800228592,567.4931945502371
Boyle Heights,869.9356300279547,512.3062815972428
Koreatown,568.309485826011,440.78451566833013
East Hollywood,528.6563771266517,362.502867363573
Van Nuys,675.2350380187812,327.02082260788615
Echo Park,390.20003903293326,288.7686249602288
Pico-Union,470.7625325656369,280.8710030553244
North Hollywood,586.6295873368149,255.28085228527505
Wilmington,601.1455930622221,248.54434095959311
San Pedro,533.7446002573442,247.8485723934677
Sun Valley,740.1385645178931,245.31814212830213
Chinatown,266.84523217517585,227.5076121660115
Vermont Square,319.691370800175,184.6308787480094
University Park,225.29211016766305,163.88316212291235
Valley Glen,431.18348126228386,155.79861657628976
Sawtelle,267.71184815739247,147.92009009380746
Westchester,200.0353311296567,144.74764201771575
Watts,294.6636457649971,134.71587333711065
Westwood,204.95318794322554,134.10160100962193
Green Meadows,262.62967803618636,133.60477627585735
Panorama City,238.67050473753187,128.5693190190541
Central-Alameda,289.0580422953867,125.55025232281716
Harbor City,158.990395012731,118.80512738776999
Pacoima,390.8730665376059,115.35579806396247
Lincoln Heights,285.1435394758454,112.45886118627222
Florence,301.1232800399307,108.8965885363338
Beverly Grove,118.73155053566516,108.01137269037913
Palms,199.5933735646394,103.72840923545
South Park,253.26045924045027,103.56250498089088
Studio City,124.08022014988515,99.8056434556718
Vermont Vista,244.02557513833946,97.13874279761552
Harbor Gateway,281.5161377767948,91.4287958313763
Hyde Park,253.84431967181266,90.63987004190105
Sylmar,280.20581623618006,85.8383641687978
Mid-City,196.65396807303387,84.93872601377193
Silver Lake,134.06591690450804,84.4812051594166
Vermont-Slauson,149.39161018770866,80.788142877786
Broadway-Manchester,130.38102479103094,77.75801142593357
Exposition Park,170.21657445509166,77.39503845187387
West Adams,108.17091430337946,73.16646145796767
North Hills,124.91194026862215,72.74811786912758
Los Feliz,99.02259298133498,68.71292552945408
Baldwin Hills/Crenshaw,100.11163044532591,66.90923969878408
Highland Park,167.0190986696109,66.4022570494459
Mar Vista,174.04839533629394,65.33217080871543
Sherman Oaks,112.62404349086205,65.13269552684687
Valley Village,113.38623603766926,63.6402680577694
Fairfax,86.95887770505458,62.969692609026104
El Sereno,117.94857121182376,58.875011701200485
Mid-Wilshire,72.12856517876293,58.036992880248924
Reseda,139.9460612560933,56.07837381392882
Harvard Heights,87.19646877432251,55.34539231467012
Canoga Park,212.17164280370363,52.47764632331971
Sepulveda Basin,106.58527207178513,51.81656709741229
West Los Angeles,76.4497708167066,51.63118305198455
Arleta,104.45467687380176,49.00898393355669
Eagle Rock,118.17389736159606,48.13109279867187
Leimert Park,123.70667312728942,47.70678595850576
Woodland Hills,111.56856953074254,45.98385858274912
Hollywood Hills,59.83847325009228,45.7203727571692
Del Rey,105.28406193172424,44.959653394393406
Winnetka,107.8163708070286,42.9924726599064
Sunland,81.92896983580792,42.83411705697182
Chesterfield Square,101.70678427865246,40.910113772491435
Elysian Park,64.75137575665406,39.71709791878017
Vermont Knolls,88.14060091616643,39.7069549646461
Playa del Rey,127.71017073485912,38.804913354587825
Griffith Park,36.10879186283591,35.97570199728741
Harvard Park,93.00488595883267,34.80556627858762
Arlington Heights,62.99208117329276,34.6172320427264
Jefferson Park,75.45922921577085,33.738765192597896
Glassell Park,116.23129549657712,33.1663621282718
Tujunga,88.85408845820146,31.990555917577126
Cypress Park,77.80382374339649,30.996203276040188
Encino,78.46044841746101,30.628698904374232
Manchester Square,49.22701703499032,30.47911910111723
Hansen Dam,53.26546277488093,30.1026124020855
Atwater Village,38.94427186598545,29.63664091591845
Shadow Hills,93.17220579866309,27.421638645281952
Rancho Park,47.49217822107292,25.517281508145444
Northridge,84.92105836751375,23.224370159087936
Pacific Palisades,67.39493056025857,22.638004208020625
Chatsworth,94.79434500924334,22.51863584336349
Tarzana,58.463843546202376,22.1629982126835
Montecito Heights,60.3002592005945,20.619954022723416
Mission Hills,84.54727849505397,18.560829272614424
Lake View Terrace,56.213963448075305,17.641570883554685
Gramercy Park,73.80856647010874,16.772181975997288
Hancock Park,21.09239213072358,15.234889361468744
Pico-Robertson,27.43060123728004,15.146249046958618
Granada Hills,65.21451587447493,14.18797764770613
Carthay,14.14611745335126,14.145250163145306
Brentwood,20.599238929670477,13.978383846880083
West Hills,52.050270653871934,12.041541224106385
Adams-Normandie,34.82091308319961,11.809222636998278
Cheviot Hills,22.28108049382107,10.052692807446457
Toluca Lake,12.367068784481587,9.53912436819523
Playa Vista,45.718490152406396,9.130975168526115
Windsor Square,9.593320067906243,8.227431744146447
Mount Washington,39.92948587657619,8.127419269291819
Elysian Valley,65.16600392417939,6.713450358738061
Lake Balboa,23.329679774490558,6.488715032888565
Hollywood Hills West,6.521894523001296,5.432201870477486
Beverlywood,11.621458615386288,5.298418369166148
Century City,6.95237007776644,3.2651680529479488
Larchmont,3.2296153764840834,3.129460810010347
Chatsworth Reservoir,0.7562573954126472,0.17658648803880786
Porter Ranch,142.44366890326594,0.12570684777830082
Beverly Crest,0.08235638329156787,0.06649837073502263
Bel-Air,0.07294977955666451,0.058907044060860295
