id,address,city,state,zip,latitude,longitude,phone,storeStatusCode,timezoneId
12293,3297 TWEEDY BLVD,SOUTH GATE,CA,90280,33.945153,-118.214226,3235374745,OP,US/Pacific
12294,4148 FLORENCE AVE,BELL,CA,90201,33.970763,-118.194282,3235374507,OP,US/Pacific
12134,8810 S GARFIELD AVE,SOUTH GATE,CA,90280,33.950545,-118.164457,5627760204,OP,US/Pacific
9836,3504 W. CENTURY BLVD.,INGLEWOOD,CA,90303,33.94482,-118.33339,3106735382,OP,US/Pacific
13151,"800 S FIGUEROA ST, SUITE 103",LOS ANGELES,CA,90017,34.0478103,-118.2612876,2134441888,OP,US/Pacific
9863,2891 W. 120TH STREET,HAWTHORNE,CA,90250,33.9243285,-118.3252805,3237772098,OP,US/Pacific
12290,6620 ATLANTIC AVENUE,LONG BEACH,CA,90805,33.87454,-118.186054,5624233400,OP,US/Pacific
9656,14305 LAKEWOOD,DOWNEY,CA,90242,33.9033999,-118.1433604,5626300875,OP,US/Pacific
9086,7360 LA TIJERA BLVD.,LOS ANGELES,CA,90045,33.9712107,-118.3781471,3106458396,OP,US/Pacific
1499,17420 SOUTH WESTERN,GARDENA,CA,90248,33.8719255,-118.3088855,3103277707,OP,US/Pacific
10822,14502 HAWTHORNE BLVD.,LAWNDALE,CA,90260,33.8998163,-118.3519229,3106796009,OP,US/Pacific
9400,8450 WASHINGTON BLVD,PICO RIVERA,CA,90660,33.9867123,-118.1043819,5628012521,OP,US/Pacific
3486,1305 N. VERMONT AVE.,HOLLYWOOD,CA,90027,34.0958832,-118.2921629,3236637387,OP,US/Pacific
9078,9036 VENICE BLVD.,CULVER CITY,CA,90232,34.0267738,-118.3919562,3108377736,OP,US/Pacific
1467,4314 SOUTH STREET,LAKEWOOD,CA,90712,33.8599122,-118.1416579,5625310345,OP,US/Pacific
4527,245 SOUTH ATLANTIC,ALHAMBRA,CA,91801,34.0877046,-118.1350096,6262827349,OP,US/Pacific
4403,7135 SUNSET BLVD,LOS ANGELES,CA,90046,34.0982115,-118.3453282,3238761925,OP,US/Pacific
1455,12138 EAST IMPERIAL HIGHWAY,NORWALK,CA,90650,33.9167988,-118.0734144,5628688633,OP,US/Pacific
12143,2438 CARSON ST,LAKEWOOD,CA,90712,33.832158,-118.162074,5624204642,OP,US/Pacific
4267,1201 E VALLEY,ALHAMBRA,CA,91801,34.0795014,-118.1111248,6265709920,OP,US/Pacific
9644,23750 MAIN ST.,CARSON,CA,90745,33.8090497,-118.2751011,3109529918,OP,US/Pacific
12279,2404 SEPULVEDA BLVD,TORRANCE,CA,90501,33.82105,-118.325783,4242632824,OP,US/Pacific
10771,5326 TORRANCE BLVD,TORRANCE,CA,90503,33.8371327,-118.3706313,3103161275,OP,US/Pacific
9066,15700 VALLEY VIEW AVE,LA MIRADA,CA,90638,33.8887153,-118.0284448,5629267883,OP,US/Pacific
844,2201 BELLFLOWER BLVD.,LONG BEACH,CA,90815,33.7963522,-118.1256866,5625972822,OP,US/Pacific
10418,1340 LINCOLN BLVD,SANTA MONICA,CA,90401,34.0198406,-118.4921903,3109171529,OP,US/Pacific
11914,3520 N. PECK RD,EL MONTE,CA,91731,34.0714133,-118.0249343,9494593475,OP,US/Pacific
9044,14960 LA MIRADA BLVD,LA MIRADA,CA,90638,33.8956642,-118.0091262,7145215170,OP,US/Pacific
9652,11254 LOS ALAMITOS BLVD.,LOS ALAMITOS,CA,90720,33.7988074,-118.0715168,5624935666,OP,US/Pacific
8824,1575 N. VICTORY PLACE,BURBANK,CA,91502,34.1905739,-118.3278347,8187298320,OP,US/Pacific
10814,7570 ORANGETHORPE,BUENA PARK,CA,90621,33.8585825,-117.9999045,7149943402,OP,US/Pacific
7421,1501 W IMPERIAL HWY,LA HABRA,CA,90631,33.9176825,-117.9627344,5626911349,OP,US/Pacific
