NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Watertown, SD Urban Cluster (2010)",21479.0,,215.0,,92701
"Red Hook, NY Urban Cluster (2010)",6676.0,,377.0,,73828
"Antigo, WI Urban Cluster (2010)",7647.0,,277.0,,02656
"Willcox, AZ Urban Cluster (2010)",3488.0,,93.0,,95347
"Georgetown, DE Urban Cluster (2010)",9753.0,,512.0,,32950
"Trenton, IL Urban Cluster (2010)",2574.0,,39.0,,88408
"Nashville, IL Urban Cluster (2010)",3087.0,,106.0,,61246
"Weedsport, NY Urban Cluster (2010)",2753.0,,264.0,,93565
"Friona, TX Urban Cluster (2010)",3936.0,,45.0,,31870
"Columbia, SC Urbanized Area (2010)",591420.0,,2900.0,,18964
"Lebanon, TN Urban Cluster (2010)",30490.0,,1004.0,,48691
"Grayling, MI Urban Cluster (2010)",3631.0,,302.0,,34624
"Bogalusa, LA Urban Cluster (2010)",11996.0,,214.0,,08731
"Erie, PA Urbanized Area (2010)",193196.0,,791.0,,27766
"Ashland, WI Urban Cluster (2010)",7103.0,,220.0,,03412
"Birch Bay, WA Urban Cluster (2010)",13632.0,,651.0,,07759
"Crescent City, FL Urban Cluster (2010)",2529.0,,471.0,,20935
"Frankfort, KY Urban Cluster (2010)",36053.0,,816.0,,31249
"Jacksboro, TX Urban Cluster (2010)",4038.0,,130.0,,41995
"Elkhart, IN--MI Urbanized Area (2010)",146333.0,,1164.0,,26794
"Eagle, CO Urban Cluster (2010)",6278.0,,420.0,,25390
"Richmond, VA Urbanized Area (2010)",1010680.0,,1988.0,,74746
"Jaffrey, NH Urban Cluster (2010)",2599.0,,413.0,,42454
"Wapato, WA Urban Cluster (2010)",7234.0,,406.0,,91702
"Durango, CO Urban Cluster (2010)",19017.0,,479.0,,25147
"Ashtabula, OH Urban Cluster (2010)",27807.0,,380.0,,03466
"Atlantic City, NJ Urbanized Area (2010)",243549.0,,1285.0,,03898
"Boscobel, WI Urban Cluster (2010)",3079.0,,130.0,,09244
"Coshocton, OH Urban Cluster (2010)",11166.0,,370.0,,20476
"Chase City, VA Urban Cluster (2010)",2851.0,,441.0,,15751
"Fremont, OH Urban Cluster (2010)",22531.0,,382.0,,31789
"Mattoon, IL Urban Cluster (2010)",17956.0,,393.0,,55576
"Lyndonville, VT Urban Cluster (2010)",2586.0,,348.0,,52255
"Ocilla, GA Urban Cluster (2010)",3414.0,,174.0,,64729
"Kiel--New Holstein, WI Urban Cluster (2010)",6911.0,,213.0,,44884
"Eureka, CA Urban Cluster (2010)",45860.0,,1067.0,,28198
"Oneida, TN Urban Cluster (2010)",4491.0,,423.0,,65431
"Horse Cave, KY Urban Cluster (2010)",4288.0,,578.0,,40186
"Tooele, UT Urban Cluster (2010)",33061.0,,441.0,,88057
"Pembroke, NC Urban Cluster (2010)",6930.0,,575.0,,68401
"Des Moines, IA Urbanized Area (2010)",499694.0,,1511.0,,23743
"Kalkaska, MI Urban Cluster (2010)",2747.0,,275.0,,43804
"LaGrange, GA Urban Cluster (2010)",35012.0,,801.0,,46234
"Greenville, MS Urban Cluster (2010)",31833.0,,337.0,,35353
"Quincy, FL Urban Cluster (2010)",8720.0,,522.0,,73018
"Angels, CA Urban Cluster (2010)",3731.0,,68.0,,02494
"Lake Park, GA Urban Cluster (2010)",4006.0,,488.0,,47000
"Oroville, CA Urban Cluster (2010)",37536.0,,898.0,,65944
"Virginia, MN Urban Cluster (2010)",12706.0,,295.0,,90865
"Arkansas City, KS Urban Cluster (2010)",12389.0,,266.0,,03142
"Epping, NH Urban Cluster (2010)",2958.0,,403.0,,27750
"Walters, OK Urban Cluster (2010)",2641.0,,257.0,,91540
"Haskell, TX Urban Cluster (2010)",2807.0,,178.0,,37486
"Wauchula, FL Urban Cluster (2010)",14617.0,,691.0,,92917
"Fulton, MO Urban Cluster (2010)",12470.0,,394.0,,32086
"Lihue, HI Urban Cluster (2010)",17218.0,,959.0,,49771
"New Tazewell, TN Urban Cluster (2010)",4899.0,,521.0,,63028
"Sullivan, IL Urban Cluster (2010)",4689.0,,201.0,,85411
"Columbia, MO Urbanized Area (2010)",131667.0,,1614.0,,18937
"Marysville, WA Urbanized Area (2010)",159564.0,,1202.0,,55333
"Dayton, OH Urbanized Area (2010)",726487.0,,1573.0,,22528
"Yuba City, CA Urbanized Area (2010)",120031.0,,1140.0,,97939
"Pawleys Island, SC Urban Cluster (2010)",13246.0,,722.0,,67996
"Strawberry Plains, TN Urban Cluster (2010)",3751.0,,795.0,,85208
"Stansbury Park, UT Urban Cluster (2010)",11024.0,,722.0,,84304
"Sanger, TX Urban Cluster (2010)",7002.0,,219.0,,78958
"Burlington, NC Urbanized Area (2010)",130283.0,,1436.0,,11728
"Ellsworth, KS Urban Cluster (2010)",2871.0,,79.0,,27064
"Weyers Cave, VA Urban Cluster (2010)",1708.0,,383.0,,94658
"Mount Vernon, MO Urban Cluster (2010)",4493.0,,13.0,,60436
"Bethel, AK Urban Cluster (2010)",4713.0,,344.0,,07381
"Prestonsburg, KY Urban Cluster (2010)",5727.0,,499.0,,72208
"Cottage Grove, OR Urban Cluster (2010)",11594.0,,339.0,,20503
"Ashland, OH Urban Cluster (2010)",20323.0,,124.0,,03385
"Ephrata, WA Urban Cluster (2010)",6932.0,,433.0,,27739
"Roseburg, OR Urban Cluster (2010)",43949.0,,989.0,,76339
"Shamokin--Mount Carmel, PA Urban Cluster (2010)",28927.0,,499.0,,80985
"Lake City, SC Urban Cluster (2010)",8484.0,,699.0,,46612
"Ozona, TX Urban Cluster (2010)",2576.0,,327.0,,66727
"Piedmont, AL Urban Cluster (2010)",3354.0,,326.0,,69265
"Reading, PA Urbanized Area (2010)",269666.0,,1151.0,,73693
"Rock Valley, IA Urban Cluster (2010)",3408.0,,192.0,,75907
"Streator, IL Urban Cluster (2010)",17069.0,,478.0,,85222
"Sylvester, GA Urban Cluster (2010)",6313.0,,211.0,,86248
"Weston, WV Urban Cluster (2010)",4757.0,,229.0,,94321
"Mitchell, SD Urban Cluster (2010)",15110.0,,394.0,,57817
"Mount Airy, NC--VA Urban Cluster (2010)",18913.0,,718.0,,59815
"Waldron, AR Urban Cluster (2010)",3132.0,,137.0,,91297
"Southold, NY Urban Cluster (2010)",10289.0,,722.0,,83359
"Interlachen, FL Urban Cluster (2010)",5354.0,,916.0,,41374
"Cassville, MO Urban Cluster (2010)",4027.0,,310.0,,14536
"Weatherford, TX Urban Cluster (2010)",39647.0,,1053.0,,93484
"Newton, KS Urban Cluster (2010)",20685.0,,245.0,,63109
"Provo--Orem, UT Urbanized Area (2010)",541045.0,,1559.0,,72559
"Tybee Island, GA Urban Cluster (2010)",3384.0,,232.0,,89299
"Fayetteville, NC Urbanized Area (2010)",325586.0,,2022.0,,29440
"Fulton, MS Urban Cluster (2010)",3260.0,,203.0,,32059
"Millsboro, DE Urban Cluster (2010)",10520.0,,827.0,,57358
"Newport, AR Urban Cluster (2010)",5032.0,,470.0,,62758
"Burgettstown, PA Urban Cluster (2010)",3328.0,,362.0,,11575
"Pendleton, OR Urban Cluster (2010)",16952.0,,335.0,,68428
"Blue Earth, MN Urban Cluster (2010)",3096.0,,69.0,,08488
"Waukon, IA Urban Cluster (2010)",3483.0,,106.0,,92944
"Mora, MN Urban Cluster (2010)",3482.0,,148.0,,59113
"Bishop, TX Urban Cluster (2010)",3186.0,,259.0,,07867
"Dos Palos, CA Urban Cluster (2010)",6773.0,,648.0,,24445
"Milford, DE Urban Cluster (2010)",20072.0,,950.0,,57196
"Newton, IL Urban Cluster (2010)",2793.0,,245.0,,63055
"Provincetown, MA Urban Cluster (2010)",3177.0,,206.0,,72532
"Rugby, ND Urban Cluster (2010)",2653.0,,261.0,,76609
"Girard, KS Urban Cluster (2010)",2532.0,,82.0,,33355
"Nassau Village-Ratliff, FL Urban Cluster (2010)",5231.0,,753.0,,61300
"Dyersburg, TN Urban Cluster (2010)",21068.0,,507.0,,25309
"Morrison, IL Urban Cluster (2010)",3777.0,,235.0,,59383
"Santa Rosa Beach, FL Urban Cluster (2010)",5358.0,,798.0,,79537
"Kemmerer, WY Urban Cluster (2010)",3033.0,,201.0,,44317
"Louisville, MS Urban Cluster (2010)",4229.0,,411.0,,51742
"Emerald Bay, TX Urban Cluster (2010)",3821.0,,815.0,,27380
"Coeburn, VA Urban Cluster (2010)",2643.0,,502.0,,18424
"Cresco, IA Urban Cluster (2010)",3331.0,,218.0,,20962
"Ashville, OH Urban Cluster (2010)",6397.0,,413.0,,03493
"Edgewood, NM Urban Cluster (2010)",3317.0,,496.0,,26200
"Perry, IA Urban Cluster (2010)",7628.0,,49.0,,68644
"Spring Hill, TN Urban Cluster (2010)",39290.0,,970.0,,84088
"Victorville--Hesperia, CA Urbanized Area (2010)",341039.0,,2103.0,,90541
"Winnsboro, SC Urban Cluster (2010)",4754.0,,541.0,,96508
"Winters, TX Urban Cluster (2010)",2751.0,,268.0,,96751
"Powell, WY Urban Cluster (2010)",6490.0,,137.0,,71830
"Mount Vernon, TX Urban Cluster (2010)",2286.0,,184.0,,60473
"Mountain Home, ID Urban Cluster (2010)",15967.0,,567.0,,59707
"Belterra, TX Urban Cluster (2010)",5204.0,,635.0,,06770
"Port Lavaca, TX Urban Cluster (2010)",11800.0,,276.0,,71371
"Weston Lakes, TX Urban Cluster (2010)",3836.0,,167.0,,94345
"Montrose, CO Urban Cluster (2010)",23532.0,,539.0,,58951
"Hanceville, AL Urban Cluster (2010)",2970.0,,182.0,,36676
"Trinidad, CO Urban Cluster (2010)",8128.0,,169.0,,88516
"Pikeville, KY Urban Cluster (2010)",7661.0,,734.0,,69373
"Rathdrum, ID Urban Cluster (2010)",7264.0,,356.0,,73423
"Belfast, ME Urban Cluster (2010)",3278.0,,453.0,,06355
"Buena Vista, CO Urban Cluster (2010)",4567.0,,499.0,,11242
"Wamego, KS Urban Cluster (2010)",5022.0,,322.0,,91648
"Augusta, KS Urban Cluster (2010)",9297.0,,80.0,,04168
"Lincoln City, OR Urban Cluster (2010)",10531.0,,303.0,,49960
"Breese, IL Urban Cluster (2010)",5775.0,,389.0,,09865
"Carbondale, IL Urbanized Area (2010)",68573.0,,673.0,,13591
"Geneseo, IL Urban Cluster (2010)",6363.0,,350.0,,32761
"Miami, OK Urban Cluster (2010)",15738.0,,142.0,,56629
"Coquille, OR Urban Cluster (2010)",4218.0,,137.0,,19990
"Kenosha, WI--IL Urbanized Area (2010)",125599.0,,661.0,,44506
"Louisville, GA Urban Cluster (2010)",3022.0,,425.0,,51688
"Coldwater, MI Urban Cluster (2010)",15356.0,,372.0,,18667
"Higginsville, MO Urban Cluster (2010)",4613.0,,145.0,,38728
"Giddings, TX Urban Cluster (2010)",4997.0,,328.0,,33193
"Hominy, OK Urban Cluster (2010)",3374.0,,64.0,,39727
"Janesville, WI Urbanized Area (2010)",70050.0,,466.0,,42562
"Silverthorne--Frisco, CO Urban Cluster (2010)",16870.0,,1220.0,,82090
"Chelsea, MI Urban Cluster (2010)",5829.0,,126.0,,15940
"Georgetown, SC Urban Cluster (2010)",11530.0,,545.0,,33031
"Oakdale, LA Urban Cluster (2010)",7757.0,,185.0,,64297
"Manitowoc, WI Urban Cluster (2010)",44965.0,,246.0,,53956
"Auburn, NE Urban Cluster (2010)",3368.0,,50.0,,04087
"Pine Bluff, AR Urbanized Area (2010)",48204.0,,398.0,,69454
"Leominster--Fitchburg, MA Urbanized Area (2010)",118679.0,,1263.0,,49096
"Auburn--North Auburn, CA Urban Cluster (2010)",34662.0,,1096.0,,04130
"Plattsmouth, NE Urban Cluster (2010)",6515.0,,75.0,,70183
"Bolivar, TN Urban Cluster (2010)",5161.0,,362.0,,08866
"Winnie, TX Urban Cluster (2010)",3755.0,,912.0,,96454
"Forrest City, AR Urban Cluster (2010)",11049.0,,465.0,,30466
"Moorefield, WV Urban Cluster (2010)",3236.0,,434.0,,58992
"Anderson, SC Urbanized Area (2010)",80872.0,,1367.0,,02413
"Landrum, SC--NC Urban Cluster (2010)",4251.0,,255.0,,47665
"Tremonton, UT Urban Cluster (2010)",10690.0,,91.0,,88354
"Harrison, OH--IN Urban Cluster (2010)",13905.0,,304.0,,37145
"Junction, TX Urban Cluster (2010)",2436.0,,250.0,,43480
"Andrews, TX Urban Cluster (2010)",14987.0,,369.0,,02467
"Dayton, TX Urban Cluster (2010)",14801.0,,1024.0,,22582
"El Paso, IL Urban Cluster (2010)",2745.0,,142.0,,27226
"Eunice, LA Urban Cluster (2010)",11656.0,,596.0,,28144
"Guayama, PR Urbanized Area (2010)",73634.0,,1543.0,,35866
"Levelland, TX Urban Cluster (2010)",13876.0,,299.0,,49204
"Iowa Falls, IA Urban Cluster (2010)",4887.0,,163.0,,41617
"Richlands, VA Urban Cluster (2010)",8592.0,,435.0,,74584
"Arcade, NY Urban Cluster (2010)",3751.0,,345.0,,02845
"Roswell, NM Urban Cluster (2010)",48935.0,,554.0,,76447
"Sparta, MI Urban Cluster (2010)",4243.0,,78.0,,83480
"Narrows, VA--WV Urban Cluster (2010)",3899.0,,544.0,,61138
"Bennington, VT Urban Cluster (2010)",12085.0,,464.0,,06922
"Johnson City, TN Urbanized Area (2010)",121830.0,,1683.0,,43210
"Columbus, NE Urban Cluster (2010)",22893.0,,220.0,,19207
"Snyder, TX Urban Cluster (2010)",11495.0,,146.0,,82711
"Danville, IL Urbanized Area (2010)",48169.0,,596.0,,22204
"Carrollton, OH Urban Cluster (2010)",3573.0,,263.0,,14104
"Walterboro, SC Urban Cluster (2010)",8885.0,,683.0,,91513
"Richland Center, WI Urban Cluster (2010)",4800.0,,111.0,,74557
"Cullman, AL Urban Cluster (2010)",18480.0,,699.0,,21637
"Madison, WV Urban Cluster (2010)",3983.0,,363.0,,53173
"Roanoke, AL Urban Cluster (2010)",4022.0,,463.0,,75394
"Weiser, ID--OR Urban Cluster (2010)",5391.0,,75.0,,93619
"Leesburg, GA Urban Cluster (2010)",3741.0,,159.0,,48785
"Allendale, SC Urban Cluster (2010)",2988.0,,184.0,,01468
"Hamilton, TX Urban Cluster (2010)",3079.0,,217.0,,36460
"Wapakoneta, OH Urban Cluster (2010)",10521.0,,270.0,,91675
"Amery, WI Urban Cluster (2010)",2767.0,,63.0,,02035
"Juneau, AK Urban Cluster (2010)",25364.0,,484.0,,43561
"Petersburg, IL Urban Cluster (2010)",2906.0,,229.0,,68941
"Magee, MS Urban Cluster (2010)",3967.0,,200.0,,53335
"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area (2010)",610051.0,,1834.0,,57709
"Palacios, TX Urban Cluster (2010)",4466.0,,236.0,,67024
"Amory, MS Urban Cluster (2010)",6189.0,,441.0,,02143
"Basehor, KS Urban Cluster (2010)",4312.0,,443.0,,05423
"Sturgis, SD Urban Cluster (2010)",6748.0,,41.0,,85330
"McFarland, CA Urban Cluster (2010)",14648.0,,154.0,,52552
"Marshfield, WI Urban Cluster (2010)",18842.0,,203.0,,55144
"Del Rio, TX Urban Cluster (2010)",43780.0,,714.0,,23203
"Centerville, IA Urban Cluster (2010)",5095.0,,216.0,,14914
"Tampa--St. Petersburg, FL Urbanized Area (2010)",2654540.0,,3434.0,,86599
"Sparta, WI Urban Cluster (2010)",10157.0,,143.0,,83521
"Clinton, OK Urban Cluster (2010)",8849.0,,260.0,,18019
"Thurmont, MD Urban Cluster (2010)",7342.0,,321.0,,87544
"Jerome, ID Urban Cluster (2010)",11436.0,,333.0,,43048
"Blackfoot, ID Urban Cluster (2010)",15548.0,,651.0,,07948
"Rio Rico Northeast, AZ Urban Cluster (2010)",2736.0,,742.0,,75089
"Princeton, KY Urban Cluster (2010)",5850.0,,164.0,,72343
"Libby, MT Urban Cluster (2010)",3602.0,,267.0,,49609
"Grand Junction, CO Urbanized Area (2010)",130488.0,,1011.0,,34273
"Jackson, MS Urbanized Area (2010)",353355.0,,2221.0,,42211
"Bozeman, MT Urban Cluster (2010)",49439.0,,989.0,,09514
"Sterling, IL Urban Cluster (2010)",27453.0,,376.0,,84817
"Dothan, AL Urbanized Area (2010)",70591.0,,692.0,,24472
"Dunkirk, IN Urban Cluster (2010)",3430.0,,224.0,,24985
"Colorado City, AZ--UT Urban Cluster (2010)",7850.0,,658.0,,18802
"Las Animas, CO Urban Cluster (2010)",3750.0,,264.0,,47908
"Leesburg--Eustis--Tavares, FL Urbanized Area (2010)",139522.0,,2069.0,,48799
"Guadalupe, CA Urban Cluster (2010)",7350.0,,27.0,,35839
"Brainerd, MN Urban Cluster (2010)",19721.0,,477.0,,09622
"Breaux Bridge, LA Urban Cluster (2010)",19457.0,,1087.0,,09801
"Marietta, OH--WV Urban Cluster (2010)",22605.0,,484.0,,54486
"Pelham, GA Urban Cluster (2010)",3559.0,,352.0,,68320
"Camden, AR Urban Cluster (2010)",10531.0,,227.0,,12916
"Fort Collins, CO Urbanized Area (2010)",295595.0,,1511.0,,30628
"Duncan, OK Urban Cluster (2010)",20666.0,,341.0,,24931
"Colorado City, TX Urban Cluster (2010)",5710.0,,341.0,,18829
"Fayetteville--Springdale--Rogers, AR--MO Urbanized Area (2010)",338444.0,,2118.0,,29494
"Bastrop, TX Urban Cluster (2010)",14037.0,,925.0,,05464
"Swainsboro, GA Urban Cluster (2010)",7735.0,,426.0,,86005
"Wellsville, NY Urban Cluster (2010)",5598.0,,227.0,,93808
"Jupiter Farms, FL Urban Cluster (2010)",10976.0,,715.0,,43595
"Evergreen, AL Urban Cluster (2010)",2985.0,,294.0,,28431
"Commerce, TX Urban Cluster (2010)",8747.0,,145.0,,19477
"Nokomis, IL Urban Cluster (2010)",3184.0,,196.0,,63352
"Tularosa, NM Urban Cluster (2010)",2899.0,,53.0,,88867
"Sidney, NY Urban Cluster (2010)",5447.0,,335.0,,81847
"Comanche, TX Urban Cluster (2010)",3973.0,,86.0,,19396
"Story City, IA Urban Cluster (2010)",3167.0,,173.0,,85168
"State College, PA Urbanized Area (2010)",92609.0,,780.0,,84493
"Potsdam, NY Urban Cluster (2010)",9113.0,,236.0,,71722
"Stilwell, OK Urban Cluster (2010)",3851.0,,116.0,,85060
"Lake Jackson--Angleton, TX Urbanized Area (2010)",76537.0,,592.0,,46801
"Granger, WA Urban Cluster (2010)",3401.0,,251.0,,34397
"St. Augustine, FL Urbanized Area (2010)",78971.0,,1893.0,,77230
"Norton--Wise, VA Urban Cluster (2010)",10026.0,,539.0,,64027
"Santa Isabel, PR Urban Cluster (2010)",9569.0,,922.0,,79390
"Dubuque, IA--IL Urbanized Area (2010)",69233.0,,455.0,,24823
"Lillington, NC Urban Cluster (2010)",3254.0,,190.0,,49798
"San Antonio, TX Urbanized Area (2010)",1983363.0,,2914.0,,78580
"Jefferson, OH Urban Cluster (2010)",3227.0,,370.0,,42913
"Grafton, WV Urban Cluster (2010)",5813.0,,271.0,,34111
"Salem, IL Urban Cluster (2010)",7962.0,,291.0,,78094
"Cameron, TX Urban Cluster (2010)",5294.0,,146.0,,13078
"Union City, IN--OH Urban Cluster (2010)",5301.0,,293.0,,89515
"Washington, NJ Urban Cluster (2010)",14693.0,,563.0,,92377
"Hartshorne, OK Urban Cluster (2010)",2335.0,,185.0,,37378
"Johnstown, OH Urban Cluster (2010)",4965.0,,441.0,,43264
"Nashville-Davidson, TN Urbanized Area (2010)",1068763.0,,2409.0,,61273
"Springfield, OH Urbanized Area (2010)",83347.0,,641.0,,83980
"Parker, AZ--CA Urban Cluster (2010)",5315.0,,334.0,,67645
"Pocono Woodland Lakes, PA Urban Cluster (2010)",7069.0,,602.0,,70465
"Kingman, AZ Urban Cluster (2010)",42810.0,,1159.0,,45127
"Park Rapids, MN Urban Cluster (2010)",3443.0,,220.0,,67726
"Live Oak, FL Urban Cluster (2010)",8112.0,,783.0,,50500
"Stanwood, WA Urban Cluster (2010)",7018.0,,83.0,,84385
"Sandusky, MI Urban Cluster (2010)",2640.0,,39.0,,78742
"Sturgeon Bay, WI Urban Cluster (2010)",8144.0,,228.0,,85276
"Chadron, NE Urban Cluster (2010)",5356.0,,147.0,,15130
"Vidalia, GA Urban Cluster (2010)",13205.0,,571.0,,90568
"Port Huron, MI Urbanized Area (2010)",85706.0,,894.0,,71155
"Bremen, IN Urban Cluster (2010)",4570.0,,72.0,,09919
"Crooksville, OH Urban Cluster (2010)",5416.0,,439.0,,21259
"White Hall, IL Urban Cluster (2010)",3915.0,,244.0,,94780
"Oregon, IL Urban Cluster (2010)",3755.0,,263.0,,65782
"Red Bluff, CA Urban Cluster (2010)",18126.0,,681.0,,73720
"Lake Lakengren, OH Urban Cluster (2010)",3171.0,,175.0,,46814
"Skiatook, OK Urban Cluster (2010)",7391.0,,264.0,,82360
"Fairmont, WV Urban Cluster (2010)",33661.0,,822.0,,28873
"Booneville, AR Urban Cluster (2010)",3339.0,,231.0,,09082
"Windsor, MO Urban Cluster (2010)",2627.0,,356.0,,96265
"Bad Axe, MI Urban Cluster (2010)",3262.0,,101.0,,04600
"Barstow, CA Urban Cluster (2010)",30759.0,,1089.0,,05302
"Bradford, PA--NY Urban Cluster (2010)",11533.0,,280.0,,09541
"Fort Stockton, TX Urban Cluster (2010)",9047.0,,361.0,,30952
"McKinney, TX Urbanized Area (2010)",228756.0,,1310.0,,52687
"Clovis, NM Urban Cluster (2010)",42868.0,,536.0,,18208
"Newport, WA--ID Urban Cluster (2010)",2571.0,,324.0,,62930
"Barbourville, KY Urban Cluster (2010)",6507.0,,653.0,,05032
"Ruckersville, VA Urban Cluster (2010)",7053.0,,688.0,,76595
"Laie--Hauula, HI Urban Cluster (2010)",14555.0,,1190.0,,46423
"Ridgefield, WA Urban Cluster (2010)",5428.0,,432.0,,74840
"New Prague, MN Urban Cluster (2010)",8103.0,,121.0,,62947
"Douglas, AZ Urban Cluster (2010)",13598.0,,1103.0,,24499
"London--Corbin, KY Urban Cluster (2010)",37738.0,,1681.0,,51131
"Malden, MO Urban Cluster (2010)",4348.0,,243.0,,53497
"Grissom AFB, IN Urban Cluster (2010)",2859.0,,196.0,,35716
"Sodus, NY Urban Cluster (2010)",2858.0,,464.0,,82792
"Shelby, OH Urban Cluster (2010)",8883.0,,439.0,,81226
"Indiantown, FL Urban Cluster (2010)",6573.0,,468.0,,41320
"Trenton, MO Urban Cluster (2010)",5228.0,,227.0,,88435
"Castle Dale, UT Urban Cluster (2010)",2802.0,,258.0,,14556
"New Bern, NC Urbanized Area (2010)",50916.0,,1213.0,,61840
"Cambridge, OH Urban Cluster (2010)",14912.0,,468.0,,12862
"Baldwin City, KS Urban Cluster (2010)",4511.0,,135.0,,04789
"Barnstable Town, MA Urbanized Area (2010)",247773.0,,1543.0,,05167
"Lake City, MN Urban Cluster (2010)",5190.0,,168.0,,46585
"Brodhead, WI Urban Cluster (2010)",3387.0,,92.0,,10459
"Longview, TX Urbanized Area (2010)",100733.0,,970.0,,51256
"Mammoth Lakes, CA Urban Cluster (2010)",7631.0,,353.0,,53605
"Jasper, GA Urban Cluster (2010)",5645.0,,492.0,,42670
"Sheldon, IA Urban Cluster (2010)",4902.0,,70.0,,81361
"Price, UT Urban Cluster (2010)",13193.0,,386.0,,72235
"Wauseon, OH Urban Cluster (2010)",7322.0,,296.0,,93052
"Hanford, CA Urbanized Area (2010)",90426.0,,858.0,,36703
"Mount Pleasant, MI Urban Cluster (2010)",37886.0,,401.0,,60112
"Muscatine, IA Urban Cluster (2010)",25862.0,,382.0,,60814
"Mathis, TX Urban Cluster (2010)",5758.0,,220.0,,55495
"Millinocket, ME Urban Cluster (2010)",3699.0,,265.0,,57331
"Monett, MO Urban Cluster (2010)",8694.0,,214.0,,58195
"New Castle, CO Urban Cluster (2010)",5556.0,,394.0,,62110
"Canton, IL Urban Cluster (2010)",13427.0,,435.0,,13294
"Marshalltown, IA Urban Cluster (2010)",26278.0,,403.0,,55090
"Montgomery, MN Urban Cluster (2010)",2715.0,,82.0,,58627
"Ellsworth, WI Urban Cluster (2010)",2812.0,,105.0,,27076
"Magnolia, AR Urban Cluster (2010)",10589.0,,350.0,,53362
"Kirtland, NM Urban Cluster (2010)",7253.0,,927.0,,45436
"Scottsville, KY Urban Cluster (2010)",4207.0,,176.0,,80173
"Vernal, UT Urban Cluster (2010)",19343.0,,686.0,,90352
"Forsyth, MO Urban Cluster (2010)",6807.0,,545.0,,30520
"Homerville, GA Urban Cluster (2010)",2546.0,,329.0,,39700
"Evergreen, CO Urban Cluster (2010)",13119.0,,665.0,,28441
"Lowell, IN Urban Cluster (2010)",10001.0,,593.0,,51796
"Bartlett, TX Urban Cluster (2010)",1301.0,,295.0,,05356
"Eureka, KS Urban Cluster (2010)",2218.0,,164.0,,28252
"Lewes, DE Urban Cluster (2010)",25116.0,,1154.0,,49231
"Marion, NC Urban Cluster (2010)",13668.0,,768.0,,54631
"Mocksville, NC Urban Cluster (2010)",5636.0,,360.0,,57979
"Bath, NY Urban Cluster (2010)",6792.0,,262.0,,05653
"Morgantown, WV Urbanized Area (2010)",76378.0,,1256.0,,59275
"Seville, OH Urban Cluster (2010)",7725.0,,487.0,,80740
"Poteau, OK Urban Cluster (2010)",7959.0,,305.0,,71641
"Duluth, MN--WI Urbanized Area (2010)",118463.0,,698.0,,24850
"Midland, MI Urbanized Area (2010)",57628.0,,745.0,,56980
"Opp, AL Urban Cluster (2010)",4499.0,,305.0,,65620
"Caldwell, TX Urban Cluster (2010)",4146.0,,115.0,,12349
"Hart, MI Urban Cluster (2010)",2748.0,,301.0,,37232
"Williamston, NC Urban Cluster (2010)",4970.0,,188.0,,95509
"Fredericksburg, TX Urban Cluster (2010)",11909.0,,431.0,,31573
"Kelseyville, CA Urban Cluster (2010)",3315.0,,553.0,,44290
"Montevideo, MN Urban Cluster (2010)",5112.0,,64.0,,58519
"Breckenridge, CO Urban Cluster (2010)",7870.0,,880.0,,09811
"Mont Belvieu, TX Urban Cluster (2010)",3921.0,,692.0,,58428
"St. Joseph, IL Urban Cluster (2010)",5351.0,,159.0,,77716
"Erwin, TN Urban Cluster (2010)",9686.0,,599.0,,27793
"Petaluma, CA Urbanized Area (2010)",67779.0,,761.0,,68887
"Moose Lake, MN Urban Cluster (2010)",2983.0,,133.0,,59098
"Centralia, MO Urban Cluster (2010)",3733.0,,193.0,,15049
"Viroqua, WI Urban Cluster (2010)",3920.0,,376.0,,90919
"North Adams, MA--VT Urban Cluster (2010)",18134.0,,503.0,,63460
"Lancaster, WI Urban Cluster (2010)",3607.0,,76.0,,47584
"Athens, TN Urban Cluster (2010)",16181.0,,444.0,,03709
"Paxton, IL Urban Cluster (2010)",4614.0,,212.0,,68131
"Wabash, IN Urban Cluster (2010)",10051.0,,139.0,,91000
"Joplin, MO Urbanized Area (2010)",83946.0,,980.0,,43399
"Nappanee, IN Urban Cluster (2010)",7105.0,,394.0,,61111
"Princeton, MN Urban Cluster (2010)",4946.0,,164.0,,72370
"Beaver Dam, KY Urban Cluster (2010)",6592.0,,218.0,,06085
"Liberty, NY Urban Cluster (2010)",4369.0,,250.0,,49663
"Mena, AR Urban Cluster (2010)",5321.0,,138.0,,56143
"Elkhorn, WI Urban Cluster (2010)",12195.0,,295.0,,26821
"Bismarck, ND Urbanized Area (2010)",89589.0,,855.0,,07921
"Farmington, MO Urban Cluster (2010)",41118.0,,803.0,,29251
"Independence, IA Urban Cluster (2010)",5766.0,,165.0,,41131
"Lodi, WI Urban Cluster (2010)",3053.0,,13.0,,50905
"Houston, TX Urbanized Area (2010)",5594567.0,,6727.0,,40429
"Delta, CO Urban Cluster (2010)",7701.0,,370.0,,23230
"Los Angeles--Long Beach--Anaheim, CA Urbanized Area (2010)",12563660.0,,3747.0,,51445
"Pullman, WA Urban Cluster (2010)",33000.0,,44.0,,72748
"Hammond, LA Urbanized Area (2010)",71303.0,,2257.0,,36514
