NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Walkerton, IN Urban Cluster (2010)",2975.0,,254.0,,91351
"Trenton, NJ Urbanized Area (2010)",295437.0,,1260.0,,88462
"Vinita, OK Urban Cluster (2010)",5502.0,,147.0,,90784
"Somerset, PA Urban Cluster (2010)",12066.0,,373.0,,82927
"Stanford, KY Urban Cluster (2010)",3975.0,,193.0,,84277
"Excelsior Springs, MO Urban Cluster (2010)",11586.0,,264.0,,28495
"Avenal, CA Urban Cluster (2010)",12923.0,,25.0,,04465
"Hearne, TX Urban Cluster (2010)",4023.0,,458.0,,37972
"Metter, GA Urban Cluster (2010)",3523.0,,238.0,,56494
"Stephenville, TX Urban Cluster (2010)",19895.0,,274.0,,84763
"Lake Isabella, CA Urban Cluster (2010)",2991.0,,636.0,,46774
"Harlan, IA Urban Cluster (2010)",4646.0,,144.0,,36838
"New Bedford, MA Urbanized Area (2010)",149205.0,,1126.0,,61786
"Dawson, GA Urban Cluster (2010)",4125.0,,144.0,,22447
"Oconto Falls, WI Urban Cluster (2010)",2658.0,,89.0,,64783
"Lewisburg, WV Urban Cluster (2010)",7124.0,,451.0,,49285
"Osawatomie, KS Urban Cluster (2010)",4327.0,,102.0,,66079
"Winchester, KY Urban Cluster (2010)",26024.0,,478.0,,96049
"King George, VA Urban Cluster (2010)",4628.0,,528.0,,45112
"Carey, OH Urban Cluster (2010)",3417.0,,208.0,,13618
"Modesto, CA Urbanized Area (2010)",376966.0,,1717.0,,58006
"El Dorado, KS Urban Cluster (2010)",14758.0,,264.0,,26524
"Springville, NY Urban Cluster (2010)",3893.0,,204.0,,84142
"Shelby, MT Urban Cluster (2010)",2611.0,,292.0,,81172
"Crozet, VA Urban Cluster (2010)",5650.0,,505.0,,21448
"Madison, FL Urban Cluster (2010)",3153.0,,330.0,,53038
"Reno, NV--CA Urbanized Area (2010)",419627.0,,1446.0,,74179
"Ada, OH Urban Cluster (2010)",6022.0,,263.0,,00388
"Dillon, SC Urban Cluster (2010)",8975.0,,617.0,,24202
"Middlefield, OH Urban Cluster (2010)",4672.0,,267.0,,56764
"Brinkley, AR Urban Cluster (2010)",2462.0,,121.0,,10324
"Cazenovia, NY Urban Cluster (2010)",3095.0,,186.0,,14671
"Lake Charles, LA Urbanized Area (2010)",147540.0,,1867.0,,46531
"Humboldt, IA Urban Cluster (2010)",5169.0,,153.0,,40618
"Richfield, UT Urban Cluster (2010)",7340.0,,159.0,,74395
"Norwalk, OH Urban Cluster (2010)",20074.0,,402.0,,64054
"Boyne City, MI Urban Cluster (2010)",3464.0,,120.0,,09487
"Waupaca, WI Urban Cluster (2010)",7888.0,,273.0,,92971
"Reedley--Dinuba, CA Urban Cluster (2010)",49587.0,,703.0,,74044
"Albuquerque, NM Urbanized Area (2010)",761430.0,,1426.0,,01171
"Centre, AL Urban Cluster (2010)",4256.0,,601.0,,15083
"Jasper, IN Urban Cluster (2010)",16020.0,,466.0,,42697
"Siloam Springs, AR--OK Urban Cluster (2010)",21039.0,,657.0,,81982
"Camilla, GA Urban Cluster (2010)",6345.0,,335.0,,13132
"Montrose, MN Urban Cluster (2010)",4902.0,,265.0,,58961
"Omro, WI Urban Cluster (2010)",3298.0,,143.0,,65323
"Pryor Creek, OK Urban Cluster (2010)",9256.0,,228.0,,72586
"Avra Valley, AZ Urban Cluster (2010)",3778.0,,667.0,,04573
"Morris, IL Urban Cluster (2010)",15955.0,,467.0,,59329
"Nashville, AR Urban Cluster (2010)",4182.0,,159.0,,61192
"Cleveland, TN Urbanized Area (2010)",70004.0,,1148.0,,17722
"Columbia City, IN Urban Cluster (2010)",9563.0,,346.0,,19018
"Pana, IL Urban Cluster (2010)",5484.0,,260.0,,67267
"New Wilmington, PA Urban Cluster (2010)",2501.0,,222.0,,63190
"Hattiesburg, MS Urbanized Area (2010)",81249.0,,1686.0,,37594
"Concord, NC Urbanized Area (2010)",225800.0,,2420.0,,19558
"Milan, MI Urban Cluster (2010)",7563.0,,304.0,,57088
"Mystic Island, NJ Urban Cluster (2010)",22451.0,,525.0,,60930
"Manteca, CA Urbanized Area (2010)",93580.0,,884.0,,54145
"Panama City Northeast, FL Urban Cluster (2010)",6011.0,,935.0,,67305
"South Pittsburg, TN--AL Urban Cluster (2010)",5153.0,,370.0,,83377
"Coolidge, AZ Urban Cluster (2010)",11603.0,,538.0,,19882
"Bonita Springs, FL Urbanized Area (2010)",346313.0,,3199.0,,08974
"Eldon, MO Urban Cluster (2010)",4232.0,,569.0,,26443
"Saltillo, MS Urban Cluster (2010)",4310.0,,536.0,,78472
"Glouster, OH Urban Cluster (2010)",2522.0,,304.0,,33706
"St. Albans, VT Urban Cluster (2010)",8926.0,,513.0,,77176
"Kingsport, TN--VA Urbanized Area (2010)",105711.0,,1627.0,,45235
"Indiana, PA Urban Cluster (2010)",27912.0,,658.0,,41185
"Bishopville, SC Urban Cluster (2010)",4844.0,,333.0,,07894
"Paradise, CA Urban Cluster (2010)",36118.0,,873.0,,67375
"Austin, TX Urbanized Area (2010)",1605549.0,,4500.0,,04384
"Pratt, KS Urban Cluster (2010)",6430.0,,97.0,,71965
"Seminole, TX Urban Cluster (2010)",7460.0,,29.0,,80632
"Calistoga, CA Urban Cluster (2010)",5285.0,,21.0,,12646
"Marshfield, MO Urban Cluster (2010)",6955.0,,397.0,,55117
"Chittenango, NY Urban Cluster (2010)",4762.0,,150.0,,16642
"Seward, NE Urban Cluster (2010)",6785.0,,106.0,,80767
"Sheboygan, WI Urbanized Area (2010)",71134.0,,312.0,,81118
"Dell Rapids, SD Urban Cluster (2010)",3558.0,,134.0,,23122
"Churchville, NY Urban Cluster (2010)",3305.0,,352.0,,16858
"Unadilla, GA Urban Cluster (2010)",2733.0,,264.0,,89425
"Springville, AL Urban Cluster (2010)",2717.0,,545.0,,84132
"Madras, OR Urban Cluster (2010)",8035.0,,391.0,,53308
"Ogden--Layton, UT Urbanized Area (2010)",596032.0,,1177.0,,64945
"Cumberland, KY Urban Cluster (2010)",3375.0,,364.0,,21718
"Madill, OK Urban Cluster (2010)",4496.0,,187.0,,53011
"Morro Bay--Los Osos, CA Urban Cluster (2010)",28814.0,,763.0,,59437
"Onawa, IA Urban Cluster (2010)",2573.0,,104.0,,65350
"Billings, MT Urbanized Area (2010)",119549.0,,966.0,,07705
"Horseshoe Bay, TX Urban Cluster (2010)",2936.0,,462.0,,40189
"Morrilton, AR Urban Cluster (2010)",5970.0,,172.0,,59302
"Lake Placid, FL Urban Cluster (2010)",15969.0,,1252.0,,47010
"Lowell, MI Urban Cluster (2010)",7491.0,,428.0,,51823
"Hot Springs, SD Urban Cluster (2010)",3465.0,,70.0,,40240
"Osage City, KS Urban Cluster (2010)",2460.0,,171.0,,66068
"Rio Dell, CA Urban Cluster (2010)",3756.0,,268.0,,75043
"Minneapolis--St. Paul, MN--WI Urbanized Area (2010)",2819056.0,,2303.0,,57628
"Batesville, MS Urban Cluster (2010)",7137.0,,318.0,,05599
"Clearfield, PA Urban Cluster (2010)",10951.0,,407.0,,17452
"Piqua, OH Urban Cluster (2010)",21455.0,,167.0,,69616
"Floresville, TX Urban Cluster (2010)",6853.0,,192.0,,30088
"Kingwood, WV Urban Cluster (2010)",3142.0,,95.0,,45343
"Carthage, TN Urban Cluster (2010)",3391.0,,307.0,,14320
"Westfield, NY Urban Cluster (2010)",2858.0,,318.0,,94024
"Lamesa, TX Urban Cluster (2010)",10911.0,,218.0,,47395
"Willimantic, CT Urban Cluster (2010)",29078.0,,707.0,,95590
"Caro, MI Urban Cluster (2010)",4711.0,,181.0,,13915
"Gautier, MS Urban Cluster (2010)",4374.0,,873.0,,32720
"Santa Rosa, NM Urban Cluster (2010)",2962.0,,305.0,,79525
"Burgaw, NC Urban Cluster (2010)",3750.0,,144.0,,11566
"Nocona, TX Urban Cluster (2010)",2905.0,,38.0,,63298
"Albany--Schenectady, NY Urbanized Area (2010)",597876.0,,1929.0,,00970
"Stayton, OR Urban Cluster (2010)",10857.0,,58.0,,84655
"Cold Spring, MN Urban Cluster (2010)",4517.0,,111.0,,18586
"Kennewick--Pasco, WA Urbanized Area (2010)",232069.0,,1495.0,,44479
"Johnstown, PA Urbanized Area (2010)",64662.0,,747.0,,43291
"San Joaquin, CA Urban Cluster (2010)",4021.0,,17.0,,79012
"Smithville North, MO Urban Cluster (2010)",3283.0,,349.0,,82641
"Madison, GA Urban Cluster (2010)",4610.0,,385.0,,53065
"Parlier, CA Urban Cluster (2010)",14800.0,,267.0,,67753
"Locust, NC Urban Cluster (2010)",3178.0,,339.0,,50813
"Gladwin, MI Urban Cluster (2010)",2866.0,,42.0,,33409
"O'Neill, NE Urban Cluster (2010)",3509.0,,129.0,,65458
"Farmington, NM Urbanized Area (2010)",52268.0,,1234.0,,29278
"Brent, AL Urban Cluster (2010)",5408.0,,544.0,,10000
"Cleveland, TX Urban Cluster (2010)",10394.0,,660.0,,17749
"Leavenworth, KS Urban Cluster (2010)",46239.0,,311.0,,48475
"Ely, NV Urban Cluster (2010)",4328.0,,159.0,,27361
