NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state
Minnesota,5527358.0,,-555555555.0,*****,27
Mississippi,2988762.0,,-555555555.0,*****,28
Missouri,6090062.0,,-555555555.0,*****,29
Montana,1041732.0,,-555555555.0,*****,30
Nebraska,1904760.0,,-555555555.0,*****,31
Nevada,2922849.0,,-555555555.0,*****,32
New Hampshire,1343622.0,,-555555555.0,*****,33
New Jersey,8881845.0,,-555555555.0,*****,34
New Mexico,2092434.0,,-555555555.0,*****,35
New York,19618453.0,,-555555555.0,*****,36
North Carolina,10155624.0,,-555555555.0,*****,37
North Dakota,752201.0,,-555555555.0,*****,38
Ohio,11641879.0,,-555555555.0,*****,39
Oklahoma,3918137.0,,-555555555.0,*****,40
Oregon,4081943.0,,-555555555.0,*****,41
Pennsylvania,12791181.0,,-555555555.0,*****,42
Rhode Island,1056611.0,,-555555555.0,*****,44
South Carolina,4955925.0,,-555555555.0,*****,45
South Dakota,864289.0,,-555555555.0,*****,46
Tennessee,6651089.0,,-555555555.0,*****,47
Texas,27885195.0,,-555555555.0,*****,48
Utah,3045350.0,,-555555555.0,*****,49
Vermont,624977.0,,-555555555.0,*****,50
Virginia,8413774.0,,-555555555.0,*****,51
West Virginia,1829054.0,,-555555555.0,*****,54
Washington,7294336.0,,-555555555.0,*****,53
Wisconsin,5778394.0,,-555555555.0,*****,55
Wyoming,581836.0,,-555555555.0,*****,56
Puerto Rico,3386941.0,,-555555555.0,*****,72
Alabama,4864680.0,,-555555555.0,*****,01
Alaska,738516.0,,-555555555.0,*****,02
Arizona,6946685.0,,-555555555.0,*****,04
Arkansas,2990671.0,,-555555555.0,*****,05
California,39148760.0,,-555555555.0,*****,06
Colorado,5531141.0,,-555555555.0,*****,08
Connecticut,3581504.0,,-555555555.0,*****,09
Delaware,949495.0,,-555555555.0,*****,10
District of Columbia,684498.0,,-555555555.0,*****,11
Florida,20598139.0,,-555555555.0,*****,12
Georgia,10297484.0,,-555555555.0,*****,13
Idaho,1687809.0,,-555555555.0,*****,16
Hawaii,1422029.0,,-555555555.0,*****,15
Illinois,12821497.0,,-555555555.0,*****,17
Indiana,6637426.0,,-555555555.0,*****,18
Iowa,3132499.0,,-555555555.0,*****,19
Kansas,2908776.0,,-555555555.0,*****,20
Kentucky,4440204.0,,-555555555.0,*****,21
Louisiana,4663616.0,,-555555555.0,*****,22
Maine,1332813.0,,-555555555.0,*****,23
Maryland,6003435.0,,-555555555.0,*****,24
Massachusetts,6830193.0,,-555555555.0,*****,25
Michigan,9957488.0,,-555555555.0,*****,26
