NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,school district (elementary)
"Pike Road City School District, Alabama",8884.0,,34.0,,01,00195
"Remainder of Alabama, Alabama",4855796.0,,34.0,,01,99999
"Roosevelt Elementary District, Arizona",118473.0,,2908.0,,04,07080
"Riverside Elementary District, Arizona",8907.0,,1107.0,,04,07020
"Rucker Elementary District, Arizona",44.0,,67.0,,04,07140
"Sacaton Elementary District, Arizona",4864.0,,754.0,,04,07200
"San Fernando Elementary District, Arizona",45.0,,21.0,,04,07380
"Santa Cruz Elementary District, Arizona",1992.0,,457.0,,04,07500
"Sentinel Elementary District, Arizona",157.0,,73.0,,04,07680
"Skull Valley Elementary District, Arizona",410.0,,124.0,,04,07770
"Solomon Elementary District, Arizona",3920.0,,535.0,,04,07860
"Somerton Elementary District, Arizona",22543.0,,856.0,,04,07890
"Sonoita Elementary District, Arizona",1621.0,,259.0,,04,07920
"Stanfield Elementary District, Arizona",4267.0,,1029.0,,04,08130
"Tempe School District, Arizona",161850.0,,2064.0,,04,08310
"Paloma School District, Arizona",231.0,,71.0,,04,08430
"Hillside Elementary District, Arizona",58.0,,42.0,,04,08460
"Tolleson Elementary District, Arizona",16756.0,,728.0,,04,08490
"Toltec Elementary District, Arizona",15956.0,,1384.0,,04,08550
"Topock Elementary District, Arizona",1665.0,,495.0,,04,08640
"Union Elementary District, Arizona",19489.0,,1036.0,,04,08820
"Valentine Elementary District, Arizona",224.0,,89.0,,04,08880
"Walnut Grove Elementary District, Arizona",136.0,,48.0,,04,09030
"Washington Elementary District, Arizona",244855.0,,3249.0,,04,09060
"Wellton Elementary District, Arizona",4345.0,,575.0,,04,09090
"Wenden Elementary District, Arizona",375.0,,125.0,,04,09120
"Williamson Valley Elementary School District, Arizona",680.0,,158.0,,04,09360
"Wilson Elementary District, Arizona",4722.0,,553.0,,04,09390
"Yarnell Elementary District, Arizona",1322.0,,190.0,,04,09510
"Young Elementary School District, Arizona",761.0,,195.0,,04,09540
"Yucca Elementary District, Arizona",550.0,,141.0,,04,09570
"Yuma Elementary District, Arizona",104353.0,,1536.0,,04,09600
"Remainder of Arizona, Arizona",4572512.0,,5791.0,,04,99999
"Clarkdale-Jerome Elementary District, Arizona",4060.0,,321.0,,04,00004
"Salome Consolidated Elementary District, Arizona",2303.0,,394.0,,04,00005
"Vernon Elementary District, Arizona",1755.0,,368.0,,04,00022
"Aguila Elementary District, Arizona",1462.0,,445.0,,04,00480
"Alhambra Elementary District, Arizona",89389.0,,2815.0,,04,00600
"Alpine Elementary District, Arizona",434.0,,123.0,,04,00630
"Apache Elementary District, Arizona",145.0,,38.0,,04,00750
"Arlington Elementary District, Arizona",1349.0,,316.0,,04,00840
"Ash Creek Elementary District, Arizona",712.0,,149.0,,04,00870
"Blue Elementary District, Arizona",34.0,,22.0,,04,01230
"Avondale Elementary District, Arizona",48582.0,,1459.0,,04,00960
"Balsz Elementary District, Arizona",32519.0,,1696.0,,04,01050
"Beaver Creek Elementary District, Arizona",5364.0,,749.0,,04,01080
"Bonita Elementary District, Arizona",899.0,,181.0,,04,01260
"Bouse Elementary District, Arizona",1202.0,,239.0,,04,01290
"Buckeye Elementary District, Arizona",43277.0,,1163.0,,04,01380
"Bullhead City School District, Arizona",40810.0,,220.0,,04,01500
"Canon Elementary District, Arizona",3172.0,,674.0,,04,01650
"Cochise Elementary District, Arizona",295.0,,105.0,,04,02130
"Cartwright Elementary District, Arizona",133255.0,,3041.0,,04,01680
"Casa Grande Elementary District, Arizona",68890.0,,1554.0,,04,01710
"Chevelon Butte School District, Arizona",715.0,,155.0,,04,01920
"Concho Elementary District, Arizona",2480.0,,397.0,,04,02190
"Congress Elementary District, Arizona",1960.0,,402.0,,04,02220
"Continental Elementary District, Arizona",27855.0,,964.0,,04,02250
"Cottonwood-Oak Creek Elementary District, Arizona",31554.0,,1247.0,,04,02370
"Crane Elementary District, Arizona",43984.0,,1387.0,,04,02400
"Creighton Elementary District, Arizona",72240.0,,2084.0,,04,02430
"Crown King Elementary District, Arizona",68.0,,43.0,,04,02460
"Double Adobe Elementary District, Arizona",462.0,,102.0,,04,02490
"Eagle Elementary District, Arizona",58.0,,45.0,,04,02710
"Elfrida Elementary District, Arizona",856.0,,203.0,,04,02760
"Eloy Elementary District, Arizona",5797.0,,730.0,,04,02790
"Empire Elementary District, Arizona",552.0,,262.0,,04,02820
"Fowler Elementary District, Arizona",38821.0,,2060.0,,04,03060
"Gadsden Elementary District, Arizona",30328.0,,637.0,,04,03240
"Glendale Elementary District, Arizona",109290.0,,2011.0,,04,03420
"Hackberry School District, Arizona",1394.0,,277.0,,04,03660
"Hyder Elementary District, Arizona",643.0,,175.0,,04,03900
"Isaac Elementary District, Arizona",45999.0,,1765.0,,04,03960
"Kirkland Elementary District, Arizona",1135.0,,196.0,,04,04170
"Klondyke Elementary District, Arizona",43.0,,19.0,,04,04200
"Kyrene Elementary District, Arizona",162128.0,,2703.0,,04,04230
"Laveen Elementary District, Arizona",51805.0,,1678.0,,04,04290
"Liberty Elementary District, Arizona",31971.0,,1676.0,,04,04320
"Litchfield Elementary District, Arizona",94392.0,,1795.0,,04,04380
"Littleton Elementary District, Arizona",46806.0,,1408.0,,04,04440
"Madison Elementary District, Arizona",60545.0,,1722.0,,04,04500
"Maine Consolidated School District, Arizona",1476.0,,311.0,,04,04530
"Altar Valley Elementary District, Arizona",7075.0,,663.0,,04,04770
"McNary Elementary District, Arizona",663.0,,105.0,,04,04860
"McNeal Elementary District, Arizona",428.0,,128.0,,04,04920
"Mobile Elementary District, Arizona",91.0,,38.0,,04,05100
"Mohave Valley Elementary District, Arizona",23021.0,,925.0,,04,05190
"Mohawk Valley Elementary District, Arizona",1633.0,,267.0,,04,05220
"Morristown Elementary District, Arizona",1601.0,,304.0,,04,05340
"Murphy Elementary District, Arizona",12766.0,,947.0,,04,05400
"Naco Elementary District, Arizona",1408.0,,356.0,,04,05430
"Oracle Elementary District, Arizona",15812.0,,972.0,,04,05640
"Osborn Elementary District, Arizona",38217.0,,1298.0,,04,05670
"Owens-Whitney Elementary District, Arizona",556.0,,170.0,,04,05730
"Tonto Basin Elementary District, Arizona",1733.0,,291.0,,04,05760
"Palo Verde Elementary District, Arizona",2743.0,,599.0,,04,05850
"Pendergast Elementary District, Arizona",79367.0,,2036.0,,04,06210
"Palominas Elementary District, Arizona",10507.0,,688.0,,04,05880
"Patagonia Elementary District, Arizona",1402.0,,273.0,,04,06000
"Pearce Elementary District, Arizona",2252.0,,346.0,,04,06150
"Phoenix Elementary District, Arizona",57628.0,,2051.0,,04,06300
"Quartzsite Elementary District, Arizona",5734.0,,405.0,,04,06780
"Picacho Elementary District, Arizona",10135.0,,1100.0,,04,06360
"Pine Strawberry Elementary District, Arizona",2487.0,,427.0,,04,06510
"Pomerene Elementary District, Arizona",1168.0,,283.0,,04,06630
"Red Rock Elementary District, Arizona",4841.0,,569.0,,04,06900
"Redington Elementary District, Arizona",69.0,,36.0,,04,06930
"Pixley Union Elementary School District, California",5680.0,,789.0,,06,30630
"Byron Union Elementary School District, California",16538.0,,862.0,,06,06750
"Mount Shasta Union Elementary School District, California",6934.0,,553.0,,06,26040
"Helendale Elementary School District, California",6573.0,,852.0,,06,16860
"Lakeside Union Elementary School District (San Diego County), California",45500.0,,1716.0,,06,20790
"Mountain View Whisman Elementary School District, California",71472.0,,854.0,,06,26280
"Kingsburg Elementary Charter School District, California",15429.0,,754.0,,06,19800
"Blake Elementary School District, California",136.0,,79.0,,06,05250
"Keppel Union Elementary School District, California",22352.0,,1491.0,,06,19440
"Willow Creek Elementary School District, California",665.0,,134.0,,06,42600
"Hanford Elementary School District, California",46600.0,,1160.0,,06,16470
"Columbia Union Elementary School District, California",6276.0,,629.0,,06,09480
"Waugh Elementary School District, California",6100.0,,604.0,,06,41790
"Elkins Elementary School District, California",174.0,,61.0,,06,12420
"Rosedale Union Elementary School District, California",49599.0,,2018.0,,06,33480
"San Carlos Elementary School District, California",28505.0,,502.0,,06,34290
"Campbell Union Elementary School District, California",99381.0,,1815.0,,06,07200
"Pleasant Valley Joint Union Elementary School District, California",945.0,,228.0,,06,31020
"Santa Rita Union Elementary School District, California",25467.0,,1220.0,,06,35790
"Big Springs Union Elementary School District, California",1756.0,,271.0,,06,04980
"Johnstonville Elementary School District, California",1302.0,,237.0,,06,19050
"Sunnyside Union Elementary School District, California",2496.0,,560.0,,06,38430
"New Jerusalem Elementary School District, California",2061.0,,265.0,,06,27030
"South Bay Union Elementary School District, California",7203.0,,783.0,,06,37350
"Nuview Union Elementary School District, California",11235.0,,1033.0,,06,27780
"Merced River Union Elementary School District, California",1002.0,,201.0,,06,24630
"Blochman Union Elementary School District, California",972.0,,237.0,,06,05280
"Salida Union Elementary School District, California",20815.0,,1339.0,,06,33900
"Happy Valley Elementary School District, California",1603.0,,273.0,,06,16560
"Nuestro Elementary School District, California",351.0,,137.0,,06,27750
"Bogus Elementary School District, California",469.0,,101.0,,06,05490
"South Fork Union School District, California",3389.0,,765.0,,06,37470
"Weaver Union Elementary School District, California",12658.0,,1171.0,,06,41880
"Planada Elementary School District, California",5042.0,,510.0,,06,30840
"Knights Ferry Elementary School District, California",498.0,,117.0,,06,20010
"Pleasant View Elementary School District, California",2475.0,,463.0,,06,31050
