NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,american indian area/alaska native area/hawaiian home land
"Osage Reservation, OK",47311.0,,-555555555.0,*****,2595
"Torres-Martinez Reservation, CA",2511.0,,310.0,,4255
"Hassanamisco Reservation (state), MA",0.0,,12.0,,9150
"Ramapough (state) SDTSA, NJ",994.0,,167.0,,9850
"Twin Hills ANVSA, AK",63.0,,22.0,,7650
"Cherokee Tribe of Northeast Alabama (state) SDTSA, AL",14453.0,,719.0,,9560
"Sac and Fox OTSA, OK",58194.0,,706.0,,5820
"Stevens Village ANVSA, AK",11.0,,6.0,,7520
"Lummi Reservation, WA",5583.0,,392.0,,2070
"Meherrin (state) SDTSA, NC",7630.0,,459.0,,9825
"Santa Ana Pueblo, NM",695.0,,102.0,,3480
"Swinomish Reservation and Off-Reservation Trust Land, WA",2915.0,,133.0,,4075
"White Earth Reservation and Off-Reservation Trust Land, MN",9845.0,,165.0,,4595
"Hanapepe Hawaiian Home Land, HI",11.0,,8.0,,5011
"Kaw/Ponca joint-use OTSA, OK",26375.0,,198.0,,5950
"Cantwell ANVSA, AK",183.0,,65.0,,6255
"Fort Berthold Reservation, ND",7260.0,,322.0,,1160
"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",172875.0,,2223.0,,2430
"Rincon Reservation and Off-Reservation Trust Land, CA",932.0,,166.0,,3165
"Pauma and Yuima Reservation, CA",242.0,,87.0,,2715
"Santa Rosa Reservation, CA",73.0,,26.0,,3525
"Nelson Lagoon ANVSA, AK",74.0,,28.0,,7025
"Tazlina ANVSA, AK",354.0,,139.0,,7560
"Nambe Pueblo and Off-Reservation Trust Land, NM",1613.0,,122.0,,2400
"Winnemucca Indian Colony, NV",29.0,,17.0,,4635
"Allakaket ANVSA, AK",170.0,,30.0,,6070
"Benton Paiute Reservation and Off-Reservation Trust Land, CA",109.0,,55.0,,0185
"Ohkay Owingeh, NM",6541.0,,495.0,,2510
"Tonkawa OTSA, OK",3918.0,,78.0,,5860
"Mooretown Rancheria and Off-Reservation Trust Land, CA",160.0,,60.0,,2340
"Waiehu Hawaiian Home Land, HI",1507.0,,222.0,,5241
"Pedro Bay ANVSA, AK",20.0,,14.0,,7205
"Big Sandy Rancheria and Off-Reservation Trust Land, CA",148.0,,59.0,,0265
"Haliwa-Saponi (state) SDTSA, NC",8713.0,,646.0,,9745
"Waccamaw Siouan (state) SDTSA, NC",2008.0,,278.0,,9970
"Ambler ANVSA, AK",299.0,,74.0,,6075
"Akiak ANVSA, AK",416.0,,53.0,,6025
"McGrath ANVSA, AK",283.0,,45.0,,6895
"Solomon ANVSA, AK",0.0,,9.0,,7500
"Skull Valley Reservation, UT",29.0,,30.0,,3840
"Sand Point ANVSA, AK",1372.0,,160.0,,7410
"Paiute (UT) Reservation, UT",378.0,,132.0,,2625
"Waiohinu Hawaiian Home Land, HI",0.0,,11.0,,5283
"Chemehuevi Reservation, CA",352.0,,73.0,,0585
"Fort Mojave Reservation and Off-Reservation Trust Land, AZ--CA--NV",1754.0,,331.0,,1235
"Kalispel Reservation and Off-Reservation Trust Land, WA",210.0,,77.0,,1735
"Chickahominy (state) SDTSA, VA",3601.0,,189.0,,9580
"Ramona Village, CA",0.0,,12.0,,3070
"Wales ANVSA, AK",170.0,,35.0,,7740
"Fort McDowell Yavapai Nation Reservation, AZ",1104.0,,90.0,,1220
"Lower Sioux Indian Community, MN",551.0,,100.0,,2055
"Ouzinkie ANVSA, AK",180.0,,63.0,,7180
"Narragansett Reservation, RI",0.0,,13.0,,2415
"Chignik Lagoon ANVSA, AK",75.0,,30.0,,6300
"Chefornak ANVSA, AK",501.0,,69.0,,6275
"Salamatof ANVSA, AK",1015.0,,141.0,,7400
"Jamul Indian Village, CA",0.0,,12.0,,1670
"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",11418.0,,177.0,,3235
"Bay Mills Reservation and Off-Reservation Trust Land, MI",1263.0,,121.0,,0170
"Shinnecock Reservation (state), NY",16.0,,20.0,,9370
"Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land, CA--NV",24.0,,10.0,,4180
"Nienie Hawaiian Home Land, HI",0.0,,11.0,,5166
"Picuris Pueblo, NM",2216.0,,243.0,,2785
"Maluohai Hawaiian Home Land, HI",1238.0,,201.0,,5148
"Manzanita Reservation and Off-Reservation Trust Land, CA",61.0,,36.0,,2115
"Mississippi Choctaw Reservation, MS",7867.0,,490.0,,2300
"Tonawanda Reservation, NY",452.0,,120.0,,4225
"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",0.0,,12.0,,4930
"Tanana ANVSA, AK",242.0,,38.0,,7540
"Tyonek ANVSA, AK",348.0,,85.0,,7655
"Panaewa (Agricultural) Hawaiian Home Land, HI",649.0,,98.0,,5176
"Newhalen ANVSA, AK",121.0,,46.0,,7035
"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN",1632.0,,211.0,,1450
"Lone Pine Reservation, CA",157.0,,48.0,,1970
"San Manuel Reservation and Off-Reservation Trust Land, CA",51.0,,33.0,,3445
"Honolulu Makai Hawaiian Home Land, HI",0.0,,11.0,,5030
"Arctic Village ANVSA, AK",153.0,,32.0,,6140
"Mary's Igloo ANVSA, AK",0.0,,9.0,,6915
"Nunam Iqua ANVSA, AK",167.0,,42.0,,7133
"Acoma Pueblo and Off-Reservation Trust Land, NM",2784.0,,256.0,,0010
"South Naknek ANVSA, AK",41.0,,20.0,,7505
"Tuscarora Nation Reservation, NY",1078.0,,123.0,,4360
"Yavapai-Prescott Reservation, AZ",368.0,,195.0,,4710
"Caddo-Wichita-Delaware OTSA, OK",15327.0,,456.0,,5540
"Tanacross ANVSA, AK",141.0,,50.0,,7535
"Dry Creek Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0955
"Augustine Reservation, CA",0.0,,12.0,,0125
"Eastern Chickahominy (state) SDTSA, VA",251.0,,83.0,,9675
"Manley Hot Springs ANVSA, AK",80.0,,29.0,,6900
"Stebbins ANVSA, AK",473.0,,64.0,,7510
"Oscarville ANVSA, AK",64.0,,25.0,,7175
"Poospatuck Reservation (state), NY",692.0,,214.0,,9300
"Blue Lake Rancheria and Off-Reservation Trust Land, CA",72.0,,29.0,,0325
"North Fork Rancheria and Off-Reservation Trust Land, CA",138.0,,50.0,,2495
"Pit River Trust Land, CA",0.0,,12.0,,2835
"Chuathbaluk ANVSA, AK",124.0,,37.0,,6335
"Noatak ANVSA, AK",422.0,,48.0,,7085
"Nikolski ANVSA, AK",26.0,,12.0,,7075
"Galena ANVSA, AK",510.0,,67.0,,6525
"Santa Clara Pueblo and Off-Reservation Trust Land, NM",11693.0,,703.0,,3495
"Santa Ynez Reservation, CA",263.0,,137.0,,3540
"Honokaia Hawaiian Home Land, HI",0.0,,11.0,,5026
"Chickasaw OTSA, OK",312615.0,,731.0,,5580
"Hualapai Indian Reservation and Off-Reservation Trust Land, AZ",1590.0,,181.0,,1545
"Mohegan Reservation and Off-Reservation Trust Land, CT",283.0,,228.0,,2320
"Guidiville Rancheria and Off-Reservation Trust Land, CA",58.0,,48.0,,1400
"Tampa Reservation, FL",0.0,,13.0,,4130
"Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land, NV",74.0,,51.0,,1070
"Kanehili Hawaiian Home Land, HI",1659.0,,631.0,,5067
"Miami OTSA, OK",226.0,,28.0,,5730
"Gakona ANVSA, AK",103.0,,51.0,,6520
"Sault Sainte Marie Reservation and Off-Reservation Trust Land, MI",2180.0,,387.0,,3635
"Manokotak ANVSA, AK",804.0,,156.0,,6905
"Aleknagik ANVSA, AK",204.0,,39.0,,6045
"Kaibab Indian Reservation, AZ",253.0,,88.0,,1720
"Upper Lake Rancheria, CA",105.0,,80.0,,4430
"Chilkat ANVSA, AK",49.0,,14.0,,6310
"Koyuk ANVSA, AK",271.0,,46.0,,6825
"Battle Mountain Reservation and Off-Reservation Trust Land, NV",407.0,,197.0,,0165
"Fort Apache Reservation, AZ",15515.0,,799.0,,1140
"Kolaoa Hawaiian Home Land, HI",0.0,,11.0,,5123
"Quileute Reservation, WA",451.0,,87.0,,3030
"Coconut Creek Trust Land, FL",0.0,,13.0,,0690
"Oneida Nation Reservation, NY",0.0,,12.0,,2555
"Keokea (Agricultural) Hawaiian Home Land, HI",165.0,,137.0,,5114
"Gulkana ANVSA, AK",76.0,,56.0,,6560
"Duck Valley Reservation, NV--ID",1351.0,,234.0,,0965
"Waiahole Hawaiian Home Land, HI",42.0,,25.0,,5223
"Akiachak ANVSA, AK",567.0,,64.0,,6020
"Sitka ANVSA, AK",4701.0,,219.0,,7475
"Lac du Flambeau Reservation, WI",3413.0,,76.0,,1825
"United Cherokee Ani-Yun-Wiya Nation SDTSA, AL",6496.0,,524.0,,9950
"Wells Colony, NV",99.0,,48.0,,4580
"Warm Springs Reservation and Off-Reservation Trust Land, OR",4296.0,,249.0,,4545
"Pitkas Point ANVSA, AK",122.0,,31.0,,7235
"Cow Creek Reservation and Off-Reservation Trust Land, OR",182.0,,62.0,,0815
"Huron Potawatomi Reservation and Off-Reservation Trust Land, MI",62.0,,30.0,,1550
"Morongo Reservation and Off-Reservation Trust Land, CA",777.0,,187.0,,2360
"Anahola (Residential) Hawaiian Home Land, HI",1670.0,,262.0,,5004
"Koyukuk ANVSA, AK",62.0,,19.0,,6830
"Keaukaha Hawaiian Home Land, HI",1693.0,,226.0,,5106
"Craig ANVSA, AK",1613.0,,100.0,,6385
"Leech Lake Reservation and Off-Reservation Trust Land, MN",11229.0,,306.0,,1940
"Four Winds Cherokee (state) SDTSA, LA",31380.0,,1242.0,,9720
"Shoalwater Bay Indian Reservation and Off-Reservation Trust Land, WA",78.0,,47.0,,3780
"Lalamilo Hawaiian Home Land, HI",63.0,,35.0,,5133
"Ruby ANVSA, AK",207.0,,36.0,,7310
"Unalaska ANVSA, AK",4781.0,,132.0,,7695
"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",73.0,,46.0,,1963
"Muckleshoot Reservation and Off-Reservation Trust Land, WA",4049.0,,421.0,,2375
"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",0.0,,12.0,,4940
"Kapaa Hawaiian Home Land, HI",0.0,,11.0,,5071
"Siletz Reservation and Off-Reservation Trust Land, OR",675.0,,159.0,,3795
"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",141.0,,38.0,,3285
"Eastern Cherokee Reservation, NC",9191.0,,605.0,,0990
"Ekwok ANVSA, AK",80.0,,25.0,,6460
"Takotna ANVSA, AK",23.0,,15.0,,7530
"Clifton Choctaw (state) SDTSA, LA",476.0,,106.0,,9630
"Chalkyitsik ANVSA, AK",115.0,,35.0,,6265
"Golovin ANVSA, AK",128.0,,33.0,,6540
"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",356.0,,111.0,,2865
"Chickaloon ANVSA, AK",27331.0,,630.0,,6290
"Tununak ANVSA, AK",339.0,,60.0,,7645
"Lac Vieux Desert Reservation, MI",226.0,,63.0,,1830
"Anahola (Agricultural) Hawaiian Home Land, HI",200.0,,56.0,,5003
"Kaltag ANVSA, AK",172.0,,52.0,,6690
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",124874.0,,1161.0,,5600
"Cherokee OTSA, OK",517039.0,,1479.0,,5550
