FIPS,Abbreviation,Location,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
00000,US,United States,248709873,226545805,203211926,179323175,151325798,132164569,123202624,106021537,92228496,76212168
01000,AL,Alabama,4040587,3893888,3444165,3266740,3061743,2832961,2646248,2348174,2138093,1828697
01001,AL,Autauga County,34222,32259,24460,18739,18186,20977,19694,18908,20038,17915
01003,AL,Baldwin County,98280,78556,59382,49088,40997,32324,28289,20730,18178,13194
01005,AL,Barbour County,25417,24756,22543,24700,28892,32722,32425,32067,32728,35152
01007,AL,Bibb County,16576,15723,13812,14357,17987,20155,20780,23144,22791,18498
01009,AL,Blount County,39248,36459,26853,25449,28975,29490,28020,25538,21456,23119
01011,AL,Bullock County,11042,10596,11824,13462,16054,19810,20016,25333,30196,31944
01013,AL,Butler County,21892,21680,22007,24560,29228,32447,30195,29531,29030,25761
01015,AL,Calhoun County,116034,119761,103092,95878,79539,63319,55611,47822,39115,34874
01017,AL,Chambers County,36876,39191,36356,37828,39528,42146,39313,41201,36056,32554
01019,AL,Cherokee County,19543,18760,15606,16303,17634,19928,20219,20862,20226,21096
01021,AL,Chilton County,32458,30612,25180,25693,26922,27955,24579,22770,23187,16522
01023,AL,Choctaw County,16018,16839,16589,17870,19152,20195,20513,20753,18483,18136
01025,AL,Clarke County,27240,27702,26724,25738,26548,27636,26016,26409,30987,27790
01027,AL,Clay County,13252,13703,12636,12400,13929,16907,17768,22645,21006,17099
01029,AL,Cleburne County,12730,12595,10996,10911,11904,13629,12877,13360,13385,13206
01031,AL,Coffee County,40240,38533,34872,30583,30720,31987,32556,30070,26119,20972
01033,AL,Colbert County,51666,54519,49632,46506,39561,34093,29860,31997,24802,22341
01035,AL,Conecuh County,14054,15884,15645,17762,21776,25489,25429,24593,21433,17514
01037,AL,Coosa County,11063,11377,10662,10726,11766,13460,12460,14839,16634,16144
01039,AL,Covington County,36478,36850,34079,35631,40373,42417,41356,38103,32124,15346
01041,AL,Crenshaw County,13635,14110,13188,14909,18981,23631,23656,23017,23313,19668
01043,AL,Cullman County,67613,61642,52445,45572,49046,47343,41051,33034,28321,17849
01045,AL,Dale County,49633,47821,52938,31066,20828,22685,23175,22711,21608,21189
01047,AL,Dallas County,48130,53981,55296,56667,56270,55245,55094,54697,53401,54657
01049,AL,DeKalb County,54651,53658,41981,41417,45048,43075,40104,34426,28261,23558
01051,AL,Elmore County,49210,43390,33535,30524,31649,34546,34280,28085,28245,26099
01053,AL,Escambia County,35518,38440,34906,33511,31443,30671,27963,22464,18889,11320
01055,AL,Etowah County,99840,103057,94144,96980,93892,72580,63399,47275,39109,27361
01057,AL,Fayette County,17962,18809,16252,16148,19388,21651,18443,18365,16248,14132
01059,AL,Franklin County,27814,28350,23933,21988,25705,27552,25372,22011,19369,16511
01061,AL,Geneva County,23647,24253,21924,22310,25899,29172,30104,29315,26230,19096
01063,AL,Greene County,10153,11021,10650,13600,16482,19185,19745,18133,22717,24182
01065,AL,Hale County,15498,15604,15888,19537,20832,25533,26265,24289,27883,31011
01067,AL,Henry County,15374,15302,13254,15286,18674,21912,22820,21547,20943,36147
01069,AL,Houston County,81331,74632,56574,50718,46522,45665,45935,37334,32414,---
01071,AL,Jackson County,47796,51407,39202,36681,38998,41802,36881,35864,32918,30508
01073,AL,Jefferson County,651525,671324,644991,634864,558928,459930,431493,310054,226476,140420
01075,AL,Lamar County,15715,16453,14335,14271,16441,19708,18001,18149,17487,16084
01077,AL,Lauderdale County,79661,80546,68111,61622,54179,46230,41130,39556,30936,26559
01079,AL,Lawrence County,31513,30170,27281,24501,27128,27880,26942,24307,21984,20124
01081,AL,Lee County,87146,76283,61268,49754,45073,36455,36063,32821,32867,31826
01083,AL,Limestone County,54135,46005,41699,36513,35766,35642,36629,31341,26880,22387
01085,AL,Lowndes County,12658,13253,12897,15417,18018,22661,22878,25406,31894,35651
01087,AL,Macon County,24928,26829,24841,26717,30561,27654,27103,23561,26049,23126
01089,AL,Madison County,238912,196966,186540,117348,72903,66317,64623,51268,47041,43702
01091,AL,Marengo County,23084,25047,23819,27098,29494,35736,36426,36065,39923,38315
01093,AL,Marion County,29830,30041,23788,21837,27264,28776,25967,22008,17495,14494
01095,AL,Marshall County,70832,65622,54211,48018,45090,42395,39802,32669,28553,23289
01097,AL,Mobile County,378643,364980,317308,314301,231105,141974,118363,100117,80854,62740
01099,AL,Monroe County,23968,22651,20883,22372,25732,29465,30070,28884,27155,23666
01101,AL,Montgomery County,209085,197038,167790,169210,138965,114420,98671,80853,82178,72047
01103,AL,Morgan County,100043,90231,77306,60454,52924,48148,46176,40196,33781,28820
01105,AL,Perry County,12759,15012,15388,17358,20439,26610,26385,25373,31222,31783
01107,AL,Pickens County,20699,21481,20326,21882,24349,27671,24902,25353,25055,24402
