NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,school district (secondary)
"Colorado River Union High School District, Arizona",65496.0,,963.0,,04,00082
"Agua Fria Union High School District, Arizona",142974.0,,2023.0,,04,00450
"Antelope Union High School District, Arizona",6621.0,,634.0,,04,00720
"Bicentennial Union High School District, Arizona",9614.0,,406.0,,04,01160
"Buckeye Union High School District, Arizona",79340.0,,1738.0,,04,01410
"Casa Grande Union High School District, Arizona",93977.0,,2062.0,,04,01740
"Glendale Union High School District, Arizona",354145.0,,3832.0,,04,03450
"Mingus Union High School District, Arizona",35614.0,,1150.0,,04,05070
"Patagonia Union High School District, Arizona",3023.0,,312.0,,04,06030
"Phoenix Union High School District, Arizona",726465.0,,5344.0,,04,06330
"Santa Cruz Valley Union High School District, Arizona",20773.0,,914.0,,04,07530
"Tempe Union High School District, Arizona",323978.0,,2586.0,,04,08340
"Tolleson Union High School District, Arizona",201239.0,,2996.0,,04,08520
"Valley Union High School District, Arizona",3820.0,,442.0,,04,08910
"Yuma Union High School District, Arizona",201208.0,,634.0,,04,09630
"Remainder of Arizona, Arizona",4678398.0,,5518.0,,04,99999
"Antelope Valley Union Joint High School District, California",381076.0,,2424.0,,06,02820
"Washington Unified School District (9-12), California",9657.0,,823.0,,06,06018
"Santa Barbara Unified School District (7-12), California",105853.0,,1450.0,,06,06019
"Lammersville Joint Unified School District (9-12), California",295.0,,139.0,,06,06020
"Kern High School District, California",636879.0,,2139.0,,06,19540
"Yosemite Unified School District (9-12), California",13463.0,,932.0,,06,06001
"Twin Rivers Unified School District (9-12), California",3248.0,,504.0,,06,06003
"Twin Rivers Unified School District (7-12), California",19684.0,,1136.0,,06,06004
"Scott Valley Unified School District (9-12), California",166.0,,55.0,,06,06005
"Trinity Alps Unified School District (9-12), California",4393.0,,363.0,,06,06006
"Turlock Unified School District (9-12), California",9970.0,,962.0,,06,06013
"Santa Cruz City High School District (9-12), California",51794.0,,1331.0,,06,06015
"Dinuba Unified School District (9-12), California",4816.0,,587.0,,06,06016
"Bishop Unified School District (9-12), California",1285.0,,177.0,,06,06021
"Santa Paula Unified School District (9-12), California",5009.0,,607.0,,06,06022
"Hamilton Unified School District (9-12), California",589.0,,105.0,,06,06025
"Perris Union High School District (9-12), California",136042.0,,2008.0,,06,06034
"Woodlake Unified School District (9-12), California",3309.0,,452.0,,06,06026
"Exeter Unified School District (9-12), California",2679.0,,564.0,,06,06028
"Tracy Unified School District (9-12), California",21202.0,,1185.0,,06,06031
"Alhambra Unified School District (9-12), California",53106.0,,1601.0,,06,06037
"Healdsburg Unified School District (7-12), California",1843.0,,287.0,,06,06038
"Gonzales Unified School District (9-12), California",2886.0,,497.0,,06,06053
"Porterville Unified School District (9-12), California",47959.0,,2017.0,,06,06107
"South Monterey County Joint Union High School District, California",40243.0,,1346.0,,06,19650
"Gridley Unified School District (9-12), California",1325.0,,315.0,,06,99001
"Caruthers Unified School District (9-12), California",3409.0,,489.0,,06,99002
"Riverdale Joint Unified School District (9-12), California",1741.0,,252.0,,06,99003
"Sierra Unified School District (9-12), California",1111.0,,159.0,,06,99004
"Orland Joint Unified School District (9-12), California",879.0,,163.0,,06,99005
"Eureka City Unified School District (7-12), California",15407.0,,936.0,,06,99006
"Eureka City Unified School District (9-12), California",407.0,,91.0,,06,99007
"Upper Lake Unified School District (9-12), California",3316.0,,549.0,,06,99008
"Coast Unified School District (9-12), California",2844.0,,361.0,,06,99009
"Paso Robles Joint Unified School District (9-12), California",7756.0,,1084.0,,06,99010
"Santa Cruz City High School District (6-12), California",66522.0,,485.0,,06,99011
"Hughson Unified School District (9-12), California",2481.0,,306.0,,06,99012
"Oakdale Joint Unified School District (9-12), California",2115.0,,251.0,,06,99013
"Nevada Joint Union High School District (9-12), California",504.0,,112.0,,06,99014
"Yreka Union High School District, California",17816.0,,535.0,,06,43410
"Remainder of California, California",28351717.0,,11349.0,,06,99999
"Acalanes Union High School District, California",118688.0,,1540.0,,06,01650
"Anaheim Union High School District, California",401295.0,,2607.0,,06,02630
"West Sonoma County Union High School District, California",52012.0,,1332.0,,06,02670
