NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,alaska native regional corporation
"Aleut Alaska Native Regional Corporation, Alaska",9175.0,,13.0,,02,01570
"Bristol Bay Alaska Native Regional Corporation, Alaska",7089.0,,299.0,,02,09040
"Ahtna Alaska Native Regional Corporation, Alaska",2249.0,,285.0,,02,00590
"Calista Alaska Native Regional Corporation, Alaska",26238.0,,17.0,,02,09800
"Doyon Alaska Native Regional Corporation, Alaska",113917.0,,454.0,,02,20010
"Bering Straits Alaska Native Regional Corporation, Alaska",9925.0,,-555555555.0,*****,02,06370
"NANA Alaska Native Regional Corporation, Alaska",7734.0,,-555555555.0,*****,02,52120
"Sealaska Alaska Native Regional Corporation, Alaska",71826.0,,158.0,,02,67940
"Cook Inlet Alaska Native Regional Corporation, Alaska",453080.0,,412.0,,02,17140
"Koniag Alaska Native Regional Corporation, Alaska",13649.0,,15.0,,02,41640
"Arctic Slope Alaska Native Regional Corporation, Alaska",9797.0,,13.0,,02,03950
"Chugach Alaska Native Regional Corporation, Alaska",12202.0,,468.0,,02,14410
