NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,state legislative district (upper chamber)
"State Senate District 1 (2018), Alabama",141016.0,,1802.0,,01,001
"State Senate District 2 (2018), Alabama",151021.0,,2615.0,,01,002
"State Senate District 3 (2018), Alabama",145149.0,,1575.0,,01,003
"State Senate District 4 (2018), Alabama",135909.0,,998.0,,01,004
"State Senate District 5 (2018), Alabama",131617.0,,1970.0,,01,005
"State Senate District 6 (2018), Alabama",134386.0,,1295.0,,01,006
"State Senate District 7 (2018), Alabama",141987.0,,2020.0,,01,007
"State Senate District 8 (2018), Alabama",140640.0,,1691.0,,01,008
"State Senate District 9 (2018), Alabama",137968.0,,1691.0,,01,009
"State Senate District 10 (2018), Alabama",135844.0,,1002.0,,01,010
"State Senate District 11 (2018), Alabama",139078.0,,1804.0,,01,011
"State Senate District 12 (2018), Alabama",131854.0,,887.0,,01,012
"State Senate District 13 (2018), Alabama",142727.0,,1270.0,,01,013
"State Senate District 14 (2018), Alabama",141313.0,,1600.0,,01,014
"State Senate District 15 (2018), Alabama",143495.0,,2071.0,,01,015
"State Senate District 16 (2018), Alabama",140776.0,,2062.0,,01,016
"State Senate District 17 (2018), Alabama",138090.0,,1995.0,,01,017
"State Senate District 18 (2018), Alabama",134900.0,,2540.0,,01,018
"State Senate District 19 (2018), Alabama",129692.0,,1899.0,,01,019
"State Senate District 20 (2018), Alabama",139669.0,,2677.0,,01,020
"State Senate District 21 (2018), Alabama",140525.0,,2078.0,,01,021
"State Senate District 22 (2018), Alabama",138080.0,,1886.0,,01,022
"State Senate District 23 (2018), Alabama",125265.0,,811.0,,01,023
"State Senate District 24 (2018), Alabama",140224.0,,1813.0,,01,024
"State Senate District 25 (2018), Alabama",144497.0,,1913.0,,01,025
"State Senate District 26 (2018), Alabama",125761.0,,1629.0,,01,026
"State Senate District 27 (2018), Alabama",149856.0,,1887.0,,01,027
"State Senate District 28 (2018), Alabama",136492.0,,1182.0,,01,028
"State Senate District 29 (2018), Alabama",140141.0,,831.0,,01,029
"State Senate District 30 (2018), Alabama",138385.0,,1531.0,,01,030
"State Senate District 31 (2018), Alabama",138606.0,,662.0,,01,031
"State Senate District 32 (2018), Alabama",155058.0,,1806.0,,01,032
"State Senate District 33 (2018), Alabama",132948.0,,1571.0,,01,033
"State Senate District 34 (2018), Alabama",140703.0,,2372.0,,01,034
"State Senate District 35 (2018), Alabama",141008.0,,2534.0,,01,035
"State Senate District A (2018), Alaska",34853.0,,726.0,,02,00A
"State Senate District B (2018), Alaska",38260.0,,1607.0,,02,00B
"State Senate District C (2018), Alaska",34743.0,,1591.0,,02,00C
"State Senate District D (2018), Alaska",40428.0,,933.0,,02,00D
"State Senate District E (2018), Alaska",38916.0,,949.0,,02,00E
"State Senate District F (2018), Alaska",40984.0,,949.0,,02,00F
"State Senate District G (2018), Alaska",38780.0,,1350.0,,02,00G
"State Senate District H (2018), Alaska",35494.0,,1699.0,,02,00H
"State Senate District I (2018), Alaska",35039.0,,1227.0,,02,00I
"State Senate District J (2018), Alaska",34454.0,,1705.0,,02,00J
"State Senate District M (2018), Alaska",36857.0,,1180.0,,02,00M
"State Senate District K (2018), Alaska",35783.0,,1255.0,,02,00K
"State Senate District O (2018), Alaska",38015.0,,752.0,,02,00O
"State Senate District L (2018), Alaska",36354.0,,1445.0,,02,00L
"State Senate District N (2018), Alaska",35843.0,,1115.0,,02,00N
