NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,region
South Region,122289782.0,,-555555555.0,*****,3
West Region,76535420.0,,-555555555.0,*****,4
Northeast Region,56061199.0,,-555555555.0,*****,1
Midwest Region,68016629.0,,-555555555.0,*****,2
