NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,congressional district
"Congressional District 1 (116th Congress), Minnesota",672649.0,,322.0,,27,01
"Congressional District 2 (116th Congress), Minnesota",698522.0,,399.0,,27,02
"Congressional District 3 (116th Congress), Minnesota",710378.0,,517.0,,27,03
"Congressional District 4 (116th Congress), Minnesota",706259.0,,337.0,,27,04
"Congressional District 5 (116th Congress), Minnesota",707352.0,,449.0,,27,05
"Congressional District 6 (116th Congress), Minnesota",702583.0,,541.0,,27,06
"Congressional District 7 (116th Congress), Minnesota",664941.0,,540.0,,27,07
"Congressional District 8 (116th Congress), Minnesota",664674.0,,326.0,,27,08
"Congressional District 1 (116th Congress), Mississippi",760715.0,,674.0,,28,01
"Congressional District 2 (116th Congress), Mississippi",711716.0,,1621.0,,28,02
"Congressional District 3 (116th Congress), Mississippi",749199.0,,1712.0,,28,03
"Congressional District 4 (116th Congress), Mississippi",767132.0,,392.0,,28,04
"Congressional District 1 (116th Congress), Missouri",732537.0,,2349.0,,29,01
"Congressional District 2 (116th Congress), Missouri",763266.0,,2810.0,,29,02
"Congressional District 4 (116th Congress), Missouri",765070.0,,967.0,,29,04
"Congressional District 5 (116th Congress), Missouri",764511.0,,1789.0,,29,05
"Congressional District 7 (116th Congress), Missouri",773182.0,,545.0,,29,07
"Congressional District (at Large) (116th Congress), Montana",1041732.0,,-555555555.0,*****,30,00
"Congressional District 1 (116th Congress), Nebraska",641533.0,,867.0,,31,01
"Congressional District 3 (116th Congress), Nebraska",603432.0,,60.0,,31,03
"Congressional District 2 (116th Congress), Nevada",708357.0,,555.0,,32,02
"Congressional District 3 (116th Congress), Nevada",785285.0,,3691.0,,32,03
"Congressional District 1 (116th Congress), New Hampshire",677001.0,,173.0,,33,01
"Congressional District 1 (116th Congress), New Jersey",726200.0,,417.0,,34,01
"Congressional District 2 (116th Congress), New Jersey",719651.0,,793.0,,34,02
"Congressional District 4 (116th Congress), New Jersey",739922.0,,885.0,,34,04
"Congressional District 5 (116th Congress), New Jersey",737642.0,,910.0,,34,05
"Congressional District 7 (116th Congress), New Jersey",739893.0,,1182.0,,34,07
"Congressional District 9 (116th Congress), New Jersey",751755.0,,1112.0,,34,09
"Congressional District 10 (116th Congress), New Jersey",749828.0,,3414.0,,34,10
"Congressional District 12 (116th Congress), New Jersey",748549.0,,938.0,,34,12
"Congressional District 2 (116th Congress), New Mexico",700177.0,,1533.0,,35,02
"Congressional District 3 (116th Congress), New Mexico",696738.0,,1810.0,,35,03
"Congressional District 10 (116th Congress), New York",730760.0,,6212.0,,36,10
"Congressional District 12 (116th Congress), New York",719072.0,,5394.0,,36,12
"Congressional District 13 (116th Congress), New York",774528.0,,5833.0,,36,13
"Congressional District 15 (116th Congress), New York",744647.0,,4910.0,,36,15
"Congressional District 17 (116th Congress), New York",738481.0,,673.0,,36,17
"Congressional District 18 (116th Congress), New York",721629.0,,708.0,,36,18
"Congressional District 20 (116th Congress), New York",725925.0,,820.0,,36,20
"Congressional District 22 (116th Congress), New York",699564.0,,448.0,,36,22
"Congressional District 23 (116th Congress), New York",699965.0,,440.0,,36,23
"Congressional District 25 (116th Congress), New York",717362.0,,489.0,,36,25
"Congressional District 27 (116th Congress), New York",715792.0,,863.0,,36,27
"Congressional District 6 (116th Congress), New York",732433.0,,5840.0,,36,06
"Congressional District 1 (116th Congress), New York",717383.0,,950.0,,36,01
"Congressional District 3 (116th Congress), New York",727480.0,,3354.0,,36,03
"Congressional District 5 (116th Congress), New York",772342.0,,6185.0,,36,05
"Congressional District 8 (116th Congress), New York",771343.0,,5578.0,,36,08
"Congressional District 2 (116th Congress), North Carolina",822252.0,,3464.0,,37,02
"Congressional District 3 (116th Congress), North Carolina",754824.0,,1433.0,,37,03
"Congressional District 1 (116th Congress), Colorado",818722.0,,1147.0,,08,01
"Congressional District 2 (116th Congress), Colorado",796438.0,,1522.0,,08,02
"Congressional District 3 (116th Congress), Colorado",739107.0,,679.0,,08,03
"Congressional District 4 (116th Congress), Colorado",799390.0,,1197.0,,08,04
"Congressional District 5 (116th Congress), Colorado",786912.0,,552.0,,08,05
"Congressional District 6 (116th Congress), Colorado",805844.0,,1816.0,,08,06
"Congressional District 7 (116th Congress), Colorado",784728.0,,1855.0,,08,07
"Congressional District 1 (116th Congress), Connecticut",713076.0,,852.0,,09,01
"Congressional District 2 (116th Congress), Connecticut",705024.0,,233.0,,09,02
"Congressional District 3 (116th Congress), Connecticut",715728.0,,1238.0,,09,03
"Congressional District 4 (116th Congress), Connecticut",735915.0,,415.0,,09,04
"Congressional District 5 (116th Congress), Connecticut",711761.0,,1284.0,,09,05
"Congressional Districts not defined (116th Congress), Connecticut",0.0,,12.0,,09,ZZ
"Congressional District (at Large) (116th Congress), Delaware",949495.0,,-555555555.0,*****,10,00
"Delegate District (at Large) (116th Congress), District of Columbia",684498.0,,-555555555.0,*****,11,98
"Congressional District 1 (116th Congress), Florida",759701.0,,631.0,,12,01
"Congressional District 3 (116th Congress), Florida",728979.0,,2213.0,,12,03
"Congressional District 5 (116th Congress), Florida",729038.0,,4434.0,,12,05
"Congressional District 6 (116th Congress), Florida",753500.0,,2230.0,,12,06
"Congressional District 8 (116th Congress), Florida",742230.0,,1165.0,,12,08
"Congressional District 10 (116th Congress), Florida",808969.0,,5639.0,,12,10
"Congressional District 11 (116th Congress), Florida",754649.0,,3185.0,,12,11
"Congressional District 13 (116th Congress), Florida",723658.0,,1954.0,,12,13
"Congressional District 15 (116th Congress), Florida",777638.0,,5561.0,,12,15
"Congressional District 16 (116th Congress), Florida",804662.0,,3488.0,,12,16
"Congressional District 18 (116th Congress), Florida",757228.0,,3215.0,,12,18
"Congressional District 20 (116th Congress), Florida",778060.0,,4181.0,,12,20
"Congressional District 21 (116th Congress), Florida",762765.0,,3329.0,,12,21
"Congressional District 23 (116th Congress), Florida",756127.0,,2013.0,,12,23
"Congressional District 25 (116th Congress), Florida",763720.0,,3387.0,,12,25
