NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,new england city and town area
"Barre, VT Micropolitan NECTA",43155.0,,280.0,,71050
"Bennington, VT Micropolitan NECTA",22370.0,,64.0,,71350
"Berlin, NH Micropolitan NECTA",15981.0,,152.0,,71500
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",4937036.0,,380.0,,71650
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",921488.0,,77.0,,71950
"Athol, MA Micropolitan NECTA",20642.0,,148.0,,70450
"Augusta, ME Micropolitan NECTA",78031.0,,398.0,,70600
"Bangor, ME Metropolitan NECTA",133200.0,,500.0,,70750
"Barnstable Town, MA Metropolitan NECTA",237150.0,,228.0,,70900
"Brunswick, ME Micropolitan NECTA",63538.0,,296.0,,72250
"Concord, NH Micropolitan NECTA",85803.0,,271.0,,72700
"Burlington-South Burlington, VT Metropolitan NECTA",213083.0,,378.0,,72400
"Lebanon, NH-VT Micropolitan NECTA",84349.0,,570.0,,74350
"Claremont, NH Micropolitan NECTA",14436.0,,181.0,,72500
"Danbury, CT Metropolitan NECTA",195431.0,,130.0,,72850
"Leominster-Gardner, MA Metropolitan NECTA",149847.0,,189.0,,74500
"Lewiston-Auburn, ME Metropolitan NECTA",108158.0,,393.0,,74650
"Manchester, NH Metropolitan NECTA",204618.0,,68.0,,74950
"New Bedford, MA Metropolitan NECTA",162206.0,,62.0,,75550
"New Haven, CT Metropolitan NECTA",598758.0,,69.0,,75700
"Dover-Durham, NH-ME Metropolitan NECTA",149507.0,,43.0,,73050
"Greenfield Town, MA Micropolitan NECTA",37448.0,,274.0,,73300
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",1142103.0,,195.0,,73450
"Keene, NH Micropolitan NECTA",50255.0,,356.0,,73750
"Laconia, NH Micropolitan NECTA",23481.0,,27.0,,73900
"North Adams, MA-VT Micropolitan NECTA",24341.0,,191.0,,76150
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",281507.0,,43.0,,76450
"Pittsfield, MA Metropolitan NECTA",83784.0,,314.0,,76600
"Portland-South Portland, ME Metropolitan NECTA",365111.0,,299.0,,76750
"Portsmouth, NH-ME Metropolitan NECTA",126528.0,,257.0,,76900
"Springfield, MA-CT Metropolitan NECTA",736423.0,,382.0,,78100
"Torrington, CT Micropolitan NECTA",47053.0,,162.0,,78400
"Vineyard Haven, MA Micropolitan NECTA",17265.0,,24.0,,78500
"Waterbury, CT Metropolitan NECTA",215218.0,,128.0,,78700
"Waterville, ME Micropolitan NECTA",46202.0,,258.0,,78850
"Providence-Warwick, RI-MA Metropolitan NECTA",1304459.0,,165.0,,77200
"Rutland, VT Micropolitan NECTA",40964.0,,304.0,,77650
"Sanford, ME Micropolitan NECTA",23721.0,,35.0,,77950
"Worcester, MA-CT Metropolitan NECTA",659384.0,,331.0,,79600
