NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,combined new england city and town area
"Augusta-Waterville, ME Combined NECTA",124233.0,,386.0,,710
"Boston-Worcester-Providence, MA-RI-NH-CT-ME Combined NECTA",7887673.0,,545.0,,715
"Bridgeport-New Haven-Stamford, CT Combined NECTA",1930895.0,,118.0,,720
"Claremont-Lebanon, NH-VT Combined NECTA",98785.0,,577.0,,725
"Pittsfield-North Adams, MA-VT Combined NECTA",108125.0,,351.0,,770
"Portland-Lewiston-South Portland, ME Combined NECTA",560528.0,,542.0,,775
"Springfield-Hartford-West Hartford, MA-CT Combined NECTA",1963027.0,,432.0,,790
