NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,public use microdata area
"DeKalb & Jackson Counties PUMA, Alabama",123294.0,,-555555555.0,*****,01,00400
"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",152293.0,,-555555555.0,*****,01,00600
"Cullman & Winston Counties PUMA, Alabama",106188.0,,-555555555.0,*****,01,00700
"Etowah County PUMA, Alabama",102939.0,,-555555555.0,*****,01,00900
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",157308.0,,-555555555.0,*****,01,01000
"Calhoun County PUMA, Alabama",115098.0,,-555555555.0,*****,01,01100
"Shelby County PUMA, Alabama",211261.0,,-555555555.0,*****,01,01200
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",127878.0,,-555555555.0,*****,01,01700
"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",129247.0,,-555555555.0,*****,01,01800
"Lee County--Auburn City PUMA, Alabama",159287.0,,-555555555.0,*****,01,01900
"Southwest Alabama PUMA, Alabama",136268.0,,-555555555.0,*****,01,02200
"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",122529.0,,-555555555.0,*****,01,02300
"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",146804.0,,-555555555.0,*****,01,02400
"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",197222.0,,-555555555.0,*****,01,02500
"Baldwin County PUMA, Alabama",208107.0,,-555555555.0,*****,01,02600
"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",161684.0,,-555555555.0,*****,02,00200
"Navajo & Apache Counties PUMA, Arizona",180227.0,,-555555555.0,*****,04,00300
"Coconino County--Flagstaff City PUMA, Arizona",140217.0,,-555555555.0,*****,04,00400
"Yavapai County PUMA, Arizona",224645.0,,-555555555.0,*****,04,00500
"Mohave & La Paz Counties--Lake Havasu City PUMA, Arizona",226765.0,,-555555555.0,*****,04,00600
"Yuma County--Yuma City PUMA, Arizona",207829.0,,-555555555.0,*****,04,00700
"Cochise & Santa Cruz Counties--Sierra Vista City PUMA, Arizona",172863.0,,-555555555.0,*****,04,00900
"Benton County PUMA, Arkansas",258980.0,,-555555555.0,*****,05,00100
"Washington County PUMA, Arkansas",228529.0,,-555555555.0,*****,05,00200
"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA; Arkansas",154679.0,,-555555555.0,*****,05,00300
"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA; Arkansas",134365.0,,-555555555.0,*****,05,00400
"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA; Arkansas",103027.0,,-555555555.0,*****,05,00700
"White, Jackson, Prairie & Woodruff Counties PUMA; Arkansas",110933.0,,-555555555.0,*****,05,00800
"Faulkner & Lonoke Counties PUMA, Arkansas",194622.0,,-555555555.0,*****,05,01100
"Saline County PUMA, Arkansas",118009.0,,-555555555.0,*****,05,01200
"Pope, Johnson, Yell, Conway & Perry Counties PUMA; Arkansas",142736.0,,-555555555.0,*****,05,01300
"Sebastian & Crawford Counties PUMA, Arkansas",189933.0,,-555555555.0,*****,05,01400
"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA; Arkansas",100724.0,,-555555555.0,*****,05,01500
"Garland, Hot Spring, Clark & Montgomery Counties PUMA; Arkansas",163194.0,,-555555555.0,*****,05,01600
"South Central Arkansas PUMA, Arkansas",100364.0,,-555555555.0,*****,05,01900
"Southwest Arkansas PUMA, Arkansas",104357.0,,-555555555.0,*****,05,02000
"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",125596.0,,-555555555.0,*****,06,01100
"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",129786.0,,-555555555.0,*****,06,01500
"El Dorado County--El Dorado Hills PUMA, California",186661.0,,-555555555.0,*****,06,01700
"Humboldt County PUMA, California",135768.0,,-555555555.0,*****,06,02300
"Imperial County--El Centro City PUMA, California",180216.0,,-555555555.0,*****,06,02500
"Kings County--Hanford City PUMA, California",150075.0,,-555555555.0,*****,06,03100
"Lake & Mendocino Counties PUMA, California",151570.0,,-555555555.0,*****,06,03300
"Madera County--Madera City PUMA, California",155013.0,,-555555555.0,*****,06,03900
"Napa County--Napa City PUMA, California",140530.0,,-555555555.0,*****,06,05500
"Shasta County--Redding City PUMA, California",179085.0,,-555555555.0,*****,06,08900
"Sutter & Yuba Counties--Yuba City PUMA, California",171365.0,,-555555555.0,*****,06,10100
"Yolo County--Davis, Woodland & West Sacramento Cities PUMA; California",214977.0,,-555555555.0,*****,06,11300
"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA; Colorado",102937.0,,-555555555.0,*****,08,00200
"Litchfield County PUMA, Connecticut",183031.0,,-555555555.0,*****,09,00500
"Middlesex County PUMA, Connecticut",163368.0,,-555555555.0,*****,09,00700
"Kent County--Dover City PUMA, Delaware",174822.0,,-555555555.0,*****,10,00200
"Sussex County PUMA, Delaware",219540.0,,-555555555.0,*****,10,00300
"Walton, Washington, Holmes & Bay Counties PUMA; Florida",292336.0,,-555555555.0,*****,12,00500
"Charlotte County PUMA, Florida",176954.0,,-555555555.0,*****,12,01500
"Citrus County PUMA, Florida",143087.0,,-555555555.0,*****,12,01701
"Clay County PUMA, Florida",207291.0,,-555555555.0,*****,12,01900
"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA; Florida",185336.0,,-555555555.0,*****,12,02300
"Hernando County PUMA, Florida",182696.0,,-555555555.0,*****,12,05301
"Indian River County PUMA, Florida",150984.0,,-555555555.0,*****,12,06100
"Apalachee Region (Outside Leon County) PUMA, Florida",191071.0,,-555555555.0,*****,12,06300
"Nassau & Baker Counties PUMA, Florida",108363.0,,-555555555.0,*****,12,08900
"Okaloosa County PUMA, Florida",200737.0,,-555555555.0,*****,12,09100
"Santa Rosa County PUMA, Florida",170442.0,,-555555555.0,*****,12,11300
"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA; Florida",107509.0,,-555555555.0,*****,12,12100
"Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA, Georgia",150808.0,,-555555555.0,*****,13,00100
"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA; Georgia",116149.0,,-555555555.0,*****,13,00200
"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA; Georgia",147461.0,,-555555555.0,*****,13,00300
"Southern Georgia Regional Commission (East & Central) PUMA, Georgia",169864.0,,-555555555.0,*****,13,00500
"Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA, Georgia",114582.0,,-555555555.0,*****,13,00600
"Southern Georgia Regional Commission (West) PUMA, Georgia",126725.0,,-555555555.0,*****,13,00700
"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA; Georgia",110992.0,,-555555555.0,*****,13,00800
"Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA, Georgia",120397.0,,-555555555.0,*****,13,00900
"Southwest Georgia Regional Commission (West & Central) PUMA, Georgia",117288.0,,-555555555.0,*****,13,01100
"Heart of Georgia Altamaha Regional Commission (Southeast) PUMA, Georgia",159430.0,,-555555555.0,*****,13,01200
"Heart of Georgia Altamaha Regional Commission (North & West) PUMA, Georgia",139791.0,,-555555555.0,*****,13,01300
"Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA, Georgia",162977.0,,-555555555.0,*****,13,01500
"River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA, Georgia",207437.0,,-555555555.0,*****,13,01700
"Three Rivers Regional Commission (East) PUMA, Georgia",151280.0,,-555555555.0,*****,13,01900
"Three Rivers Regional Commission (North Central)--Coweta County PUMA, Georgia",140516.0,,-555555555.0,*****,13,02100
"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA; Georgia",102564.0,,-555555555.0,*****,13,02200
"Three Rivers Regional Commission (Northwest)--Carroll County PUMA, Georgia",116022.0,,-555555555.0,*****,13,02300
"Atlanta Regional Commission (South Central)--Fayette County PUMA, Georgia",111369.0,,-555555555.0,*****,13,02400
"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA; Georgia",167401.0,,-555555555.0,*****,13,02500
"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA; Georgia",176167.0,,-555555555.0,*****,13,02600
"Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA, Georgia",103849.0,,-555555555.0,*****,13,02700
"Northwest Georgia Regional Commission (Northeast) PUMA, Georgia",182026.0,,-555555555.0,*****,13,02800
"Northwest Georgia Regional Commission (East Central)--Bartow County PUMA, Georgia",103620.0,,-555555555.0,*****,13,02900
"Georgia Mountains Regional Commission (North & Northwest) PUMA, Georgia",135389.0,,-555555555.0,*****,13,03200
"Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA, Georgia",219880.0,,-555555555.0,*****,13,03300
"Georgia Mountains Regional Commission (South Central)--Hall County PUMA, Georgia",195961.0,,-555555555.0,*****,13,03400
"Georgia Mountains Regional Commission (Southeast) PUMA, Georgia",136620.0,,-555555555.0,*****,13,03500
"Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA, Georgia",124602.0,,-555555555.0,*****,13,03600
"Northeast Georgia Regional Commission (East) PUMA, Georgia",116889.0,,-555555555.0,*****,13,03700
"Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA, Georgia",142642.0,,-555555555.0,*****,13,03800
"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA; Georgia",122151.0,,-555555555.0,*****,13,03900
"Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA, Georgia",201463.0,,-555555555.0,*****,13,04000
