fips,state,hesitant,strongly_hesitant
25,Massachusetts,7.0,3.2
50,Vermont,7.3,3.5
09,Connecticut,10.0,3.9
15,Hawaii,10.2,4.3
11,District of Columbia,10.4,3.7
06,California,10.8,4.3
27,Minnesota,11.0,5.3
53,Washington,11.6,5.6
34,New Jersey,11.7,4.9
24,Maryland,12.1,3.4
23,Maine,12.3,7.8
36,New York,12.9,5.4
44,Rhode Island,13.0,3.4
10,Delaware,13.2,4.3
33,New Hampshire,14.1,6.5
49,Utah,14.2,5.8
35,New Mexico,14.6,8.4
51,Virginia,14.7,6.0
29,Missouri,15.0,6.2
17,Illinois,15.0,6.8
42,Pennsylvania,15.3,7.8
08,Colorado,15.4,5.8
41,Oregon,15.4,6.6
55,Wisconsin,16.3,9.6
48,Texas,16.7,7.6
04,Arizona,17.4,10.2
31,Nebraska,17.4,8.9
37,North Carolina,17.9,7.0
45,South Carolina,18.3,8.8
18,Indiana,18.5,7.8
32,Nevada,18.8,9.1
20,Kansas,19.0,7.9
21,Kentucky,19.2,8.8
26,Michigan,19.2,7.2
19,Iowa,19.5,10.3
12,Florida,19.8,9.1
54,West Virginia,20.0,10.3
02,Alaska,20.4,9.0
40,Oklahoma,20.7,10.6
05,Arkansas,21.2,12.6
39,Ohio,21.2,11.5
01,Alabama,21.5,10.3
46,South Dakota,21.6,8.4
13,Georgia,22.2,9.7
22,Louisiana,23.0,10.4
47,Tennessee,23.7,13.8
30,Montana,24.2,10.9
16,Idaho,25.2,11.7
28,Mississippi,27.3,11.9
38,North Dakota,28.5,18.6
56,Wyoming,30.7,16.6
