Beijing,Chengdu,Chongqing,Shanghai,Tianjin,Year
75.7,66.3,56.5,47.5,72.5,2008
85.2,70.3,56.2,50.2,77.6,2013
37.9,35.4,29.0,28.1,47.4,2020
