City,Year,Good,Moderate,Unhealthy For Sensitive Groups,Unhealthy,Very Unhealthy,Hazardous
Beijing,2014,15.0,73.0,93.0,106.0,50.0,25.0
Yanqing,2014,26.0,95.0,106.0,84.0,40.0,11.0
Zhangjiakou,2014,0.0,152.0,140.0,54.0,11.0,5.0
Beijing,2015,30.0,80.0,109.0,89.0,39.0,17.0
Yanqing,2015,65.0,103.0,85.0,76.0,29.0,5.0
Zhangjiakou,2015,1.0,117.0,172.0,71.0,3.0,0.0
Beijing,2016,46.0,85.0,100.0,92.0,34.0,7.0
Yanqing,2016,37.0,124.0,96.0,79.0,25.0,3.0
Zhangjiakou,2016,1.0,182.0,133.0,42.0,5.0,0.0
Beijing,2017,49.0,115.0,108.0,65.0,17.0,7.0
Yanqing,2017,37.0,136.0,98.0,68.0,12.0,1.0
Zhangjiakou,2017,0.0,195.0,122.0,37.0,4.0,1.0
Beijing,2018,71.0,94.0,117.0,65.0,18.0,0.0
Yanqing,2018,58.0,117.0,121.0,57.0,11.0,1.0
Zhangjiakou,2018,14.0,206.0,117.0,24.0,4.0,0.0
Beijing,2019,44.0,119.0,121.0,68.0,11.0,0.0
Yanqing,2019,65.0,157.0,101.0,33.0,6.0,0.0
Zhangjiakou,2019,23.0,237.0,85.0,17.0,1.0,0.0
Beijing,2020,63.0,135.0,110.0,49.0,8.0,0.0
Yanqing,2020,102.0,162.0,61.0,32.0,6.0,0.0
Zhangjiakou,2020,19.0,250.0,75.0,18.0,1.0,0.0
Beijing,2021,80.0,165.0,71.0,38.0,10.0,1.0
Yanqing,2021,128.0,145.0,57.0,29.0,6.0,0.0
Zhangjiakou,2021,30.0,229.0,70.0,26.0,5.0,5.0
Beijing,2022,16.0,12.0,14.0,5.0,1.0,0.0
Yanqing,2022,12.0,20.0,11.0,5.0,0.0,0.0
Zhangjiakou,2022,2.0,36.0,5.0,5.0,0.0,0.0
