,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,adjusted_ot_pct_change
0,ALAMEDA,CITY,799298.322305158,548972.9639581173,629675.9420880248,1239490.779932076,2301422.347772523,1347077.5719749844,1418582.4466383813,1997264.0,96.64982564537434
2,ALBANY,CITY,571783.9200227617,770968.9461658405,638363.907764094,604750.2068971345,649009.9463371825,0.0,794677.0280270886,924343.0,58.298298364568744
3,ALHAMBRA,CITY,2382130.101534195,2579707.342434908,2434377.6836368944,2541602.3862657137,2177396.0409295526,2963088.1284670862,3443505.524755223,3713556.0,52.385294633832245
6,ANAHEIM,CITY,6841895.758787931,7936825.834730004,10491034.381885925,10595718.125392843,11588616.072378768,12493617.144591618,13215857.091273675,11944361.0,48.15591714339694
7,ARCADIA,CITY,1299717.257616509,1232418.552915146,1307732.858295737,1468138.4175283862,1454869.9930595693,1245736.8813826267,1424506.6950921991,1970877.0,45.71501803715413
9,ATASCADERO,CITY,341362.584625165,516846.6147590965,726969.3006348812,626757.7090767772,684717.5551922434,755767.1293462276,757736.2707653395,635779.0,46.974518400182816
11,AUBURN,CITY,186117.39740107316,240827.3119724383,245201.12358074667,290154.72400902276,474719.22593738,476255.52471802896,457783.67323351826,291021.0,36.1543665908623
12,BAKERSFIELD,CITY,0.0,0.0,4711058.011139392,4354715.93146374,4777383.326592604,4857212.5013895435,4402389.648262072,4128469.0,94.80455361441471
14,BARSTOW,CITY,211899.12562516946,285813.38793261145,375022.61366689985,340446.9790864085,271052.153225296,703282.0657647483,820814.2016481722,688034.0,139.85580828255294
17,BENICIA,CITY,823581.9306211906,1051332.4260825631,796412.6630064776,911512.3851970128,1053341.6183607082,824302.6934839401,1070936.7294427222,865954.0,4.648545655213581
18,BERKELEY,CITY,2363543.144403594,3245533.421430875,2029463.509651996,2048307.852519261,2274117.214760967,3109025.1678117733,3641694.8387565287,3317569.0,46.57629244661771
19,BEVERLY HILLS,CITY,4271842.031826404,4397782.657173096,3803539.633237034,4852771.968838708,5275554.476029142,4094770.305649419,4050164.752337631,4319891.0,0.9901344732893854
21,BRAWLEY,CITY,129342.89495374303,140510.9437136859,148792.7302721103,149950.76998428628,286122.7898252024,382348.43079160183,0.0,368718.0,159.63579584909212
22,BREA,CITY,1181820.132720427,1601010.8266592333,1415946.536974635,1457034.960191944,1728005.0195049301,1475091.3256780012,1697979.9611292428,1727954.0,37.482550673158016
23,BURBANK,CITY,4210040.6784506,4733286.125556418,4539076.173474074,4773836.442657646,4566874.343781247,5284674.1277671065,5719379.890306789,4970396.0,15.927552832666839
25,CALEXICO,CITY,301537.37768017105,142009.35671350296,133312.84502719383,153430.94227324947,273369.16427935555,322295.85071685415,321203.2649926567,277588.0,-15.60922283688966
26,CALIFORNIA CITY,CITY,223664.16713864647,178020.48521738377,294013.2622501148,380976.5076329752,476716.28393322,457496.2864041465,342587.1076737924,391679.0,44.10110059153976
28,CARLSBAD,CITY,2014573.8615269028,1986629.8248647614,2544374.2277287217,2733523.121848812,2835490.7471151864,3135677.305949409,3175223.019035573,3298399.0,46.96595131065821
29,CATHEDRAL CITY,CITY,664402.7832212287,719280.6754793243,1196263.887266749,1134898.9272269532,1450855.7475708493,1279122.6758386216,1474158.5149192235,1806174.0,100.60554199029951
30,CERES,CITY,0.0,522584.16592332575,633360.2431650478,413541.2042021494,430231.9780311117,554386.2352348056,786749.0047201371,834439.0,201.7789259016872
31,CHICO,CITY,1587682.2494231765,1857215.5632159375,1619037.9748108024,1259271.862838774,1727623.6185083769,1558916.767602612,1625534.6901354436,1580322.0,-0.5844845454248712
33,CHULA VISTA,CITY,4233831.983577769,4623263.168166415,4501032.369432988,4709200.277228643,5457047.318580522,4765746.305566087,5727850.8587426515,6591876.0,50.07313084186633
34,CLOVIS,CITY,809090.8020618926,977819.3682282638,1038735.763218105,1150427.6447857532,1427372.0406553114,1405519.9753757184,1932947.1488536233,2214690.0,122.18058252588979
35,COALINGA,CITY,312429.44619207876,363074.55631680274,343945.35083727905,348658.5734171399,458938.75970500015,417839.27753357193,507362.75890176254,453753.0,40.53350887741969
36,COLTON,CITY,887893.9186268273,1185024.149150239,1396138.8375622975,1582006.133283489,2091740.793234241,1887957.7833729852,2051742.51863577,2038838.0,72.75218832333871
37,COMPTON,CITY,2512661.8919440378,1597744.5129343097,2136448.3693643045,2516281.2424430596,2810477.198424585,3055269.958367881,3239791.487960999,3033311.0,20.691212861025964
38,CONTRA COSTA,COUNTY,12962267.052107466,12147307.960626151,9530688.645445293,10534279.984788962,10521778.155976146,11293679.797910063,12153905.59150211,12375184.0,-5.5730724164839796
39,CORONA,CITY,4536211.076914185,4919190.0016986495,5473439.93415094,5838348.063294135,6245868.275781905,6018828.898727954,6864504.437279701,5576023.0,17.8100365345318
40,CORONADO,CITY,820276.4663531005,776503.0690958821,789851.4164717094,735826.7965370708,949247.7513764835,1045040.2338890117,1190211.5300179503,1367329.0,74.34528563262771
42,COSTA MESA,CITY,3924195.6044572103,3680755.0040724054,3938371.2553904806,4288577.808106921,4034504.238320457,4374154.267942184,3924850.9677341697,3122706.0,-18.688936993100906
43,CULVER CITY,CITY,2220911.412351793,2071380.6521076332,2020533.0139167309,1827902.951545181,2397303.379964306,2695812.401813281,3070831.061541286,3418752.0,65.53086347585555
44,DALY CITY,CITY,1590274.3764176066,1402351.1252733085,1322306.220074949,1418030.7250777234,1851422.144200627,2234202.2657130836,1718066.8820496085,1985839.0,27.895349274657793
45,DAVIS,CITY,711464.0656088985,1171628.5092990235,1093084.0547053746,1359491.4905591041,1646332.2338819583,1869087.642702088,1767225.9535615204,1911013.0,88.23511899274745
46,DINUBA,CITY,118894.0109451896,121131.67015688562,144592.1096468447,122307.74346107055,156246.21547399551,208247.4240084664,182146.82207898176,194453.0,61.777763955607725
47,DIXON,CITY,344420.2227981808,439692.62899291783,330927.4151710401,418969.89111922134,521987.5227768473,427258.6541392542,469298.2076656332,513385.0,40.328620453000255
48,DOWNEY,CITY,2824532.054921557,2366915.9409740674,2408217.8524963837,2811647.2088951413,2917120.0954024387,3166032.118063224,3408293.9965078337,3308649.0,17.21826776655526
50,EL CAJON,CITY,1863505.995238709,1679547.2494577384,1846964.490708586,1855917.2247313468,2262865.885362654,1748555.6131029516,1530143.32868391,1701731.0,-8.71671392899146
51,EL CENTRO,CITY,109328.14694205987,278686.837534953,391400.39908652665,401235.96838250215,493785.03797617904,550481.6352689714,446416.6559685051,903826.0,198.01261992058937
52,EL CERRITO,CITY,916125.9994576306,1311705.2540397397,1409183.721012891,900920.1875506894,1620548.4670677627,1560537.4067631362,1826092.4742085512,1728303.0,90.14971711871792
53,EL PASO DE ROBLES,CITY,151181.73233187664,111550.85654677387,234443.56806620967,259276.5479943904,262896.528582338,237288.147816522,424036.04798466054,464602.0,120.8826136002491
54,EL SEGUNDO,CITY,850079.2287864707,1228892.4635225656,1331513.7390333842,1609886.7576709925,2300388.3272929788,2062022.1714533328,2328204.0317313964,2460165.0,100.01236195909982
56,ENCINITAS,CITY,1330832.8285535183,1773134.080485552,2051628.6012397134,2000997.2384977357,2024572.899399621,1971339.6158695375,1905528.4198433424,2277579.0,47.31371704227133
57,ESCONDIDO,CITY,2775695.801852947,3106298.8258316857,3312811.856840532,3266029.7888407335,3541596.4226363515,3651329.323623895,4024250.9033167423,4293695.0,46.478424763108535
59,FAIRFIELD,CITY,271725.68457670737,1673300.034007857,1334972.7566331981,1535279.967579921,1862038.8647185655,1848404.353118867,1942019.4546303842,3236429.0,193.10506083763912
62,FOLSOM,CITY,1716485.9551700691,1937225.2001620254,1959241.895268225,2428564.141626115,2719563.9142129044,2699881.2628173344,2029668.2136586164,2275842.0,23.032376837096752
63,FOSTER CITY,CITY,715816.9635188207,909894.0246130126,1008362.3765158375,836553.4411285146,1181713.7776699562,1135510.4009966375,1387439.9335835506,1189055.0,56.56997069341786
64,FOUNTAIN VALLEY,CITY,1085212.6089917708,1476066.5176616113,1098632.0645483928,1166670.216642167,1277612.8204643547,1398584.3930677022,1751273.6110190928,1637226.0,47.315289542317934
65,FREMONT,CITY,4097692.848683422,4215340.342112601,5172190.652845805,4131488.495146494,6651661.984958881,6458075.469911293,5506977.707025131,6349354.0,54.49999809903232
66,FULLERTON,CITY,2160363.701790263,2255661.477177103,2407166.8889065357,3099474.7466798434,2848138.427939768,3516568.312370056,3238111.431335672,3101309.0,30.358217927656206
67,GARDEN GROVE,CITY,4031502.070957016,3940349.117498716,3673534.8982172664,3980610.2979629207,4927689.221545288,4140689.112696714,4861995.773164164,5066942.0,26.01208989417705
68,GILROY,CITY,535599.0774743374,590219.6789898691,422466.88280240557,577892.1018898688,605121.28610606,652582.9486306651,1058624.168113577,1153867.0,106.98674034543015
69,GLENDALE,CITY,6706375.07279752,5925668.689543281,7708290.83286615,8002421.232368546,7996473.4232270215,9552750.29122484,9264183.609746244,8807340.0,26.254115675695804
70,GRASS VALLEY,CITY,100759.16898803676,164758.27678859205,133731.07464038426,188736.49991974182,181738.63430471235,231701.18001974942,362886.08452186687,456505.0,188.48809380445243
72,HANFORD,CITY,213360.40651910077,180609.27355244473,245380.05686886428,227243.2645056097,254448.4965086893,256449.14561241967,309130.41906005226,240426.0,11.910405150965914
73,HAYWARD,CITY,2445766.707614064,3132550.911343501,3987999.372970119,3721164.4084549877,3889921.4772104938,4088630.9185648765,4773758.99431707,4420711.0,53.07328770259642
74,HEALDSBURG,CITY,129413.22398072368,193659.30414557876,160568.91203526832,215843.87054355905,192633.98943957605,162368.37440991306,250875.48000163183,175106.0,21.169364645013232
75,HEMET,CITY,1073668.6015630907,1181821.7950120652,1464728.494125525,1765138.9300021965,2136977.0703198505,2208433.161436958,2435600.6270806137,2187618.0,63.10831286438871
77,HOLLISTER,CITY,323221.04466544255,244518.55009277246,524259.4434251815,356587.72328669927,308108.43838205707,684878.5519922336,1156024.426542102,1608169.0,360.3455395186024
78,HUNTINGTON BEACH,CITY,5466784.667914413,5911579.643775536,6721221.517636304,5643064.893649467,6453916.16271828,6780981.283591723,7729359.684281168,6953713.0,26.34965856513418
79,IMPERIAL,COUNTY,259314.28581526544,403589.5859255905,386041.0237339937,404037.2896306434,589649.1190125603,541261.0459069945,657769.8282841055,728807.0,116.20034245203658
80,IMPERIAL BEACH,CITY,119407.52447552448,87944.43177957612,131964.37789806703,191775.41903217082,111056.55406574215,207782.88960738646,213999.26150048958,170650.0,26.72004357131894
81,KERN,COUNTY,18534558.656498026,19734464.722192228,21073932.68272687,24155935.257159855,24771017.915786643,26478248.47308203,26559678.15403477,26234012.0,31.87396083627043
