,Year,Overtime,BaseWages,naWages,naOvertime,OT_Share_Wages
0,2011,823273862.923315,3293424651.4541335,3687695074.7113986,737480036.2080998,19.99840066130781
1,2012,934736352.9253167,3252744117.6996903,3828727957.2958,854655020.4236978,22.322166263996824
2,2013,1002724812.5670274,3192956184.949463,3892417408.2699986,930247918.8600035,23.898976427439628
3,2014,1074832337.0219927,3125091665.700507,3959559903.5810003,1013319055.7699996,25.59170919105329
4,2015,1199574435.6932957,3344795810.6256027,4289378642.0599985,1132264469.0299983,26.396934463361383
5,2016,1247706815.1332526,3446411656.9563913,4486618422.15,1192552854.2799997,26.580215700815607
6,2017,1331053053.0313447,3496694637.2909384,4712642474.530002,1299317519.4599998,27.570890991249712
7,2018,1365359789.7400088,3544963370.070005,4910323159.810001,1365359789.7400088,27.805904933410524
