,Year,Place,Compensation,Total
16,2011,LOS_ANGELES_CITY,BaseWages,396306323.1464846
18,2012,LOS_ANGELES_CITY,BaseWages,377794902.2361439
20,2013,LOS_ANGELES_CITY,BaseWages,372589008.84571797
22,2014,LOS_ANGELES_CITY,BaseWages,333382422.3880759
24,2015,LOS_ANGELES_CITY,BaseWages,375669446.4616123
26,2016,LOS_ANGELES_CITY,BaseWages,377712120.0916566
28,2017,LOS_ANGELES_CITY,BaseWages,398616488.0137401
30,2018,LOS_ANGELES_CITY,BaseWages,399477016.0
0,2011,LOS_ANGELES_CITY,Overtime,106442380.63131326
2,2012,LOS_ANGELES_CITY,Overtime,122766642.56165208
4,2013,LOS_ANGELES_CITY,Overtime,150689735.72045517
6,2014,LOS_ANGELES_CITY,Overtime,170170046.9950158
8,2015,LOS_ANGELES_CITY,Overtime,194577723.3383092
10,2016,LOS_ANGELES_CITY,Overtime,193805687.69056734
12,2017,LOS_ANGELES_CITY,Overtime,200297491.0561808
14,2018,LOS_ANGELES_CITY,Overtime,194037539.0
17,2011,LOS_ANGELES_COUNTY,BaseWages,333596587.37664616
19,2012,LOS_ANGELES_COUNTY,BaseWages,326398576.22078955
21,2013,LOS_ANGELES_COUNTY,BaseWages,314698565.8438969
23,2014,LOS_ANGELES_COUNTY,BaseWages,315352550.29729253
25,2015,LOS_ANGELES_COUNTY,BaseWages,321072365.25906134
27,2016,LOS_ANGELES_COUNTY,BaseWages,329963871.94804287
29,2017,LOS_ANGELES_COUNTY,BaseWages,339735001.5452224
31,2018,LOS_ANGELES_COUNTY,BaseWages,344652666.0
1,2011,LOS_ANGELES_COUNTY,Overtime,140710602.02412236
3,2012,LOS_ANGELES_COUNTY,Overtime,145227978.5482105
5,2013,LOS_ANGELES_COUNTY,Overtime,160052891.06847662
7,2014,LOS_ANGELES_COUNTY,Overtime,163583497.95355612
9,2015,LOS_ANGELES_COUNTY,Overtime,176467773.1798355
11,2016,LOS_ANGELES_COUNTY,Overtime,198321126.3301037
13,2017,LOS_ANGELES_COUNTY,Overtime,204008622.4303768
15,2018,LOS_ANGELES_COUNTY,Overtime,201800387.0
