,employerfull,type,employercounty,year,adjusted_overtime,adjusted_wages,adjusted_basewages,overtime,wages,ot_share_wages
0,ALAMEDA_CITY,CITY,ALAMEDA,2011,788908.6039859692,13773498.982324097,12984590.378338125,706696.0,12338155.0,5.73
1,ALAMEDA_CITY,CITY,ALAMEDA,2012,547407.8789950956,12792107.653588515,12244699.774593413,500510.0,11696174.0,4.28
2,ALAMEDA_CITY,CITY,ALAMEDA,2013,626922.9564383127,13579293.585429933,12952370.628991619,581609.0,12597783.0,4.62
3,ALAMEDA_CITY,CITY,ALAMEDA,2014,1236749.918854758,14282028.836425386,13045278.917570628,1165970.0,13464660.0,8.66
4,ALAMEDA_CITY,CITY,ALAMEDA,2015,2300568.433319129,15568764.312007165,13268195.878688022,2171480.0,14695177.0,14.78
5,ALAMEDA_CITY,CITY,ALAMEDA,2016,1345679.78377714,14999543.786222896,13653864.002445754,1286195.0,14336500.0,8.97
6,ALAMEDA_CITY,CITY,ALAMEDA,2017,1417794.6639890666,15579877.061867649,14162082.397878587,1383991.0,15208415.0,9.1
7,ALAMEDA_CITY,CITY,ALAMEDA,2018,1996646.0,16152459.0,14155813.0,1996646.0,16152459.0,12.36
8,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2011,0.0,286.8977767305803,286.8977767305803,0.0,257.0,0.0
9,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2012,0.0,25215.257737571537,25215.257737571537,0.0,23055.0,0.0
10,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2015,13956108.72667362,56491046.50902257,42534937.78234893,13173010.0,53321247.0,24.7
11,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2016,15865394.059889918,59675996.47402371,43810602.41413375,15164076.0,57038063.0,26.59
12,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2017,3441105.2975155027,13097438.709807437,9656333.412291935,3359061.0,12785164.0,26.27
13,ALAMEDA_COUNTY,COUNTY,ALAMEDA,2018,16881483.0,59578434.0,42696951.0,16881483.0,59578434.0,28.33
14,ALBANY_CITY,CITY,ALAMEDA,2011,571783.9200227617,3240704.630246422,2668920.7102236603,512198.0,2902989.0,17.64
