,Year,Compensation,Total
0,2011,Overtime,823273862.923315
1,2012,Overtime,934736352.9253167
2,2013,Overtime,1002724812.5670274
3,2014,Overtime,1074832337.0219927
4,2015,Overtime,1199574435.6932957
5,2016,Overtime,1247706815.1332526
6,2017,Overtime,1331053053.0313447
7,2018,Overtime,1365359789.7400088
8,2011,BaseWages,3293424651.4541335
9,2012,BaseWages,3252744117.6996903
10,2013,BaseWages,3192956184.949463
11,2014,BaseWages,3125091665.700507
12,2015,BaseWages,3344795810.6256027
13,2016,BaseWages,3446411656.9563913
14,2017,BaseWages,3496694637.2909384
15,2018,BaseWages,3544963370.070005
