,type,2011,2014,2018,increase_adjusted_pct
0,CITY,22089.566087202234,30267.533034093143,34367.187883394174,55
1,COUNTY,31006.36686507199,36098.8554737981,42986.14232157734,38
2,SPECIAL DISTRICT,15197.021711363648,17655.475341859095,22462.203429923124,47
3,STATE DEPARTMENT,9372.032610508428,16817.365618570188,22065.986272574577,135
