,index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,employer_full,fire,adjusted_overtime
7385112,7385112,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,DEPUTY FIRE CHIEF,66939.0,280683.0,159991.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,66939.0
7385113,7385113,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,70134.0,236034.0,123743.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,70134.0
7385114,7385114,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,129826.0,304315.0,119392.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,129826.0
7385115,7385115,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,67490.0,208411.0,109129.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,67490.0
7385116,7385116,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,105649.0,253832.0,105253.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,105649.0
7385117,7385117,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,67357.0,185209.0,117034.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,67357.0
7385118,7385118,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,2715.0,25268.0,10025.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,2715.0
7385119,7385119,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,65774.0,200744.0,90602.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,65774.0
7385120,7385120,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,44393.0,178754.0,90987.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,44392.99999999999
7385121,7385121,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,90961.0,225922.0,90207.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,90961.0
