"注册地编码"	,"注册地名称"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"商品编码"	,"商品名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"02074500	"	,"冻的鸭块及杂碎	"	,"864000	"	,"千克	"	,"0	"	,"?	"	,"1,113,600	"	,
"65	"	,"新疆维吾尔自治区	"	,"116	"	,"日本	"	,"03038990	"	,"未列名冻鱼	"	,"163180	"	,"千克	"	,"0	"	,"?	"	,"453,681	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"04021000	"	,"粉状、粒状或其他固状乳及奶油,含脂量≤1.5％	"	,"3120	"	,"千克	"	,"0	"	,"?	"	,"81,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"04022100	"	,"粉状、粒状或其他固状乳及奶油,含脂量＞1.5％,未加糖或其他甜物质	"	,"3902	"	,"千克	"	,"0	"	,"?	"	,"90,549	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"04022900	"	,"粉状、粒状或其他固状乳及奶油,含脂量＞1.5％,加糖或其他甜物质	"	,"50	"	,"千克	"	,"0	"	,"?	"	,"2,197	"	,
"65	"	,"新疆维吾尔自治区	"	,"110	"	,"中国香港	"	,"05029011	"	,"制刷用山羊毛	"	,"1980	"	,"千克	"	,"0	"	,"?	"	,"198,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"116	"	,"日本	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"39440	"	,"千克	"	,"0	"	,"?	"	,"1,025,325	"	,
"65	"	,"新疆维吾尔自治区	"	,"315	"	,"奥地利	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"119220	"	,"千克	"	,"0	"	,"?	"	,"4,441,119	"	,
"65	"	,"新疆维吾尔自治区	"	,"331	"	,"瑞士	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"68860	"	,"千克	"	,"0	"	,"?	"	,"1,782,853	"	,
"65	"	,"新疆维吾尔自治区	"	,"136	"	,"泰国	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"1020	"	,"千克	"	,"0	"	,"?	"	,"33,633	"	,
"65	"	,"新疆维吾尔自治区	"	,"141	"	,"越南	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"22240	"	,"千克	"	,"0	"	,"?	"	,"294,013	"	,
"65	"	,"新疆维吾尔自治区	"	,"143	"	,"中国台湾	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"2550	"	,"千克	"	,"0	"	,"?	"	,"35,190	"	,
"65	"	,"新疆维吾尔自治区	"	,"147	"	,"塔吉克斯坦	"	,"05119930	"	,"蚕种	"	,"537	"	,"千克	"	,"0	"	,"?	"	,"220,150	"	,
"65	"	,"新疆维吾尔自治区	"	,"149	"	,"乌兹别克斯坦	"	,"06022010	"	,"食用水果或坚果种用苗木	"	,"2800	"	,"株	"	,"5800	"	,"千克	"	,"42,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07019000	"	,"鲜或冷藏的马铃薯,种用除外	"	,"14600	"	,"千克	"	,"0	"	,"?	"	,"8,760	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07020000	"	,"鲜或冷藏的番茄	"	,"835822	"	,"千克	"	,"0	"	,"?	"	,"683,078	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07020000	"	,"鲜或冷藏的番茄	"	,"86801	"	,"千克	"	,"0	"	,"?	"	,"73,121	"	,
"65	"	,"新疆维吾尔自治区	"	,"149	"	,"乌兹别克斯坦	"	,"07020000	"	,"鲜或冷藏的番茄	"	,"146370	"	,"千克	"	,"0	"	,"?	"	,"122,927	"	,
"65	"	,"新疆维吾尔自治区	"	,"344	"	,"俄罗斯联邦	"	,"07020000	"	,"鲜或冷藏的番茄	"	,"146170	"	,"千克	"	,"0	"	,"?	"	,"138,648	"	,
"65	"	,"新疆维吾尔自治区	"	,"141	"	,"越南	"	,"07031010	"	,"鲜或冷藏的洋葱	"	,"198920	"	,"千克	"	,"0	"	,"?	"	,"117,128	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07031020	"	,"鲜或冷藏的青葱	"	,"302	"	,"千克	"	,"0	"	,"?	"	,"242	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07032010	"	,"鲜或冷藏的蒜头	"	,"2713849	"	,"千克	"	,"0	"	,"?	"	,"2,490,827	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07032010	"	,"鲜或冷藏的蒜头	"	,"3493384	"	,"千克	"	,"0	"	,"?	"	,"3,206,533	"	,
"65	"	,"新疆维吾尔自治区	"	,"147	"	,"塔吉克斯坦	"	,"07032010	"	,"鲜或冷藏的蒜头	"	,"474800	"	,"千克	"	,"0	"	,"?	"	,"706,900	"	,
"65	"	,"新疆维吾尔自治区	"	,"149	"	,"乌兹别克斯坦	"	,"07032010	"	,"鲜或冷藏的蒜头	"	,"1920858	"	,"千克	"	,"0	"	,"?	"	,"1,582,968	"	,
"65	"	,"新疆维吾尔自治区	"	,"344	"	,"俄罗斯联邦	"	,"07032010	"	,"鲜或冷藏的蒜头	"	,"776708	"	,"千克	"	,"0	"	,"?	"	,"631,851	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07032020	"	,"鲜或冷藏的蒜苔及蒜苗（青蒜）	"	,"2333	"	,"千克	"	,"0	"	,"?	"	,"2,192	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07039010	"	,"鲜或冷藏的韭葱	"	,"357	"	,"千克	"	,"0	"	,"?	"	,"206	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07039020	"	,"鲜或冷藏的大葱	"	,"690	"	,"千克	"	,"0	"	,"?	"	,"401	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07039020	"	,"鲜或冷藏的大葱	"	,"200	"	,"千克	"	,"0	"	,"?	"	,"142	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07039090	"	,"鲜或冷藏的其他葱属蔬菜	"	,"13516	"	,"千克	"	,"0	"	,"?	"	,"8,493	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07039090	"	,"鲜或冷藏的其他葱属蔬菜	"	,"35540	"	,"千克	"	,"0	"	,"?	"	,"27,878	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07041000	"	,"鲜或冷藏的菜花及硬花甘蓝	"	,"27678	"	,"千克	"	,"0	"	,"?	"	,"16,099	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07041000	"	,"鲜或冷藏的菜花及硬花甘蓝	"	,"610	"	,"千克	"	,"0	"	,"?	"	,"354	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07049010	"	,"鲜或冷藏的卷心菜	"	,"714	"	,"千克	"	,"0	"	,"?	"	,"414	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07049010	"	,"鲜或冷藏的卷心菜	"	,"7880	"	,"千克	"	,"0	"	,"?	"	,"4,728	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07049020	"	,"其他鲜或冷藏的西兰花	"	,"121381	"	,"千克	"	,"0	"	,"?	"	,"80,042	"	,
"65	"	,"新疆维吾尔自治区	"	,"146	"	,"吉尔吉斯斯坦	"	,"07049020	"	,"其他鲜或冷藏的西兰花	"	,"30414	"	,"千克	"	,"0	"	,"?	"	,"28,548	"	,
"65	"	,"新疆维吾尔自治区	"	,"149	"	,"乌兹别克斯坦	"	,"07049020	"	,"其他鲜或冷藏的西兰花	"	,"3978	"	,"千克	"	,"0	"	,"?	"	,"2,308	"	,
"65	"	,"新疆维吾尔自治区	"	,"344	"	,"俄罗斯联邦	"	,"07049020	"	,"其他鲜或冷藏的西兰花	"	,"51048	"	,"千克	"	,"0	"	,"?	"	,"35,808	"	,
"65	"	,"新疆维吾尔自治区	"	,"145	"	,"哈萨克斯坦	"	,"07049090	"	,"未列名鲜或冷藏的食用芥菜类蔬菜	"	,"41743	"	,"千克	"	,"0	"	,"?	"	,"24,349	"	,
