"注册地编码"	,"注册地名称"	,"商品编码"	,"商品名称"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"65	"	,"新疆维吾尔自治区	"	,"02071419	"	,"其他冻鸡块	"	,"147	"	,"塔吉克斯坦	"	,"25008	"	,"千克	"	,"0	"	,"?	"	,"40,013	"	,
"65	"	,"新疆维吾尔自治区	"	,"02074500	"	,"冻的鸭块及杂碎	"	,"146	"	,"吉尔吉斯斯坦	"	,"100000	"	,"千克	"	,"0	"	,"?	"	,"106,250	"	,
"65	"	,"新疆维吾尔自治区	"	,"02074500	"	,"冻的鸭块及杂碎	"	,"147	"	,"塔吉克斯坦	"	,"2727000	"	,"千克	"	,"0	"	,"?	"	,"3,097,111	"	,
"65	"	,"新疆维吾尔自治区	"	,"03011100	"	,"淡水观赏鱼	"	,"145	"	,"哈萨克斯坦	"	,"1196	"	,"千克	"	,"0	"	,"?	"	,"17,452	"	,
"65	"	,"新疆维吾尔自治区	"	,"03038990	"	,"未列名冻鱼	"	,"116	"	,"日本	"	,"68660	"	,"千克	"	,"0	"	,"?	"	,"196,814	"	,
"65	"	,"新疆维吾尔自治区	"	,"04090000	"	,"天然蜂蜜	"	,"312	"	,"西班牙	"	,"162400	"	,"千克	"	,"0	"	,"?	"	,"470,960	"	,
"65	"	,"新疆维吾尔自治区	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"110	"	,"中国香港	"	,"84000	"	,"千克	"	,"0	"	,"?	"	,"6,610,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"116	"	,"日本	"	,"57100	"	,"千克	"	,"0	"	,"?	"	,"1,777,168	"	,
"65	"	,"新疆维吾尔自治区	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"304	"	,"德国	"	,"37383	"	,"千克	"	,"0	"	,"?	"	,"893,368	"	,
"65	"	,"新疆维吾尔自治区	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"315	"	,"奥地利	"	,"98998	"	,"千克	"	,"0	"	,"?	"	,"4,218,268	"	,
"65	"	,"新疆维吾尔自治区	"	,"05040012	"	,"盐渍绵羊肠衣	"	,"331	"	,"瑞士	"	,"103620	"	,"千克	"	,"0	"	,"?	"	,"2,340,355	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"103	"	,"孟加拉国	"	,"544	"	,"千克	"	,"0	"	,"?	"	,"24,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"132	"	,"新加坡	"	,"5691	"	,"千克	"	,"0	"	,"?	"	,"184,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"136	"	,"泰国	"	,"44534	"	,"千克	"	,"0	"	,"?	"	,"904,131	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"143	"	,"中国台湾	"	,"10644	"	,"千克	"	,"0	"	,"?	"	,"225,569	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119190	"	,"未列名甲壳动物、软体动物及其他水生无脊椎动物的产品；第3章的死动物	"	,"352	"	,"捷克	"	,"357	"	,"千克	"	,"0	"	,"?	"	,"4,284	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119930	"	,"蚕种	"	,"101	"	,"阿富汗	"	,"37	"	,"千克	"	,"0	"	,"?	"	,"13,126	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119930	"	,"蚕种	"	,"147	"	,"塔吉克斯坦	"	,"360	"	,"千克	"	,"0	"	,"?	"	,"126,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"05119930	"	,"蚕种	"	,"148	"	,"土库曼斯坦	"	,"1170	"	,"千克	"	,"0	"	,"?	"	,"660,966	"	,
"65	"	,"新疆维吾尔自治区	"	,"06022010	"	,"食用水果或坚果种用苗木	"	,"145	"	,"哈萨克斯坦	"	,"2000	"	,"株	"	,"550	"	,"千克	"	,"2,000	"	,
"65	"	,"新疆维吾尔自治区	"	,"06022010	"	,"食用水果或坚果种用苗木	"	,"149	"	,"乌兹别克斯坦	"	,"23010	"	,"株	"	,"8500	"	,"千克	"	,"11,505	"	,
"65	"	,"新疆维吾尔自治区	"	,"06029091	"	,"其他种用苗木	"	,"145	"	,"哈萨克斯坦	"	,"15601	"	,"株	"	,"560	"	,"千克	"	,"82,486	"	,
"65	"	,"新疆维吾尔自治区	"	,"06029099	"	,"未列名活植物	"	,"145	"	,"哈萨克斯坦	"	,"3850	"	,"株	"	,"4975	"	,"千克	"	,"11,605	"	,
"65	"	,"新疆维吾尔自治区	"	,"06031100	"	,"鲜的制花束或装饰用的玫瑰插花及花蕾	"	,"145	"	,"哈萨克斯坦	"	,"25169	"	,"千克	"	,"334830	"	,"枝	"	,"311,710	"	,
