timestamp,user,userid,size,comment
2024-04-11 16:07:18+00:00,Sxg169,17785549,129424,/* Filmography */
2024-04-11 16:05:36+00:00,Staraction,39934507,129414,/* Television */ resolved one cn tag
2024-04-11 16:04:33+00:00,Sxg169,17785549,129084,/* Filmography */
2024-04-11 16:04:16+00:00,Sxg169,17785549,129080,/* Filmography */ no longer BLP
2024-04-11 16:00:30+00:00,Eejit43,41959821,129084,cleanup
2024-04-11 15:50:57+00:00,Beemer69,4819485,129162,/* Illness and death */ first name not necessary
2024-04-11 15:50:09+00:00,Y2kcrazyjoker4,1835211,129167,"Copyedit, rm repeat wikilink"
2024-04-11 15:47:51+00:00,Harizotoh9,15428987,129249,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5
2024-04-11 15:46:27+00:00,JasonAQuest,5865511,129047,avoid repetition
2024-04-11 15:39:37+00:00,Staraction,39934507,129040,/* Las Vegas robbery */ resolved one cn tag
2024-04-11 15:36:30+00:00,Muboshgu,602857,128709,fixed [[MOS:DASH|dashes]] using [[User:Ohconfucius/dashes.js]]
2024-04-11 15:36:21+00:00,MhcL947,37665772,128703,/* Illness and death */
2024-04-11 15:34:29+00:00,Muboshgu,602857,128689,[[Wikipedia:MOSNUMscript|script]]-assisted date audit and style fixes per [[MOS:NUM]]
2024-04-11 15:34:05+00:00,Muboshgu,602857,128632,/* Early life */
2024-04-11 15:33:08+00:00,GoingBatty,11555324,128629,/* Criminal trial for murder */ copyediting
2024-04-11 15:30:45+00:00,Cjfullz07,43952830,128634,Copy edit (deleted extra space in ‘U.S.’ in Personal Information section)
2024-04-11 15:30:30+00:00,Citation bot,7903804,128635,Altered title. Added newspaper. Removed parameters. Some additions/deletions were parameter name changes. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar
2024-04-11 15:29:05+00:00,Susmuffin,33959159,128632,Rescuing 17 sources and tagging 0 as dead.) #IABot (v2.0.9.5
2024-04-11 15:28:14+00:00,Zotdragon,1062210,125211,/* Illness and death */
2024-04-11 15:27:03+00:00,Kierxn,39713457,125198,Per [[MOS:INITS]]
2024-04-11 15:26:11+00:00,HelenDegenerate,41450519,125259,/* Illness and death */ c/e (removed the word ‘his’ because it didn’t make sense here)
2024-04-11 15:24:43+00:00,Fixerupperforwiki,47234050,125263,/* Illness and death */
2024-04-11 15:22:56+00:00,Fixerupperforwiki,47234050,125260,/* Illness and death */
2024-04-11 15:22:19+00:00,Death Editor 2,45716531,124913,/* External links */
2024-04-11 15:21:17+00:00,Staraction,39934507,124913,/* NFL records */ resolved one cn tag
2024-04-11 15:21:07+00:00,Martin4647,2767160,124550,cat
2024-04-11 15:20:32+00:00,Ad Orientem,13259281,124488,/* Television */ cn
2024-04-11 15:19:10+00:00,Ad Orientem,13259281,124464,/* Films */ c/e unsourced and not relevant
2024-04-11 15:18:50+00:00,Staraction,39934507,124517,/* NFL records */ resolved one cn tag
2024-04-11 15:17:34+00:00,Ad Orientem,13259281,124490,/* Las Vegas robbery */ cn
2024-04-11 15:17:23+00:00,Staraction,39934507,124478,/* Buffalo Bills */ resolved one cn tag
2024-04-11 15:17:18+00:00,Cjfullz07,43952830,124157,Copy edit (deleted ‘just’ in the nicknames line of intro paragraph)
2024-04-11 15:16:42+00:00,Ad Orientem,13259281,124162,/* Other legal troubles */ cn
2024-04-11 15:16:22+00:00,WizardGamer775,47225996,124156,Changed short description
2024-04-11 15:15:37+00:00,Ad Orientem,13259281,124149,/* Criminal trial for murder */ cn
2024-04-11 15:15:32+00:00,Rockchalk717,14406190,124143,"Remove person infobox, it's not necessary"
2024-04-11 15:14:40+00:00,Ad Orientem,13259281,124722,/* NFL records */ cn
2024-04-11 15:14:26+00:00,Staraction,39934507,124710,/* Early life */ resolved one cn tag
2024-04-11 15:14:06+00:00,Ad Orientem,13259281,124348,/* Career summary */ cn
2024-04-11 15:13:58+00:00,Wow,29534843,124342,/* Endorsements */ bloat
2024-04-11 15:13:35+00:00,Ad Orientem,13259281,124408,/* Buffalo Bills */ cn
2024-04-11 15:08:55+00:00,Amyipdev,44618522,124402,"add that just ""O. J."" is another common name"
2024-04-11 15:01:18+00:00,Zade Scrivner,43162658,124382,"/* Personal life */ ""Illness and death"" section."
2024-04-11 14:59:07+00:00,Staraction,39934507,124425,wl & capitalization in infobox
2024-04-11 14:58:19+00:00,1995hoo,1884316,124421,"/* Personal life */ violations of [[MOS:DATECOMMA]] (you must use a comma after the year) and [[MOS:EUPHEMISM]] (people don't ""pass away""—they die)."
2024-04-11 14:58:12+00:00,Staraction,39934507,124427,wrong spot
2024-04-11 14:57:46+00:00,Staraction,39934507,124426,update lede with death
2024-04-11 14:56:03+00:00,Myrmecophilioma,47374287,124045,
2024-04-11 14:55:05+00:00,Significa liberdade,40065947,124036,/* Early life */ tense and {{cn}}
2024-04-11 14:54:19+00:00,Myrmecophilioma,47374287,124020,is to was
2024-04-11 14:54:16+00:00,Pabst blue ribbon led zeppelin,38129779,124006,
2024-04-11 14:53:50+00:00,Italy & San Marino Friend,47648508,123992,"/* External links */I updated a category. No ""Living people"", ""2024 deaths"" instead."
2024-04-11 14:53:27+00:00,Nextrava,42565231,123994,
2024-04-11 14:52:50+00:00,Ryan Watern1,47287828,123983,Added cause of death
2024-04-11 14:51:31+00:00,Whoisjohngalt,272397,123953,/* Frogmen */ Copy edit
2024-04-11 14:48:26+00:00,Whoisjohngalt,272397,123966,/* Buffalo Bills */ Copy Edit
2024-04-11 14:45:42+00:00,Spinixster,40427714,124028,/* Personal life */ use this reliable source for now
2024-04-11 14:45:31+00:00,HapHaxion,13501746,123730,
2024-04-11 14:44:25+00:00,HapHaxion,13501746,123703,
2024-04-11 14:42:47+00:00,Howardcorn33,39540191,123708,updated for death
2024-04-11 14:41:06+00:00,DBlack2025,45241910,123706,Death notice
2024-04-11 14:38:14+00:00,MuteebKhann2003,40938145,123672,
2024-04-11 14:38:03+00:00,Sontails1234,31865060,123680,/* Personal life */
2024-04-11 14:37:25+00:00,MuteebKhann2003,40938145,123546,
2024-04-11 14:32:38+00:00,Sontails1234,31865060,123415,/* top */he died
2024-04-09 02:48:58+00:00,Jevansen,2842084,123402,Moving from [[Category:People acquitted of murder]] to [[Category:American people acquitted of murder]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2024-04-06 20:20:41+00:00,Tpd13,47586087,123393,"Updating NFL, PFR, and HOF to reference Wikidata"
2024-04-02 13:09:40+00:00,Thiqq,41247973,123403,/* Early life */Fixed reference
2024-03-20 15:00:12+00:00,Parkwells,5326371,123402,/* Early life */ Copy edit
2024-03-14 10:51:09+00:00,Bagumba,8005368,123360,[[WP:POSTMOVE]]: NFL Draft -> NFL draft (via [[WP:JWB]])
2024-03-09 17:37:57+00:00,Ugggsw,45227015,123360,
2024-03-05 02:47:32+00:00,IcicleTower,42845487,123360,/* Personal life */
2024-03-04 04:24:24+00:00,RobbieLobdell,47167813,122968,https://www.sports-reference.com/cfb/awards/camp-poy.html
2024-03-02 07:20:45+00:00,Chowbok,54304,122958,Undid revision 1211299504 by [[Special:Contributions/Tbrewst|Tbrewst]] ([[User talk:Tbrewst|talk]]) We already have his mug shot lower in the article.
2024-03-01 21:16:31+00:00,Tbrewst,38690632,123020,
2024-02-10 02:28:45+00:00,JJMC89 bot III,35936988,122958,Moving [[:Category:National Football League first-overall draft picks]] to [[:Category:National Football League first overall draft picks]] per [[Wikipedia:Categories for discussion/Speedy]]
2024-02-05 23:28:38+00:00,AlmeidaBenevides,41048296,122958,
2024-02-05 23:07:32+00:00,AlmeidaBenevides,41048296,122958,/* Personal life */Added the location of the nightclub she was working at the time.
2024-02-01 18:07:40+00:00,GreenC bot,27823944,122940,Reformat 1 URL ([[en:User:GreenC/WaybackMedic_2.5|Wayback Medic 2.5]])
2024-01-30 23:39:12+00:00,AlmeidaBenevides,41048296,122833,/* In popular culture */
2024-01-27 10:24:43+00:00,Onel5969,10951369,122849,Disambiguating links to [[Adventures in Wonderland]] (link changed to [[Adventures in Wonderland (1992 TV series)]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
2024-01-23 01:40:31+00:00,Muboshgu,602857,122807,"/* top */ like it or not, he was acquitted of murder charges almost 30 years ago"
2024-01-23 01:34:19+00:00,SailingTheSeasOfCheese,43329111,122860,
2024-01-23 01:33:59+00:00,SailingTheSeasOfCheese,43329111,122859,
2024-01-23 01:33:35+00:00,SailingTheSeasOfCheese,43329111,122858,
2024-01-23 01:33:04+00:00,SailingTheSeasOfCheese,43329111,122859,
2024-01-23 01:31:54+00:00,SailingTheSeasOfCheese,43329111,122887,
2024-01-23 01:30:58+00:00,SailingTheSeasOfCheese,43329111,122889,
2024-01-23 01:29:43+00:00,SailingTheSeasOfCheese,43329111,122825,
2024-01-16 08:29:35+00:00,JJMC89 bot III,35936988,122807,Removing [[:Category:African-American players of American football]] per [[Wikipedia:Categories for discussion/Log/2024 January 6#Category:African-American players of American football]]
2024-01-14 22:00:35+00:00,AxelBoldt,2,122866,"/* Wrongful death civil trial */ details about damages, with refs"
2024-01-14 21:24:18+00:00,AxelBoldt,2,122076,/* Wrongful death civil trial */ source says $28k yearly pension
2024-01-05 16:38:07+00:00,WikiOriginal-9,20957809,122079,/* Statistics */ ce
2024-01-05 09:00:25+00:00,Cereally8,45796270,122071,
2024-01-03 08:44:22+00:00,Rockhead126,9757211,122070,
2024-01-01 22:11:49+00:00,Isabela ciao,47056164,122068,add girlfriend to infobox
2023-12-30 10:24:33+00:00,Rockhead126,9757211,122023,Added signature
2023-12-30 10:12:05+00:00,Rockhead126,9757211,121980,"Switching infobox to infobox person with infobox NFL biography as an embedded module; I'll leave the decisions of what to include about Simpson's broadcasting/acting career and other, more infamous things, to other editors. At the least, though, he's notable for a lot more than can be reflected in the NFL biography infobox alone - it doesn't even have a place to list marriage information, which, in Simpson's case, probably draws as much public attention as his football career."
2023-12-28 11:57:38+00:00,Certes,5984052,121599,typo:  (via [[WP:JWB]])
2023-12-26 00:07:38+00:00,JJMC89 bot III,35936988,121598,Merging [[:Category:African-American male track and field athletes]] to [[:Category:African-American track and field athletes]] and [[:Category:American male track and field athletes]] per [[Wikipedia:Categories for discussion/Log/2023 December 10#Category:African-American sportspeople]]
2023-12-22 23:19:11+00:00,Isabela ciao,47056164,121551,/* Personal life */ context
