project,article,granularity,timestamp,access,agent,views,date
en.wikipedia,O._J._Simpson,daily,2015070100,all-access,all-agents,6785,2015-07-01
en.wikipedia,O._J._Simpson,daily,2015070200,all-access,all-agents,7713,2015-07-02
en.wikipedia,O._J._Simpson,daily,2015070300,all-access,all-agents,9028,2015-07-03
en.wikipedia,O._J._Simpson,daily,2015070400,all-access,all-agents,6643,2015-07-04
en.wikipedia,O._J._Simpson,daily,2015070500,all-access,all-agents,6656,2015-07-05
en.wikipedia,O._J._Simpson,daily,2015070600,all-access,all-agents,6980,2015-07-06
en.wikipedia,O._J._Simpson,daily,2015070700,all-access,all-agents,8014,2015-07-07
en.wikipedia,O._J._Simpson,daily,2015070800,all-access,all-agents,8660,2015-07-08
en.wikipedia,O._J._Simpson,daily,2015070900,all-access,all-agents,7935,2015-07-09
en.wikipedia,O._J._Simpson,daily,2015071000,all-access,all-agents,6430,2015-07-10
en.wikipedia,O._J._Simpson,daily,2015071100,all-access,all-agents,6566,2015-07-11
en.wikipedia,O._J._Simpson,daily,2015071200,all-access,all-agents,8573,2015-07-12
en.wikipedia,O._J._Simpson,daily,2015071300,all-access,all-agents,10261,2015-07-13
en.wikipedia,O._J._Simpson,daily,2015071400,all-access,all-agents,9456,2015-07-14
en.wikipedia,O._J._Simpson,daily,2015071500,all-access,all-agents,7260,2015-07-15
en.wikipedia,O._J._Simpson,daily,2015071600,all-access,all-agents,9587,2015-07-16
en.wikipedia,O._J._Simpson,daily,2015071700,all-access,all-agents,8530,2015-07-17
en.wikipedia,O._J._Simpson,daily,2015071800,all-access,all-agents,8126,2015-07-18
en.wikipedia,O._J._Simpson,daily,2015071900,all-access,all-agents,7965,2015-07-19
en.wikipedia,O._J._Simpson,daily,2015072000,all-access,all-agents,8873,2015-07-20
en.wikipedia,O._J._Simpson,daily,2015072100,all-access,all-agents,7417,2015-07-21
en.wikipedia,O._J._Simpson,daily,2015072200,all-access,all-agents,6546,2015-07-22
en.wikipedia,O._J._Simpson,daily,2015072300,all-access,all-agents,6243,2015-07-23
en.wikipedia,O._J._Simpson,daily,2015072400,all-access,all-agents,6805,2015-07-24
en.wikipedia,O._J._Simpson,daily,2015072500,all-access,all-agents,6279,2015-07-25
en.wikipedia,O._J._Simpson,daily,2015072600,all-access,all-agents,13271,2015-07-26
en.wikipedia,O._J._Simpson,daily,2015072700,all-access,all-agents,8734,2015-07-27
